Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
0,48.0,48.0,47.0,48.0,47.0,46.0,47.0
1,50.0,50.0,49.0,49.0,49.0,47.0,49.0
2,50.0,50.0,49.0,50.0,49.0,50.0,50.0
3,48.0,48.0,47.0,47.0,47.0,46.0,47.0
4,50.0,50.0,49.0,49.0,49.0,49.0,49.0
5,50.0,50.0,49.0,50.0,49.0,50.0,50.0
6,48.0,48.0,47.0,48.0,47.0,45.0,47.0
7,50.0,50.0,49.0,50.0,49.0,50.0,50.0
8,50.0,50.0,49.0,50.0,49.0,50.0,50.0
9,49.0,49.0,48.0,48.0,48.0,47.0,47.0
10,50.0,50.0,49.0,50.0,49.0,50.0,51.0
11,50.0,50.0,49.0,50.0,49.0,50.0,50.0
12,48.0,48.0,47.0,47.0,47.0,48.0,46.0
13,50.0,50.0,49.0,49.0,49.0,49.0,50.0
14,50.0,50.0,49.0,49.0,49.0,51.0,49.0
15,48.0,48.0,47.0,47.0,47.0,45.0,46.0
16,50.0,50.0,49.0,49.0,49.0,46.0,48.0
17,50.0,50.0,49.0,49.0,49.0,48.0,49.0
18,48.0,48.0,47.0,47.0,47.0,45.0,46.0
19,52.0,52.0,51.0,51.0,51.0,49.0,49.0
20,52.0,52.0,51.0,51.0,51.0,50.0,50.0
21,48.0,48.0,47.0,47.0,47.0,45.0,46.0
22,52.0,52.0,51.0,51.0,51.0,50.0,50.0
23,52.0,52.0,51.0,51.0,51.0,50.0,50.0
24,49.0,49.0,48.0,48.0,48.0,47.0,47.0
25,53.0,53.0,52.0,52.0,52.0,50.0,51.0
26,53.0,53.0,52.0,52.0,52.0,50.0,50.0
27,48.0,48.0,47.0,48.0,47.0,48.0,46.0
28,52.0,52.0,51.0,51.0,51.0,50.0,50.0
29,52.0,52.0,51.0,51.0,51.0,51.0,49.0
30,47.0,47.0,46.0,47.0,46.0,45.0,46.0
31,49.0,49.0,48.0,48.0,48.0,47.0,48.0
32,50.0,50.0,49.0,49.0,49.0,49.0,49.0
33,47.0,47.0,46.0,47.0,46.0,44.0,46.0
34,49.0,49.0,48.0,49.0,48.0,49.0,49.0
35,49.0,49.0,48.0,49.0,48.0,49.0,49.0
36,48.0,48.0,47.0,48.0,47.0,47.0,47.0
37,50.0,50.0,49.0,49.0,49.0,49.0,51.0
38,50.0,50.0,49.0,49.0,49.0,49.0,50.0
39,47.0,47.0,46.0,47.0,46.0,47.0,46.0
40,49.0,49.0,48.0,48.0,48.0,51.0,50.0
41,49.0,49.0,48.0,49.0,48.0,51.0,49.0
