Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
0,53.0,61.0,53.0,54.0,55.0,55.0,61.0,56.0,52.0,61.0,52.0,54.0,50.0,54.0,54.0,56.0
1,55.0,55.0,55.0,51.0,50.0,50.0,53.0,52.0,50.0,53.0,48.0,50.0,55.0,50.0,50.0,52.0
2,55.0,55.0,55.0,49.0,49.0,49.0,52.0,52.0,51.0,52.0,49.0,49.0,55.0,49.0,49.0,52.0
3,55.0,60.0,55.0,59.0,59.0,59.0,61.0,61.0,56.0,61.0,54.0,59.0,55.0,59.0,59.0,61.0
4,57.0,56.0,56.0,56.0,53.0,53.0,56.0,57.0,55.0,56.0,54.0,53.0,57.0,53.0,53.0,57.0
5,56.0,56.0,56.0,57.0,53.0,53.0,55.0,57.0,56.0,55.0,54.0,57.0,56.0,57.0,57.0,57.0
6,52.0,61.0,52.0,54.0,51.0,51.0,54.0,57.0,55.0,54.0,54.0,53.0,51.0,53.0,53.0,57.0
7,55.0,55.0,55.0,51.0,51.0,51.0,55.0,56.0,52.0,55.0,54.0,51.0,53.0,50.0,50.0,56.0
8,55.0,56.0,55.0,52.0,52.0,51.0,54.0,58.0,52.0,54.0,54.0,52.0,53.0,52.0,52.0,58.0
9,55.0,52.0,55.0,54.0,49.0,49.0,53.0,56.0,55.0,53.0,53.0,49.0,55.0,49.0,49.0,56.0
10,57.0,51.0,55.0,55.0,55.0,55.0,55.0,55.0,51.0,55.0,49.0,55.0,57.0,55.0,55.0,55.0
11,55.0,55.0,55.0,50.0,50.0,49.0,52.0,52.0,51.0,52.0,49.0,50.0,55.0,49.0,49.0,52.0
12,56.0,52.0,54.0,54.0,50.0,50.0,54.0,57.0,56.0,54.0,54.0,50.0,56.0,50.0,50.0,57.0
13,56.0,56.0,56.0,54.0,54.0,54.0,56.0,56.0,56.0,56.0,54.0,54.0,56.0,54.0,54.0,56.0
14,56.0,56.0,56.0,54.0,54.0,54.0,54.0,55.0,56.0,54.0,54.0,54.0,56.0,54.0,54.0,55.0
15,55.0,51.0,53.0,55.0,50.0,50.0,54.0,56.0,56.0,54.0,54.0,50.0,55.0,50.0,50.0,56.0
16,55.0,55.0,55.0,50.0,50.0,50.0,55.0,55.0,51.0,55.0,50.0,50.0,55.0,50.0,49.0,55.0
17,55.0,57.0,55.0,51.0,51.0,50.0,52.0,56.0,57.0,52.0,55.0,51.0,55.0,50.0,50.0,56.0
18,57.0,61.0,57.0,59.0,60.0,60.0,60.0,62.0,57.0,60.0,55.0,58.0,55.0,58.0,58.0,62.0
19,59.0,57.0,57.0,59.0,56.0,56.0,55.0,59.0,56.0,55.0,54.0,56.0,57.0,56.0,56.0,58.0
20,57.0,58.0,57.0,57.0,55.0,55.0,54.0,58.0,58.0,54.0,55.0,56.0,57.0,56.0,56.0,58.0
21,57.0,61.0,57.0,57.0,55.0,55.0,54.0,59.0,57.0,54.0,54.0,54.0,56.0,54.0,54.0,57.0
22,58.0,58.0,58.0,58.0,56.0,56.0,56.0,58.0,57.0,56.0,54.0,56.0,56.0,53.0,53.0,57.0
23,58.0,58.0,58.0,56.0,56.0,56.0,54.0,59.0,57.0,54.0,54.0,55.0,58.0,54.0,54.0,59.0
24,57.0,56.0,57.0,57.0,54.0,54.0,53.0,58.0,56.0,53.0,53.0,54.0,56.0,54.0,54.0,58.0
25,58.0,56.0,56.0,56.0,56.0,56.0,57.0,58.0,56.0,57.0,54.0,56.0,58.0,56.0,56.0,58.0
26,56.0,56.0,56.0,53.0,55.0,53.0,55.0,57.0,56.0,55.0,54.0,55.0,56.0,53.0,53.0,57.0
27,58.0,57.0,58.0,57.0,55.0,55.0,54.0,58.0,58.0,54.0,54.0,54.0,57.0,54.0,54.0,58.0
28,59.0,57.0,56.0,55.0,55.0,55.0,56.0,59.0,57.0,56.0,55.0,55.0,59.0,55.0,55.0,59.0
29,57.0,57.0,57.0,55.0,55.0,55.0,56.0,57.0,57.0,56.0,55.0,55.0,57.0,55.0,55.0,57.0
30,57.0,57.0,57.0,58.0,55.0,55.0,55.0,58.0,58.0,55.0,55.0,55.0,56.0,55.0,55.0,57.0
31,58.0,56.0,56.0,55.0,54.0,54.0,56.0,58.0,56.0,56.0,56.0,54.0,58.0,54.0,54.0,58.0
32,57.0,58.0,57.0,55.0,56.0,55.0,55.0,57.0,58.0,55.0,55.0,56.0,57.0,55.0,55.0,57.0
33,58.0,58.0,58.0,56.0,54.0,54.0,52.0,58.0,57.0,52.0,52.0,49.0,49.0,48.0,49.0,57.0
34,59.0,53.0,53.0,53.0,51.0,51.0,54.0,56.0,57.0,54.0,54.0,51.0,51.0,48.0,49.0,56.0
35,54.0,58.0,54.0,53.0,51.0,51.0,49.0,58.0,58.0,49.0,50.0,51.0,51.0,48.0,49.0,58.0
36,58.0,53.0,58.0,56.0,51.0,51.0,52.0,59.0,56.0,52.0,53.0,51.0,55.0,49.0,49.0,59.0
37,57.0,54.0,56.0,51.0,51.0,51.0,56.0,57.0,52.0,56.0,54.0,51.0,57.0,51.0,51.0,57.0
38,57.0,55.0,56.0,51.0,56.0,51.0,54.0,58.0,52.0,54.0,54.0,56.0,57.0,51.0,51.0,58.0
39,59.0,57.0,59.0,56.0,56.0,56.0,53.0,58.0,57.0,53.0,53.0,50.0,56.0,48.0,49.0,58.0
40,58.0,54.0,55.0,54.0,53.0,53.0,55.0,58.0,55.0,55.0,55.0,53.0,58.0,53.0,53.0,58.0
41,58.0,56.0,56.0,53.0,55.0,55.0,55.0,58.0,56.0,55.0,55.0,55.0,58.0,53.0,53.0,58.0
42,58.0,58.0,58.0,57.0,55.0,55.0,54.0,57.0,58.0,54.0,54.0,51.0,55.0,49.0,50.0,57.0
43,57.0,55.0,55.0,55.0,54.0,54.0,56.0,57.0,56.0,56.0,56.0,54.0,57.0,54.0,54.0,57.0
44,57.0,55.0,55.0,54.0,56.0,51.0,55.0,57.0,57.0,55.0,55.0,56.0,57.0,51.0,51.0,57.0
45,55.0,49.0,49.0,49.0,49.0,49.0,53.0,55.0,55.0,53.0,53.0,49.0,55.0,49.0,49.0,55.0
46,55.0,55.0,55.0,49.0,49.0,49.0,55.0,50.0,50.0,55.0,47.0,49.0,55.0,49.0,49.0,50.0
47,50.0,49.0,50.0,49.0,50.0,49.0,49.0,51.0,51.0,49.0,48.0,50.0,49.0,49.0,49.0,51.0
