Piece,Rotation,Flip,Row,Col,Turn
Piece.HIGHWAY_T,Rotation.I,False,0,2,1
Piece.OVERPASS,Rotation.R90,False,0,0,1
Piece.RAILWAY_STRAIGHT,Rotation.I,False,1,0,1
Piece.HIGHWAY_T,Rotation.I,False,0,1,1
Piece.RAILWAY_T,Rotation.I,False,1,6,2
Piece.RAILWAY_T,Rotation.R90,False,1,5,2
Piece.STRAIGHT_STATION,Rotation.R180,False,0,5,2
Piece.RAILWAY_STRAIGHT,Rotation.I,False,0,6,2
Piece.OVERPASS,Rotation.R90,False,0,3,3
Piece.RAILWAY_T,Rotation.I,False,2,5,3
Piece.HIGHWAY_T,Rotation.R270,False,0,4,3
Piece.RAILWAY_CORNER,Rotation.R180,False,2,4,3
Piece.OVERPASS,Rotation.R90,False,1,3,4
Piece.HIGHWAY_T,Rotation.R90,False,1,2,4
Piece.HIGHWAY_T,Rotation.I,False,1,4,4
Piece.RAILWAY_T,Rotation.R90,False,3,4,4
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,3,3,5
Piece.STRAIGHT_STATION,Rotation.R270,False,3,6,5
Piece.HIGHWAY_T,Rotation.R90,False,2,2,5
Piece.THREE_H_JUNCTION,Rotation.R180,False,2,3,5
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,3,5,5
Piece.HIGHWAY_T,Rotation.R180,False,3,0,6
Piece.CORNER_JUNCTION,Rotation.I,False,4,0,6
Piece.OVERPASS,Rotation.I,False,4,1,6
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,4,2,6
Piece.HIGHWAY_T,Rotation.R180,False,3,1,6
