Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
0,38.0,36.0,36.0,44.0,44.0
1,39.0,39.0,39.0,45.0,45.0
2,40.0,40.0,40.0,45.0,45.0
3,38.0,38.0,38.0,45.0,45.0
4,39.0,39.0,39.0,46.0,46.0
5,39.0,39.0,39.0,46.0,46.0
6,37.0,37.0,37.0,43.0,43.0
7,40.0,40.0,40.0,44.0,43.0
8,40.0,40.0,40.0,44.0,43.0
9,39.0,38.0,38.0,41.0,41.0
10,40.0,40.0,40.0,41.0,39.0
11,40.0,40.0,40.0,41.0,39.0
12,38.0,37.0,37.0,40.0,40.0
13,39.0,39.0,39.0,41.0,39.0
14,40.0,39.0,39.0,40.0,39.0
15,37.0,36.0,36.0,41.0,41.0
16,39.0,38.0,38.0,41.0,40.0
17,40.0,39.0,39.0,41.0,39.0
18,37.0,37.0,37.0,44.0,44.0
19,39.0,39.0,39.0,45.0,45.0
20,39.0,39.0,39.0,45.0,45.0
21,38.0,38.0,38.0,43.0,43.0
22,40.0,40.0,40.0,44.0,43.0
23,39.0,39.0,39.0,44.0,44.0
24,39.0,38.0,38.0,42.0,42.0
25,40.0,39.0,39.0,43.0,42.0
26,40.0,39.0,39.0,44.0,44.0
27,39.0,38.0,38.0,41.0,41.0
28,39.0,38.0,38.0,42.0,41.0
29,40.0,39.0,39.0,43.0,43.0
30,39.0,38.0,38.0,42.0,41.0
31,39.0,39.0,39.0,42.0,42.0
32,40.0,39.0,39.0,43.0,43.0
33,39.0,39.0,39.0,43.0,43.0
34,41.0,41.0,41.0,44.0,44.0
35,40.0,40.0,40.0,44.0,44.0
36,39.0,38.0,38.0,43.0,42.0
37,40.0,40.0,40.0,44.0,43.0
38,40.0,40.0,40.0,44.0,43.0
39,38.0,38.0,38.0,42.0,41.0
40,40.0,39.0,39.0,43.0,42.0
41,40.0,39.0,39.0,43.0,42.0
42,38.0,38.0,38.0,43.0,42.0
43,40.0,40.0,40.0,43.0,43.0
44,40.0,39.0,39.0,44.0,43.0
45,39.0,38.0,38.0,43.0,43.0
46,40.0,39.0,39.0,40.0,38.0
47,40.0,40.0,40.0,40.0,38.0
48,39.0,38.0,38.0,42.0,42.0
49,40.0,39.0,39.0,39.0,37.0
50,40.0,39.0,39.0,39.0,38.0
