Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
0,59.0,58.0,59.0,58.0,57.0,58.0,55.0,55.0
1,59.0,59.0,59.0,58.0,58.0,58.0,54.0,54.0
2,58.0,58.0,58.0,57.0,57.0,57.0,58.0,58.0
3,63.0,59.0,63.0,62.0,58.0,62.0,58.0,58.0
4,60.0,59.0,60.0,60.0,58.0,60.0,55.0,55.0
5,63.0,63.0,60.0,62.0,62.0,60.0,60.0,60.0
6,63.0,59.0,63.0,62.0,58.0,62.0,58.0,58.0
7,60.0,59.0,60.0,60.0,58.0,60.0,55.0,55.0
8,63.0,63.0,60.0,62.0,62.0,60.0,60.0,60.0
9,59.0,59.0,59.0,59.0,58.0,59.0,54.0,54.0
10,59.0,59.0,59.0,58.0,58.0,58.0,55.0,55.0
11,60.0,60.0,59.0,59.0,59.0,58.0,56.0,55.0
12,63.0,59.0,63.0,62.0,58.0,62.0,58.0,58.0
13,62.0,62.0,62.0,61.0,61.0,61.0,59.0,59.0
14,63.0,63.0,63.0,62.0,62.0,62.0,59.0,59.0
15,64.0,60.0,64.0,63.0,59.0,63.0,59.0,59.0
16,63.0,63.0,63.0,62.0,62.0,62.0,58.0,58.0
17,60.0,60.0,60.0,60.0,59.0,60.0,60.0,60.0
18,63.0,59.0,63.0,62.0,58.0,62.0,59.0,59.0
19,60.0,59.0,60.0,60.0,58.0,60.0,56.0,56.0
20,63.0,63.0,61.0,62.0,62.0,60.0,61.0,61.0
21,63.0,60.0,63.0,62.0,59.0,62.0,60.0,60.0
22,60.0,59.0,60.0,60.0,58.0,60.0,56.0,56.0
23,63.0,63.0,61.0,62.0,62.0,60.0,61.0,61.0
24,59.0,59.0,59.0,59.0,58.0,59.0,57.0,57.0
25,59.0,59.0,59.0,58.0,58.0,58.0,55.0,55.0
26,62.0,62.0,59.0,61.0,61.0,58.0,60.0,60.0
27,63.0,60.0,63.0,62.0,59.0,62.0,60.0,60.0
28,62.0,62.0,62.0,61.0,61.0,61.0,59.0,59.0
29,63.0,63.0,63.0,62.0,62.0,62.0,64.0,64.0
30,64.0,61.0,64.0,63.0,60.0,63.0,61.0,61.0
31,63.0,63.0,63.0,62.0,62.0,62.0,60.0,60.0
32,62.0,62.0,62.0,61.0,61.0,61.0,65.0,65.0
33,60.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0
34,59.0,59.0,58.0,58.0,58.0,57.0,56.0,56.0
35,59.0,59.0,57.0,58.0,58.0,57.0,60.0,60.0
36,59.0,59.0,59.0,58.0,58.0,58.0,57.0,57.0
37,59.0,59.0,59.0,58.0,58.0,58.0,55.0,55.0
38,62.0,62.0,59.0,61.0,61.0,58.0,60.0,60.0
39,60.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0
40,59.0,59.0,59.0,58.0,58.0,58.0,59.0,59.0
41,61.0,61.0,61.0,60.0,60.0,60.0,64.0,64.0
42,61.0,61.0,61.0,60.0,60.0,60.0,61.0,61.0
43,60.0,59.0,60.0,59.0,59.0,59.0,60.0,60.0
44,62.0,62.0,62.0,61.0,61.0,61.0,65.0,65.0
45,57.0,57.0,57.0,58.0,58.0,58.0,54.0,54.0
46,59.0,59.0,59.0,58.0,58.0,58.0,53.0,53.0
47,60.0,60.0,60.0,59.0,59.0,59.0,56.0,56.0
48,58.0,58.0,58.0,57.0,57.0,57.0,57.0,57.0
49,63.0,63.0,63.0,62.0,62.0,62.0,57.0,57.0
50,62.0,62.0,62.0,61.0,61.0,61.0,60.0,60.0
51,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
52,59.0,60.0,60.0,60.0,60.0,60.0,58.0,58.0
53,60.0,60.0,60.0,60.0,60.0,60.0,60.0,59.0
54,58.0,57.0,58.0,57.0,56.0,57.0,57.0,57.0
55,62.0,62.0,62.0,61.0,61.0,61.0,56.0,56.0
56,62.0,62.0,62.0,61.0,61.0,61.0,60.0,60.0
57,58.0,58.0,58.0,57.0,57.0,57.0,58.0,58.0
