Scenario,Roll 0,Roll 1,Roll 2,Roll 3
0,39.0,38.0,38.0,39.0
1,37.0,36.0,38.0,39.0
2,36.0,35.0,38.0,39.0
3,38.0,37.0,37.0,38.0
4,38.0,37.0,37.0,38.0
5,40.0,39.0,39.0,40.0
6,39.0,38.0,38.0,39.0
7,39.0,38.0,38.0,39.0
8,41.0,40.0,40.0,41.0
9,37.0,36.0,37.0,38.0
10,35.0,35.0,36.0,36.0
11,35.0,34.0,36.0,37.0
12,36.0,35.0,37.0,37.0
13,35.0,34.0,36.0,35.0
14,35.0,34.0,35.0,36.0
15,37.0,36.0,36.0,37.0
16,36.0,35.0,35.0,36.0
17,36.0,35.0,36.0,37.0
18,38.0,37.0,36.0,37.0
19,38.0,37.0,36.0,37.0
20,39.0,38.0,38.0,39.0
21,39.0,38.0,37.0,38.0
22,39.0,38.0,37.0,38.0
23,40.0,39.0,39.0,40.0
24,37.0,36.0,36.0,37.0
25,36.0,35.0,35.0,35.0
26,36.0,35.0,36.0,36.0
27,36.0,36.0,36.0,36.0
28,35.0,34.0,35.0,35.0
29,35.0,34.0,36.0,35.0
30,36.0,35.0,35.0,36.0
31,35.0,34.0,35.0,36.0
32,35.0,34.0,35.0,36.0
33,38.0,38.0,36.0,37.0
34,40.0,39.0,38.0,39.0
35,39.0,39.0,38.0,39.0
36,38.0,37.0,36.0,37.0
37,35.0,34.0,36.0,36.0
38,36.0,35.0,37.0,37.0
39,37.0,37.0,35.0,36.0
40,35.0,34.0,36.0,36.0
41,35.0,34.0,37.0,36.0
42,37.0,36.0,36.0,37.0
43,36.0,35.0,36.0,37.0
44,35.0,35.0,36.0,37.0
45,32.0,32.0,34.0,32.0
46,35.0,34.0,36.0,35.0
47,34.0,33.0,35.0,34.0
48,31.0,31.0,34.0,31.0
49,34.0,33.0,36.0,35.0
50,35.0,34.0,34.0,35.0
51,31.0,32.0,33.0,32.0
52,34.0,34.0,35.0,35.0
53,36.0,35.0,35.0,36.0
54,30.0,30.0,33.0,30.0
55,33.0,32.0,35.0,34.0
56,34.0,33.0,34.0,34.0
57,30.0,31.0,33.0,31.0
58,34.0,33.0,34.0,35.0
59,35.0,34.0,35.0,35.0
60,30.0,29.0,29.0,30.0
61,33.0,33.0,35.0,36.0
62,33.0,33.0,35.0,36.0
63,37.0,36.0,35.0,36.0
64,37.0,36.0,35.0,36.0
65,39.0,38.0,37.0,38.0
66,38.0,37.0,36.0,37.0
67,38.0,37.0,36.0,37.0
68,40.0,39.0,38.0,39.0
69,37.0,36.0,35.0,36.0
70,37.0,36.0,34.0,34.0
71,36.0,37.0,35.0,35.0
72,36.0,35.0,35.0,35.0
73,36.0,35.0,34.0,34.0
74,35.0,37.0,35.0,34.0
75,35.0,34.0,34.0,35.0
76,35.0,34.0,34.0,35.0
77,35.0,36.0,34.0,35.0
78,37.0,37.0,35.0,36.0
79,39.0,38.0,37.0,38.0
80,39.0,38.0,37.0,38.0
81,38.0,37.0,35.0,36.0
82,38.0,37.0,35.0,35.0
83,37.0,38.0,36.0,36.0
84,37.0,36.0,34.0,35.0
85,37.0,36.0,35.0,35.0
86,36.0,38.0,36.0,35.0
87,36.0,35.0,35.0,36.0
88,36.0,35.0,35.0,36.0
89,36.0,37.0,35.0,36.0
90,35.0,34.0,33.0,31.0
91,34.0,33.0,35.0,34.0
92,33.0,33.0,34.0,33.0
93,34.0,33.0,33.0,30.0
94,33.0,32.0,35.0,34.0
95,34.0,33.0,33.0,34.0
96,33.0,33.0,32.0,31.0
97,33.0,33.0,34.0,34.0
98,35.0,34.0,34.0,35.0
99,33.0,32.0,32.0,29.0
100,32.0,31.0,34.0,33.0
101,33.0,32.0,33.0,33.0
102,32.0,33.0,32.0,30.0
103,33.0,32.0,33.0,34.0
104,34.0,33.0,34.0,34.0
105,33.0,32.0,28.0,29.0
106,32.0,32.0,34.0,35.0
107,32.0,32.0,34.0,35.0
108,38.0,37.0,31.0,32.0
