Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
0,57.0,55.0,52.0,53.0,55.0,55.0,52.0,56.0,54.0,54.0,56.0,57.0,55.0
1,55.0,56.0,52.0,55.0,56.0,56.0,53.0,54.0,55.0,54.0,52.0,51.0,52.0
2,57.0,53.0,54.0,53.0,55.0,53.0,54.0,56.0,55.0,52.0,53.0,53.0,54.0
3,57.0,59.0,56.0,55.0,59.0,59.0,55.0,58.0,55.0,57.0,60.0,59.0,56.0
4,56.0,58.0,56.0,55.0,58.0,57.0,56.0,56.0,55.0,57.0,55.0,55.0,56.0
5,57.0,55.0,56.0,57.0,56.0,55.0,55.0,56.0,57.0,57.0,57.0,56.0,57.0
6,57.0,56.0,56.0,54.0,55.0,56.0,56.0,58.0,53.0,55.0,57.0,57.0,57.0
7,56.0,57.0,57.0,56.0,54.0,57.0,57.0,57.0,55.0,57.0,56.0,56.0,54.0
8,58.0,55.0,54.0,57.0,55.0,55.0,54.0,56.0,57.0,57.0,53.0,53.0,58.0
9,53.0,53.0,53.0,54.0,53.0,53.0,54.0,55.0,54.0,56.0,52.0,53.0,51.0
10,53.0,56.0,55.0,56.0,54.0,56.0,55.0,56.0,56.0,56.0,51.0,55.0,54.0
11,54.0,53.0,55.0,54.0,56.0,53.0,55.0,54.0,56.0,53.0,53.0,55.0,53.0
12,57.0,55.0,55.0,54.0,53.0,55.0,55.0,59.0,54.0,58.0,58.0,58.0,54.0
13,57.0,55.0,54.0,55.0,54.0,55.0,57.0,60.0,55.0,55.0,55.0,57.0,53.0
14,56.0,54.0,54.0,55.0,56.0,54.0,54.0,56.0,56.0,53.0,57.0,56.0,53.0
15,57.0,56.0,56.0,54.0,54.0,56.0,56.0,58.0,54.0,56.0,57.0,59.0,55.0
16,56.0,55.0,53.0,55.0,54.0,55.0,58.0,56.0,53.0,56.0,56.0,54.0,53.0
17,55.0,55.0,54.0,56.0,55.0,55.0,55.0,56.0,56.0,54.0,56.0,54.0,53.0
18,59.0,59.0,57.0,54.0,59.0,59.0,56.0,58.0,54.0,57.0,61.0,60.0,58.0
19,57.0,58.0,56.0,55.0,58.0,58.0,57.0,57.0,54.0,59.0,56.0,56.0,56.0
20,57.0,58.0,56.0,56.0,59.0,58.0,56.0,57.0,56.0,59.0,58.0,58.0,56.0
21,59.0,59.0,57.0,55.0,59.0,59.0,57.0,59.0,55.0,57.0,58.0,58.0,59.0
22,58.0,58.0,57.0,56.0,57.0,58.0,58.0,58.0,55.0,59.0,56.0,57.0,57.0
23,57.0,58.0,56.0,57.0,59.0,58.0,56.0,57.0,57.0,59.0,57.0,56.0,57.0
24,57.0,56.0,56.0,55.0,55.0,55.0,55.0,58.0,55.0,58.0,56.0,57.0,57.0
25,57.0,58.0,57.0,56.0,58.0,56.0,56.0,55.0,55.0,57.0,52.0,57.0,57.0
26,58.0,57.0,57.0,55.0,58.0,57.0,57.0,57.0,56.0,55.0,57.0,57.0,58.0
27,57.0,58.0,57.0,55.0,57.0,58.0,57.0,60.0,54.0,58.0,59.0,59.0,56.0
28,57.0,58.0,57.0,57.0,58.0,58.0,58.0,59.0,54.0,56.0,59.0,59.0,57.0
29,58.0,57.0,57.0,55.0,57.0,57.0,57.0,59.0,56.0,57.0,60.0,57.0,58.0
30,57.0,58.0,56.0,54.0,58.0,57.0,57.0,58.0,53.0,58.0,60.0,59.0,56.0
31,58.0,59.0,58.0,54.0,56.0,59.0,59.0,58.0,53.0,57.0,60.0,59.0,58.0
32,56.0,58.0,58.0,55.0,58.0,58.0,58.0,58.0,55.0,57.0,60.0,58.0,53.0
33,57.0,57.0,57.0,55.0,53.0,58.0,58.0,58.0,53.0,54.0,58.0,57.0,55.0
34,57.0,57.0,57.0,54.0,55.0,57.0,57.0,57.0,53.0,55.0,56.0,56.0,54.0
35,55.0,55.0,55.0,57.0,55.0,56.0,55.0,56.0,57.0,55.0,52.0,54.0,55.0
36,58.0,56.0,56.0,54.0,54.0,55.0,55.0,57.0,54.0,55.0,57.0,53.0,58.0
37,56.0,57.0,57.0,57.0,58.0,57.0,56.0,54.0,56.0,56.0,52.0,55.0,56.0
38,59.0,58.0,58.0,55.0,58.0,58.0,58.0,58.0,57.0,54.0,56.0,57.0,59.0
39,57.0,58.0,58.0,54.0,54.0,58.0,58.0,57.0,53.0,58.0,58.0,58.0,57.0
40,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,55.0,55.0,59.0,58.0,55.0
41,59.0,58.0,58.0,55.0,58.0,58.0,58.0,58.0,57.0,53.0,58.0,58.0,59.0
42,58.0,57.0,56.0,55.0,54.0,58.0,58.0,58.0,54.0,55.0,59.0,57.0,55.0
43,57.0,58.0,58.0,55.0,56.0,58.0,58.0,57.0,54.0,56.0,59.0,59.0,55.0
44,57.0,59.0,59.0,56.0,56.0,59.0,59.0,57.0,56.0,54.0,59.0,59.0,54.0
45,59.0,55.0,56.0,54.0,55.0,54.0,54.0,56.0,54.0,55.0,52.0,54.0,57.0
46,54.0,56.0,56.0,56.0,55.0,55.0,54.0,54.0,56.0,56.0,52.0,57.0,54.0
47,57.0,55.0,55.0,56.0,56.0,54.0,53.0,54.0,56.0,53.0,53.0,55.0,53.0
48,61.0,56.0,56.0,55.0,56.0,56.0,55.0,58.0,55.0,59.0,58.0,54.0,59.0
49,56.0,58.0,56.0,57.0,56.0,54.0,55.0,56.0,55.0,56.0,53.0,57.0,54.0
50,57.0,56.0,55.0,57.0,57.0,55.0,54.0,57.0,56.0,53.0,57.0,58.0,57.0
51,58.0,56.0,55.0,54.0,56.0,54.0,54.0,57.0,54.0,56.0,58.0,55.0,56.0
52,53.0,57.0,55.0,58.0,57.0,54.0,54.0,56.0,56.0,57.0,54.0,56.0,54.0
53,55.0,55.0,54.0,57.0,57.0,55.0,54.0,57.0,57.0,54.0,55.0,56.0,55.0
54,61.0,57.0,57.0,56.0,55.0,57.0,57.0,59.0,55.0,59.0,58.0,58.0,59.0
55,55.0,58.0,57.0,58.0,55.0,58.0,58.0,56.0,55.0,55.0,57.0,59.0,53.0
56,58.0,57.0,57.0,56.0,56.0,57.0,57.0,61.0,55.0,52.0,59.0,57.0,57.0
57,58.0,58.0,58.0,54.0,56.0,58.0,58.0,59.0,53.0,59.0,58.0,57.0,56.0
58,56.0,59.0,57.0,57.0,56.0,59.0,59.0,56.0,55.0,56.0,58.0,59.0,53.0
59,58.0,58.0,58.0,57.0,57.0,58.0,58.0,61.0,56.0,53.0,58.0,58.0,55.0
60,59.0,55.0,54.0,55.0,54.0,55.0,54.0,57.0,52.0,55.0,58.0,55.0,57.0
61,54.0,57.0,55.0,55.0,53.0,55.0,55.0,56.0,52.0,57.0,55.0,56.0,50.0
62,57.0,56.0,55.0,56.0,55.0,56.0,55.0,55.0,56.0,54.0,55.0,55.0,53.0
