Move,Piece,Rotation,Flip,Row,Col
0,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
0,Piece.HIGHWAY_JUNCTION,Rotation.I,False,5,5
0,Piece.HIGHWAY_T,Rotation.R270,False,4,5
0,Piece.RAILWAY_CORNER,Rotation.I,False,5,2
0,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
1,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
1,Piece.HIGHWAY_T,Rotation.R180,False,5,5
1,Piece.RAILWAY_CORNER,Rotation.R270,False,4,4
1,Piece.THREE_R_JUNCTION,Rotation.R90,False,5,4
1,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
2,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
2,Piece.HIGHWAY_T,Rotation.R180,False,5,5
2,Piece.RAILWAY_CORNER,Rotation.R270,False,4,4
2,Piece.CORNER_JUNCTION,Rotation.R180,False,5,4
2,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
3,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
3,Piece.HIGHWAY_T,Rotation.R180,False,5,5
3,Piece.RAILWAY_JUNCTION,Rotation.I,False,5,2
3,Piece.RAILWAY_CORNER,Rotation.R180,False,4,2
3,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
4,Piece.STRAIGHT_STATION,Rotation.R90,False,5,6
4,Piece.HIGHWAY_T,Rotation.R180,False,5,5
4,Piece.THREE_R_JUNCTION,Rotation.R180,False,5,2
4,Piece.RAILWAY_CORNER,Rotation.R180,False,4,2
4,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
