Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
0,51.0,47.0,48.0,48.0,50.0
1,47.0,47.0,47.0,49.0,48.0
2,47.0,49.0,47.0,50.0,49.0
3,51.0,46.0,47.0,47.0,49.0
4,50.0,46.0,49.0,48.0,47.0
5,49.0,48.0,49.0,49.0,48.0
6,52.0,45.0,48.0,47.0,50.0
7,51.0,47.0,50.0,49.0,48.0
8,50.0,47.0,50.0,49.0,49.0
9,49.0,46.0,47.0,48.0,47.0
10,47.0,47.0,47.0,48.0,47.0
11,48.0,48.0,47.0,50.0,47.0
12,48.0,45.0,46.0,47.0,46.0
13,49.0,46.0,48.0,47.0,48.0
14,49.0,47.0,48.0,49.0,48.0
15,48.0,44.0,47.0,47.0,47.0
16,50.0,46.0,45.0,48.0,49.0
17,50.0,46.0,46.0,48.0,49.0
18,50.0,45.0,46.0,46.0,48.0
19,49.0,45.0,48.0,47.0,46.0
20,48.0,47.0,48.0,48.0,47.0
21,51.0,44.0,47.0,46.0,49.0
22,50.0,46.0,49.0,48.0,47.0
23,49.0,46.0,49.0,48.0,48.0
24,48.0,45.0,46.0,47.0,46.0
25,47.0,46.0,46.0,47.0,46.0
26,47.0,47.0,46.0,49.0,46.0
27,47.0,44.0,45.0,46.0,45.0
28,48.0,45.0,47.0,46.0,47.0
29,48.0,46.0,47.0,48.0,47.0
30,47.0,43.0,46.0,46.0,46.0
31,49.0,45.0,44.0,47.0,48.0
32,49.0,45.0,45.0,47.0,48.0
33,51.0,45.0,44.0,47.0,49.0
34,47.0,47.0,46.0,49.0,46.0
35,46.0,47.0,46.0,49.0,48.0
36,49.0,45.0,45.0,47.0,47.0
37,48.0,47.0,47.0,48.0,45.0
38,48.0,47.0,47.0,48.0,47.0
39,48.0,44.0,45.0,46.0,46.0
40,48.0,46.0,47.0,47.0,47.0
41,48.0,46.0,46.0,47.0,48.0
42,48.0,44.0,44.0,47.0,47.0
43,49.0,46.0,45.0,48.0,48.0
44,49.0,46.0,46.0,48.0,48.0
45,47.0,45.0,44.0,48.0,46.0
46,47.0,46.0,46.0,47.0,46.0
47,47.0,47.0,46.0,50.0,46.0
48,47.0,44.0,44.0,47.0,46.0
49,49.0,46.0,47.0,46.0,47.0
50,48.0,46.0,45.0,49.0,47.0
51,47.0,44.0,44.0,47.0,46.0
52,48.0,46.0,46.0,47.0,47.0
53,49.0,46.0,46.0,47.0,48.0
54,46.0,43.0,44.0,46.0,46.0
55,48.0,45.0,46.0,45.0,48.0
56,48.0,45.0,46.0,48.0,48.0
57,46.0,44.0,45.0,46.0,46.0
58,48.0,46.0,47.0,46.0,48.0
59,48.0,46.0,47.0,46.0,48.0
60,47.0,43.0,42.0,47.0,46.0
61,48.0,45.0,44.0,47.0,47.0
62,49.0,45.0,44.0,47.0,48.0
63,49.0,44.0,45.0,45.0,47.0
64,48.0,44.0,47.0,46.0,45.0
65,47.0,46.0,47.0,47.0,46.0
66,50.0,43.0,46.0,45.0,48.0
67,49.0,45.0,48.0,47.0,46.0
68,48.0,45.0,48.0,47.0,47.0
69,47.0,44.0,45.0,46.0,45.0
70,46.0,45.0,45.0,46.0,45.0
71,46.0,46.0,45.0,48.0,45.0
72,46.0,43.0,44.0,45.0,44.0
73,47.0,44.0,46.0,45.0,46.0
74,47.0,45.0,46.0,47.0,46.0
75,46.0,42.0,45.0,45.0,45.0
76,48.0,44.0,43.0,46.0,47.0
77,48.0,44.0,44.0,46.0,47.0
78,50.0,44.0,43.0,46.0,48.0
79,46.0,46.0,45.0,48.0,45.0
80,45.0,46.0,45.0,48.0,47.0
81,48.0,44.0,44.0,46.0,46.0
82,47.0,46.0,46.0,47.0,44.0
83,47.0,46.0,46.0,47.0,46.0
84,47.0,43.0,44.0,45.0,45.0
85,47.0,45.0,46.0,46.0,46.0
86,47.0,45.0,45.0,46.0,47.0
87,47.0,43.0,43.0,46.0,46.0
88,48.0,45.0,44.0,47.0,47.0
89,48.0,45.0,45.0,47.0,47.0
90,46.0,44.0,43.0,47.0,45.0
91,46.0,45.0,45.0,46.0,45.0
92,46.0,46.0,45.0,49.0,45.0
93,46.0,43.0,43.0,46.0,45.0
94,48.0,45.0,46.0,45.0,46.0
95,47.0,45.0,44.0,48.0,46.0
96,46.0,43.0,43.0,46.0,45.0
97,47.0,45.0,45.0,46.0,46.0
98,48.0,45.0,45.0,46.0,47.0
99,45.0,42.0,43.0,45.0,45.0
100,47.0,44.0,45.0,44.0,47.0
101,47.0,44.0,45.0,47.0,47.0
102,45.0,43.0,44.0,45.0,45.0
103,47.0,45.0,46.0,45.0,47.0
104,47.0,45.0,46.0,45.0,47.0
105,46.0,42.0,41.0,46.0,45.0
106,47.0,44.0,43.0,46.0,46.0
107,48.0,44.0,43.0,46.0,47.0
108,47.0,44.0,43.0,45.0,45.0
109,46.0,46.0,45.0,45.0,42.0
110,45.0,45.0,45.0,46.0,45.0
111,46.0,44.0,44.0,46.0,44.0
112,46.0,46.0,46.0,45.0,43.0
113,46.0,46.0,46.0,46.0,46.0
114,45.0,44.0,43.0,45.0,45.0
115,45.0,46.0,45.0,44.0,44.0
