Piece,Rotation,Flip,Row,Col,Turn
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,0,1
Piece.RAILWAY_CORNER,Rotation.R180,False,2,2,1
Piece.RAILWAY_T,Rotation.I,False,3,2,1
Piece.STRAIGHT_STATION,Rotation.R90,False,3,1,1
Piece.RAILWAY_STRAIGHT,Rotation.I,False,1,3,2
Piece.CORNER_STATION,Rotation.R90,False,0,2,2
Piece.RAILWAY_T,Rotation.R270,False,0,3,2
Piece.RAILWAY_CORNER,Rotation.I,False,2,3,2
Piece.OVERPASS,Rotation.I,False,3,3,3
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,4,2,3
Piece.HIGHWAY_T,Rotation.R270,False,4,3,3
Piece.RAILWAY_CORNER,Rotation.R270,False,3,4,3
Piece.CORNER_STATION,Rotation.R90,False,1,6,4
Piece.HIGHWAY_CORNER,Rotation.R180,False,4,1,4
Piece.HIGHWAY_CORNER,Rotation.R90,False,0,5,4
Piece.HIGHWAY_CORNER,Rotation.R270,False,0,6,4
Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4,5
Piece.CORNER_JUNCTION,Rotation.R90,False,6,3,5
Piece.CORNER_STATION,Rotation.I,False,6,4,5
Piece.RAILWAY_T,Rotation.R270,False,5,4,5
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,5,3,5
Piece.STRAIGHT_STATION,Rotation.R90,False,6,2,6
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,5,1,6
Piece.RAILWAY_CORNER,Rotation.R270,False,5,0,6
Piece.RAILWAY_T,Rotation.I,False,6,0,6
Piece.THREE_H_JUNCTION,Rotation.R90,False,6,1,6
