Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
0,51.0,52.0,49.0,52.0,50.0,53.0,52.0,47.0,47.0,47.0,47.0,50.0,47.0,48.0,48.0
1,53.0,54.0,51.0,54.0,51.0,54.0,54.0,49.0,49.0,49.0,49.0,52.0,49.0,50.0,50.0
2,56.0,54.0,51.0,54.0,56.0,54.0,54.0,49.0,49.0,49.0,49.0,52.0,50.0,50.0,50.0
3,51.0,53.0,49.0,52.0,49.0,52.0,52.0,47.0,47.0,47.0,48.0,50.0,49.0,47.0,53.0
4,53.0,55.0,51.0,54.0,51.0,54.0,54.0,48.0,48.0,48.0,50.0,52.0,51.0,49.0,55.0
5,56.0,55.0,51.0,54.0,55.0,54.0,54.0,48.0,48.0,48.0,50.0,52.0,49.0,49.0,55.0
6,50.0,50.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0,48.0
7,51.0,52.0,51.0,51.0,51.0,51.0,51.0,48.0,48.0,48.0,48.0,48.0,49.0,48.0,50.0
8,51.0,55.0,50.0,50.0,50.0,50.0,55.0,49.0,49.0,49.0,49.0,53.0,48.0,50.0,51.0
9,50.0,48.0,49.0,53.0,50.0,48.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,48.0
10,51.0,55.0,50.0,50.0,50.0,50.0,55.0,48.0,48.0,48.0,48.0,53.0,48.0,49.0,51.0
11,56.0,50.0,50.0,50.0,56.0,50.0,50.0,49.0,49.0,49.0,49.0,48.0,49.0,50.0,50.0
12,50.0,48.0,48.0,52.0,49.0,48.0,48.0,46.0,46.0,47.0,47.0,49.0,49.0,46.0,47.0
13,51.0,54.0,50.0,50.0,50.0,50.0,54.0,48.0,48.0,48.0,48.0,52.0,48.0,49.0,50.0
14,56.0,50.0,50.0,50.0,55.0,50.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0,49.0
15,49.0,48.0,48.0,48.0,49.0,48.0,48.0,46.0,46.0,46.0,46.0,50.0,50.0,46.0,45.0
16,51.0,51.0,51.0,51.0,51.0,51.0,51.0,48.0,48.0,48.0,48.0,48.0,49.0,48.0,47.0
17,51.0,50.0,50.0,50.0,51.0,50.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,50.0
18,50.0,53.0,48.0,51.0,48.0,51.0,51.0,46.0,46.0,46.0,48.0,49.0,49.0,46.0,53.0
19,52.0,55.0,50.0,53.0,50.0,53.0,53.0,47.0,47.0,47.0,49.0,51.0,51.0,48.0,55.0
20,55.0,55.0,50.0,53.0,54.0,53.0,53.0,48.0,48.0,48.0,49.0,51.0,48.0,48.0,55.0
21,49.0,50.0,48.0,48.0,48.0,48.0,48.0,46.0,46.0,46.0,48.0,46.0,46.0,45.0,50.0
22,50.0,52.0,50.0,50.0,50.0,50.0,50.0,47.0,47.0,47.0,49.0,52.0,52.0,47.0,52.0
23,50.0,56.0,49.0,49.0,49.0,49.0,54.0,48.0,48.0,48.0,50.0,52.0,47.0,49.0,56.0
