Piece,Rotation,Flip,Row,Col,Turn
Piece.RAILWAY_T,Rotation.R270,False,5,0,1
Piece.RAILWAY_CORNER,Rotation.R270,False,1,0,1
Piece.CORNER_STATION,Rotation.R270,False,6,1,1
Piece.RAILWAY_T,Rotation.R270,False,2,0,1
Piece.OVERPASS,Rotation.R90,False,3,0,2
Piece.RAILWAY_T,Rotation.I,False,6,0,2
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,1,2
Piece.HIGHWAY_CORNER,Rotation.I,False,3,1,2
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,2,1,3
Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,0,3
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,6,3
Piece.OVERPASS,Rotation.I,False,0,5,3
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6,4
Piece.RAILWAY_CORNER,Rotation.R180,False,5,5,4
Piece.STRAIGHT_STATION,Rotation.I,False,6,5,4
Piece.RAILWAY_T,Rotation.I,False,0,6,4
Piece.RAILWAY_T,Rotation.R180,False,1,6,5
Piece.CORNER_STATION,Rotation.I,False,0,3,5
Piece.HIGHWAY_T,Rotation.I,False,1,2,5
Piece.THREE_H_JUNCTION,Rotation.R270,False,1,5,5
Piece.HIGHWAY_T,Rotation.R90,False,1,1,5
Piece.RAILWAY_T,Rotation.R180,False,2,5,6
Piece.RAILWAY_T,Rotation.R90,False,0,4,6
Piece.RAILWAY_CORNER,Rotation.I,False,2,6,6
Piece.CROSS_JUNCTION,Rotation.R90,False,1,4,6
Piece.CORNER_STATION,Rotation.R90,True,3,5,6
