Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
0,45.0,46.0,46.0,46.0,50.0,50.0,50.0,45.0,50.0,49.0
1,43.0,43.0,46.0,41.0,45.0,45.0,45.0,44.0,45.0,50.0
2,45.0,46.0,49.0,44.0,47.0,47.0,47.0,46.0,47.0,50.0
3,49.0,49.0,49.0,49.0,51.0,51.0,51.0,47.0,51.0,48.0
4,46.0,48.0,50.0,47.0,49.0,49.0,48.0,46.0,49.0,50.0
5,51.0,51.0,50.0,49.0,51.0,51.0,51.0,47.0,51.0,50.0
6,50.0,50.0,50.0,50.0,52.0,52.0,52.0,48.0,52.0,49.0
7,47.0,47.0,49.0,48.0,50.0,49.0,49.0,46.0,50.0,51.0
8,52.0,52.0,49.0,50.0,52.0,52.0,52.0,48.0,52.0,51.0
9,45.0,46.0,46.0,48.0,50.0,50.0,50.0,46.0,50.0,49.0
10,45.0,46.0,46.0,44.0,47.0,45.0,45.0,46.0,47.0,49.0
11,46.0,46.0,48.0,46.0,48.0,48.0,47.0,47.0,47.0,49.0
12,49.0,49.0,45.0,49.0,51.0,51.0,51.0,47.0,51.0,48.0
13,46.0,48.0,45.0,44.0,47.0,47.0,47.0,47.0,47.0,49.0
14,51.0,51.0,47.0,47.0,51.0,51.0,51.0,47.0,51.0,49.0
15,50.0,50.0,44.0,48.0,50.0,50.0,50.0,48.0,50.0,48.0
16,47.0,49.0,46.0,44.0,48.0,48.0,48.0,48.0,48.0,50.0
17,52.0,52.0,48.0,46.0,51.0,51.0,51.0,48.0,51.0,50.0
18,49.0,49.0,49.0,50.0,51.0,51.0,51.0,48.0,51.0,50.0
19,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,50.0,52.0
20,51.0,51.0,50.0,52.0,51.0,51.0,51.0,50.0,51.0,49.0
21,50.0,50.0,49.0,51.0,52.0,52.0,52.0,49.0,52.0,51.0
22,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,51.0,53.0
23,52.0,52.0,51.0,53.0,52.0,52.0,52.0,51.0,52.0,50.0
24,51.0,51.0,48.0,50.0,50.0,50.0,50.0,48.0,50.0,48.0
25,51.0,51.0,49.0,49.0,50.0,50.0,50.0,47.0,50.0,50.0
26,51.0,51.0,49.0,51.0,51.0,51.0,51.0,47.0,51.0,50.0
27,50.0,50.0,48.0,50.0,51.0,51.0,51.0,48.0,51.0,49.0
28,50.0,50.0,48.0,50.0,51.0,51.0,51.0,49.0,51.0,51.0
29,52.0,52.0,48.0,52.0,52.0,52.0,52.0,50.0,52.0,49.0
30,50.0,50.0,48.0,50.0,50.0,50.0,50.0,49.0,50.0,50.0
31,51.0,51.0,49.0,50.0,52.0,52.0,52.0,50.0,52.0,52.0
32,53.0,53.0,48.0,51.0,52.0,52.0,52.0,51.0,52.0,49.0
33,50.0,50.0,50.0,50.0,52.0,52.0,52.0,50.0,52.0,52.0
34,52.0,52.0,52.0,50.0,52.0,52.0,52.0,50.0,52.0,54.0
35,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0
36,52.0,52.0,48.0,51.0,51.0,51.0,51.0,49.0,51.0,49.0
37,52.0,52.0,48.0,50.0,51.0,51.0,51.0,48.0,51.0,51.0
38,52.0,52.0,48.0,52.0,52.0,52.0,52.0,48.0,52.0,51.0
39,51.0,51.0,48.0,51.0,52.0,52.0,52.0,49.0,52.0,50.0
40,51.0,51.0,47.0,51.0,52.0,52.0,52.0,50.0,52.0,52.0
