Scenario,Roll 0,Roll 1,Roll 2,Roll 3
0,59.0,57.0,56.0,57.0
1,60.0,58.0,57.0,58.0
2,60.0,58.0,58.0,58.0
3,60.0,58.0,56.0,58.0
4,62.0,60.0,57.0,60.0
5,60.0,58.0,57.0,58.0
6,61.0,59.0,56.0,59.0
7,63.0,61.0,57.0,61.0
8,61.0,59.0,57.0,59.0
9,58.0,56.0,55.0,56.0
10,59.0,57.0,55.0,57.0
11,58.0,56.0,56.0,57.0
12,60.0,58.0,55.0,58.0
13,61.0,58.0,58.0,59.0
14,59.0,57.0,57.0,57.0
15,61.0,59.0,54.0,59.0
16,62.0,57.0,55.0,60.0
17,59.0,56.0,57.0,57.0
18,59.0,57.0,56.0,57.0
19,61.0,59.0,58.0,59.0
20,62.0,60.0,57.0,60.0
21,60.0,58.0,57.0,58.0
22,62.0,60.0,59.0,60.0
23,63.0,61.0,57.0,61.0
24,61.0,59.0,54.0,59.0
25,61.0,57.0,57.0,59.0
26,59.0,56.0,57.0,57.0
27,60.0,58.0,56.0,58.0
28,60.0,57.0,57.0,58.0
29,59.0,57.0,57.0,57.0
30,60.0,58.0,57.0,58.0
31,61.0,56.0,58.0,59.0
32,60.0,58.0,57.0,58.0
33,61.0,59.0,58.0,59.0
34,63.0,61.0,60.0,61.0
35,64.0,62.0,57.0,62.0
36,62.0,60.0,54.0,60.0
37,62.0,57.0,57.0,60.0
38,59.0,57.0,57.0,57.0
39,61.0,59.0,57.0,59.0
40,61.0,56.0,58.0,59.0
41,60.0,58.0,57.0,58.0
42,61.0,59.0,58.0,59.0
43,62.0,57.0,59.0,60.0
44,61.0,59.0,57.0,59.0
45,56.0,54.0,53.0,54.0
46,57.0,55.0,54.0,55.0
47,58.0,56.0,55.0,56.0
48,56.0,54.0,54.0,54.0
49,61.0,57.0,57.0,59.0
50,59.0,57.0,57.0,57.0
51,57.0,55.0,53.0,55.0
52,62.0,56.0,55.0,60.0
53,58.0,56.0,55.0,56.0
54,55.0,53.0,53.0,53.0
55,60.0,57.0,56.0,58.0
56,60.0,58.0,58.0,58.0
