Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
0,33.0,33.0,38.0,38.0,39.0,38.0,39.0,39.0,39.0,38.0,39.0,44.0
1,35.0,34.0,39.0,34.0,40.0,33.0,33.0,34.0,41.0,40.0,40.0,39.0
2,35.0,35.0,40.0,34.0,41.0,34.0,35.0,35.0,41.0,40.0,41.0,40.0
3,33.0,32.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,38.0,38.0,44.0
4,35.0,34.0,39.0,34.0,40.0,33.0,33.0,34.0,40.0,40.0,40.0,39.0
5,35.0,34.0,40.0,34.0,40.0,34.0,34.0,34.0,41.0,40.0,40.0,40.0
6,34.0,33.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,39.0,39.0,45.0
7,36.0,35.0,39.0,34.0,41.0,33.0,33.0,34.0,41.0,40.0,41.0,39.0
8,36.0,35.0,41.0,35.0,41.0,35.0,35.0,35.0,42.0,41.0,41.0,41.0
9,39.0,38.0,38.0,44.0,39.0,39.0,39.0,44.0,39.0,44.0,39.0,43.0
10,40.0,40.0,39.0,39.0,41.0,35.0,34.0,39.0,40.0,41.0,41.0,41.0
11,41.0,40.0,40.0,40.0,41.0,35.0,35.0,40.0,41.0,40.0,41.0,40.0
12,46.0,43.0,37.0,44.0,43.0,44.0,44.0,44.0,38.0,43.0,38.0,43.0
13,39.0,45.0,38.0,40.0,40.0,40.0,39.0,39.0,39.0,40.0,40.0,46.0
14,40.0,45.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,40.0,45.0
15,41.0,38.0,38.0,39.0,44.0,44.0,44.0,39.0,39.0,44.0,38.0,44.0
16,35.0,40.0,39.0,40.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,45.0
17,35.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,41.0,40.0,40.0,45.0
18,33.0,32.0,38.0,38.0,38.0,38.0,38.0,37.0,38.0,38.0,38.0,43.0
19,34.0,33.0,39.0,34.0,39.0,33.0,33.0,34.0,39.0,39.0,39.0,38.0
20,35.0,33.0,39.0,34.0,40.0,34.0,34.0,34.0,40.0,40.0,40.0,42.0
21,34.0,32.0,38.0,39.0,39.0,39.0,39.0,38.0,39.0,39.0,39.0,44.0
22,35.0,34.0,39.0,34.0,40.0,33.0,33.0,34.0,40.0,39.0,40.0,39.0
23,36.0,34.0,40.0,35.0,41.0,35.0,34.0,34.0,41.0,41.0,41.0,42.0
24,39.0,38.0,38.0,44.0,38.0,39.0,38.0,43.0,39.0,44.0,38.0,42.0
25,40.0,39.0,39.0,39.0,41.0,35.0,34.0,39.0,40.0,41.0,41.0,42.0
26,41.0,39.0,40.0,40.0,40.0,35.0,34.0,39.0,41.0,40.0,40.0,40.0
27,46.0,43.0,37.0,44.0,43.0,44.0,43.0,43.0,38.0,43.0,37.0,43.0
28,39.0,44.0,38.0,40.0,40.0,40.0,39.0,39.0,39.0,40.0,40.0,45.0
29,40.0,44.0,39.0,40.0,39.0,40.0,39.0,39.0,40.0,39.0,39.0,45.0
30,41.0,38.0,38.0,39.0,44.0,44.0,44.0,38.0,38.0,43.0,38.0,43.0
31,34.0,39.0,39.0,40.0,39.0,39.0,39.0,40.0,39.0,39.0,40.0,44.0
32,35.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,44.0
33,35.0,32.0,39.0,40.0,40.0,40.0,40.0,38.0,40.0,40.0,40.0,45.0
34,36.0,35.0,39.0,34.0,41.0,33.0,33.0,34.0,40.0,40.0,41.0,38.0
35,37.0,35.0,41.0,36.0,42.0,36.0,35.0,34.0,42.0,42.0,42.0,41.0
36,40.0,38.0,39.0,45.0,39.0,40.0,39.0,44.0,40.0,45.0,39.0,43.0
37,40.0,40.0,39.0,39.0,42.0,36.0,35.0,39.0,40.0,42.0,42.0,41.0
38,42.0,40.0,41.0,41.0,41.0,36.0,35.0,40.0,42.0,41.0,41.0,40.0
39,47.0,43.0,38.0,45.0,44.0,45.0,44.0,44.0,39.0,44.0,38.0,43.0
40,39.0,45.0,38.0,41.0,41.0,41.0,40.0,39.0,39.0,41.0,41.0,46.0
41,41.0,45.0,40.0,41.0,40.0,41.0,40.0,40.0,41.0,40.0,40.0,45.0
42,42.0,38.0,38.0,40.0,45.0,45.0,45.0,39.0,39.0,43.0,39.0,43.0
43,34.0,40.0,39.0,40.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,44.0
44,36.0,40.0,39.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,41.0,44.0
45,39.0,38.0,38.0,43.0,39.0,39.0,38.0,42.0,39.0,43.0,39.0,43.0
46,42.0,39.0,41.0,41.0,41.0,36.0,34.0,39.0,42.0,41.0,41.0,40.0
47,41.0,40.0,40.0,40.0,41.0,35.0,35.0,40.0,41.0,40.0,41.0,40.0
48,45.0,43.0,38.0,43.0,43.0,44.0,43.0,43.0,38.0,43.0,38.0,44.0
49,41.0,44.0,40.0,46.0,41.0,41.0,39.0,44.0,41.0,46.0,41.0,45.0
50,40.0,45.0,39.0,45.0,40.0,40.0,40.0,45.0,40.0,45.0,40.0,45.0
51,40.0,38.0,38.0,44.0,43.0,43.0,43.0,44.0,39.0,44.0,39.0,43.0
