Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
0,36.0,35.0,36.0,30.0,31.0
1,36.0,36.0,37.0,32.0,33.0
2,37.0,37.0,37.0,32.0,33.0
3,36.0,35.0,36.0,30.0,31.0
4,36.0,36.0,37.0,32.0,33.0
5,37.0,37.0,37.0,32.0,33.0
6,37.0,36.0,36.0,30.0,31.0
7,36.0,37.0,37.0,32.0,34.0
8,38.0,37.0,37.0,32.0,33.0
9,36.0,35.0,35.0,36.0,32.0
10,38.0,37.0,36.0,36.0,33.0
11,37.0,37.0,37.0,37.0,33.0
12,35.0,34.0,35.0,36.0,31.0
13,38.0,37.0,36.0,36.0,33.0
14,37.0,36.0,37.0,37.0,32.0
15,35.0,34.0,35.0,31.0,31.0
16,36.0,37.0,37.0,32.0,34.0
17,36.0,36.0,37.0,32.0,33.0
18,35.0,35.0,36.0,30.0,31.0
19,36.0,36.0,37.0,32.0,32.0
20,37.0,37.0,37.0,32.0,33.0
21,36.0,36.0,36.0,30.0,31.0
22,36.0,36.0,37.0,32.0,33.0
23,37.0,37.0,37.0,32.0,33.0
24,36.0,35.0,35.0,36.0,32.0
25,37.0,37.0,36.0,36.0,33.0
26,37.0,37.0,37.0,37.0,33.0
27,35.0,34.0,35.0,36.0,31.0
28,37.0,37.0,36.0,36.0,32.0
29,36.0,36.0,37.0,37.0,32.0
30,35.0,34.0,35.0,31.0,31.0
31,35.0,36.0,36.0,31.0,33.0
32,36.0,36.0,37.0,32.0,32.0
33,37.0,37.0,36.0,30.0,31.0
34,36.0,37.0,37.0,32.0,34.0
35,38.0,38.0,37.0,32.0,33.0
36,36.0,35.0,35.0,36.0,32.0
37,38.0,38.0,37.0,37.0,33.0
38,37.0,37.0,37.0,37.0,33.0
39,35.0,34.0,35.0,36.0,31.0
40,38.0,38.0,37.0,37.0,33.0
41,37.0,36.0,37.0,37.0,32.0
42,35.0,35.0,35.0,31.0,31.0
43,36.0,37.0,37.0,32.0,34.0
44,36.0,36.0,37.0,32.0,33.0
45,36.0,36.0,36.0,36.0,31.0
46,37.0,36.0,37.0,37.0,33.0
47,37.0,37.0,37.0,37.0,33.0
48,35.0,35.0,36.0,36.0,31.0
49,37.0,37.0,36.0,37.0,33.0
50,37.0,37.0,37.0,37.0,33.0
51,36.0,35.0,36.0,35.0,32.0
52,38.0,38.0,37.0,37.0,32.0
53,38.0,37.0,37.0,36.0,33.0
54,35.0,34.0,34.0,35.0,30.0
55,37.0,37.0,36.0,36.0,32.0
56,37.0,36.0,37.0,36.0,32.0
57,36.0,35.0,35.0,35.0,31.0
58,38.0,38.0,37.0,37.0,33.0
59,38.0,37.0,37.0,36.0,33.0
60,34.0,35.0,35.0,30.0,32.0
61,35.0,37.0,37.0,32.0,34.0
62,36.0,37.0,37.0,32.0,34.0
63,34.0,34.0,36.0,29.0,31.0
64,36.0,36.0,37.0,32.0,31.0
65,37.0,37.0,37.0,32.0,33.0
66,35.0,35.0,36.0,29.0,31.0
67,36.0,36.0,37.0,32.0,32.0
68,37.0,37.0,37.0,32.0,33.0
69,35.0,34.0,35.0,35.0,32.0
70,36.0,36.0,36.0,35.0,33.0
71,37.0,36.0,36.0,37.0,33.0
72,34.0,33.0,34.0,35.0,31.0
73,36.0,36.0,35.0,35.0,32.0
74,36.0,36.0,36.0,37.0,32.0
75,34.0,33.0,35.0,30.0,31.0
76,35.0,35.0,36.0,31.0,32.0
77,36.0,36.0,36.0,32.0,32.0
78,36.0,36.0,36.0,29.0,31.0
79,36.0,36.0,37.0,32.0,33.0
80,37.0,37.0,37.0,32.0,33.0
81,35.0,34.0,35.0,35.0,32.0
82,37.0,37.0,36.0,36.0,33.0
83,37.0,36.0,36.0,37.0,33.0
84,34.0,34.0,34.0,35.0,31.0
85,37.0,37.0,36.0,36.0,32.0
86,36.0,36.0,36.0,37.0,32.0
87,34.0,34.0,35.0,30.0,31.0
88,35.0,36.0,36.0,31.0,33.0
