Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
0,34.0,31.0,33.0,32.0,33.0,33.0,33.0,32.0,32.0,32.0,32.0,33.0,32.0
1,32.0,31.0,29.0,33.0,29.0,29.0,29.0,33.0,29.0,29.0,33.0,30.0,30.0
2,30.0,32.0,28.0,34.0,28.0,28.0,28.0,34.0,28.0,28.0,34.0,29.0,29.0
3,33.0,31.0,32.0,33.0,32.0,32.0,32.0,33.0,33.0,31.0,33.0,32.0,34.0
4,31.0,31.0,29.0,33.0,29.0,29.0,29.0,33.0,30.0,29.0,33.0,29.0,32.0
5,31.0,33.0,27.0,34.0,27.0,27.0,27.0,34.0,29.0,27.0,34.0,30.0,29.0
6,34.0,31.0,33.0,32.0,33.0,33.0,33.0,34.0,34.0,32.0,32.0,33.0,35.0
7,32.0,32.0,30.0,34.0,30.0,30.0,30.0,34.0,31.0,30.0,34.0,30.0,33.0
8,30.0,32.0,28.0,34.0,28.0,28.0,28.0,34.0,30.0,28.0,34.0,29.0,30.0
9,33.0,31.0,35.0,33.0,35.0,33.0,33.0,33.0,31.0,31.0,33.0,33.0,34.0
10,32.0,31.0,30.0,33.0,30.0,28.0,28.0,33.0,29.0,29.0,33.0,30.0,34.0
11,32.0,32.0,30.0,33.0,30.0,29.0,29.0,33.0,29.0,29.0,33.0,29.0,36.0
12,35.0,30.0,34.0,32.0,34.0,32.0,32.0,32.0,33.0,33.0,32.0,33.0,34.0
13,33.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,32.0,33.0,35.0
14,34.0,31.0,33.0,33.0,33.0,33.0,33.0,33.0,35.0,35.0,32.0,34.0,35.0
15,35.0,30.0,33.0,32.0,33.0,33.0,33.0,32.0,34.0,34.0,31.0,34.0,35.0
16,34.0,31.0,33.0,32.0,33.0,33.0,33.0,32.0,34.0,34.0,31.0,34.0,36.0
17,35.0,32.0,33.0,33.0,33.0,34.0,34.0,33.0,36.0,36.0,31.0,35.0,36.0
18,32.0,30.0,31.0,32.0,31.0,31.0,31.0,32.0,33.0,30.0,32.0,31.0,33.0
19,30.0,31.0,28.0,32.0,28.0,28.0,28.0,32.0,30.0,28.0,32.0,28.0,31.0
20,30.0,32.0,26.0,34.0,26.0,26.0,26.0,34.0,29.0,26.0,34.0,29.0,29.0
21,33.0,30.0,32.0,31.0,32.0,32.0,32.0,33.0,34.0,31.0,31.0,32.0,34.0
22,31.0,32.0,29.0,33.0,29.0,29.0,29.0,33.0,31.0,29.0,33.0,29.0,32.0
23,29.0,31.0,27.0,33.0,27.0,27.0,27.0,33.0,30.0,27.0,33.0,28.0,30.0
24,32.0,30.0,34.0,32.0,34.0,32.0,32.0,32.0,30.0,30.0,32.0,32.0,33.0
25,31.0,31.0,30.0,32.0,30.0,28.0,28.0,32.0,28.0,28.0,32.0,29.0,33.0
26,31.0,31.0,29.0,33.0,29.0,28.0,28.0,33.0,29.0,28.0,33.0,28.0,35.0
27,34.0,29.0,33.0,31.0,33.0,31.0,31.0,32.0,33.0,32.0,31.0,32.0,33.0
28,32.0,31.0,32.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,35.0
29,33.0,30.0,33.0,32.0,32.0,32.0,33.0,34.0,34.0,34.0,32.0,33.0,35.0
30,34.0,30.0,32.0,31.0,32.0,32.0,32.0,31.0,34.0,33.0,31.0,33.0,34.0
31,33.0,32.0,33.0,31.0,33.0,33.0,33.0,31.0,33.0,33.0,30.0,33.0,36.0
32,34.0,31.0,34.0,32.0,33.0,33.0,34.0,32.0,35.0,35.0,31.0,34.0,36.0
33,32.0,31.0,32.0,31.0,32.0,32.0,32.0,31.0,32.0,32.0,29.0,32.0,35.0
34,30.0,33.0,30.0,32.0,30.0,30.0,30.0,32.0,30.0,30.0,32.0,30.0,33.0
35,29.0,32.0,27.0,33.0,27.0,27.0,27.0,33.0,29.0,28.0,33.0,29.0,31.0
36,31.0,31.0,33.0,32.0,33.0,31.0,31.0,32.0,31.0,31.0,30.0,31.0,34.0
37,29.0,32.0,31.0,33.0,31.0,29.0,29.0,33.0,29.0,29.0,32.0,30.0,34.0
38,30.0,32.0,29.0,34.0,29.0,29.0,29.0,34.0,30.0,29.0,34.0,29.0,36.0
39,33.0,30.0,32.0,31.0,32.0,32.0,32.0,33.0,34.0,33.0,31.0,33.0,34.0
40,33.0,32.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,36.0
41,34.0,31.0,34.0,33.0,33.0,33.0,34.0,35.0,35.0,35.0,33.0,34.0,36.0
42,34.0,31.0,33.0,31.0,33.0,32.0,33.0,31.0,35.0,34.0,29.0,34.0,35.0
43,34.0,33.0,34.0,32.0,34.0,34.0,34.0,32.0,34.0,34.0,30.0,34.0,37.0
44,35.0,32.0,35.0,33.0,34.0,34.0,35.0,33.0,36.0,36.0,32.0,35.0,37.0
45,31.0,33.0,33.0,33.0,33.0,32.0,32.0,33.0,31.0,31.0,30.0,34.0,33.0
46,30.0,33.0,31.0,32.0,30.0,30.0,30.0,34.0,29.0,29.0,32.0,31.0,33.0
47,32.0,35.0,30.0,32.0,30.0,29.0,29.0,33.0,29.0,29.0,32.0,31.0,35.0
48,34.0,32.0,33.0,32.0,33.0,31.0,32.0,33.0,32.0,32.0,31.0,35.0,33.0
49,33.0,32.0,34.0,33.0,34.0,33.0,34.0,33.0,32.0,32.0,33.0,33.0,35.0
50,34.0,34.0,35.0,33.0,35.0,33.0,33.0,33.0,34.0,34.0,32.0,33.0,35.0
51,34.0,32.0,34.0,31.0,34.0,32.0,33.0,32.0,33.0,33.0,28.0,34.0,34.0
52,34.0,33.0,35.0,33.0,35.0,34.0,35.0,33.0,33.0,33.0,32.0,34.0,36.0
53,35.0,34.0,35.0,33.0,35.0,34.0,34.0,33.0,35.0,35.0,32.0,34.0,36.0
54,33.0,31.0,32.0,31.0,32.0,30.0,31.0,32.0,33.0,32.0,30.0,34.0,32.0
55,34.0,32.0,33.0,32.0,33.0,32.0,33.0,34.0,34.0,34.0,32.0,32.0,34.0
56,35.0,33.0,34.0,32.0,34.0,32.0,33.0,32.0,34.0,34.0,31.0,33.0,34.0
57,33.0,31.0,33.0,30.0,33.0,31.0,32.0,31.0,34.0,33.0,28.0,33.0,33.0
58,35.0,33.0,34.0,32.0,34.0,33.0,34.0,33.0,35.0,35.0,33.0,33.0,35.0
