Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
0,40.0,44.0,44.0,45.0,45.0,45.0,45.0,43.0,40.0,39.0,42.0,39.0,45.0,40.0
1,43.0,43.0,43.0,47.0,47.0,47.0,44.0,42.0,41.0,40.0,48.0,40.0,47.0,43.0
2,42.0,46.0,46.0,47.0,47.0,47.0,46.0,45.0,41.0,41.0,48.0,41.0,47.0,44.0
3,40.0,46.0,46.0,45.0,45.0,45.0,46.0,44.0,41.0,40.0,45.0,40.0,45.0,43.0
4,43.0,47.0,47.0,47.0,47.0,47.0,47.0,45.0,44.0,40.0,48.0,40.0,47.0,43.0
5,43.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0,44.0,41.0,49.0,43.0,47.0,44.0
6,40.0,46.0,46.0,44.0,44.0,44.0,46.0,43.0,41.0,39.0,43.0,39.0,44.0,43.0
7,42.0,47.0,47.0,46.0,45.0,46.0,47.0,45.0,45.0,40.0,46.0,40.0,45.0,44.0
8,42.0,47.0,47.0,45.0,45.0,45.0,47.0,46.0,44.0,40.0,48.0,43.0,45.0,44.0
9,41.0,46.0,46.0,49.0,46.0,49.0,46.0,45.0,42.0,42.0,43.0,42.0,46.0,45.0
10,42.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,44.0,43.0,44.0,46.0,45.0
11,43.0,46.0,46.0,46.0,45.0,46.0,46.0,45.0,45.0,45.0,47.0,45.0,45.0,44.0
12,41.0,46.0,46.0,48.0,45.0,48.0,46.0,44.0,42.0,42.0,42.0,42.0,45.0,44.0
13,41.0,45.0,45.0,45.0,45.0,45.0,47.0,44.0,46.0,45.0,45.0,45.0,45.0,46.0
14,42.0,45.0,45.0,45.0,45.0,45.0,45.0,44.0,44.0,44.0,46.0,44.0,45.0,43.0
15,40.0,46.0,46.0,44.0,43.0,44.0,46.0,41.0,42.0,38.0,42.0,38.0,43.0,43.0
16,42.0,44.0,44.0,46.0,44.0,46.0,47.0,42.0,45.0,41.0,46.0,41.0,44.0,46.0
