Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
0,44.0,51.0,43.0,43.0,43.0,44.0,51.0,50.0,44.0,44.0,44.0
1,46.0,50.0,43.0,43.0,43.0,46.0,50.0,49.0,45.0,46.0,46.0
2,45.0,48.0,43.0,43.0,43.0,45.0,49.0,47.0,47.0,46.0,46.0
3,43.0,51.0,44.0,44.0,44.0,44.0,51.0,50.0,44.0,44.0,44.0
4,48.0,50.0,46.0,45.0,45.0,48.0,50.0,49.0,46.0,46.0,46.0
5,48.0,49.0,46.0,46.0,46.0,48.0,49.0,48.0,47.0,47.0,47.0
6,44.0,51.0,45.0,45.0,45.0,44.0,51.0,50.0,43.0,45.0,45.0
7,48.0,50.0,47.0,46.0,46.0,48.0,50.0,49.0,47.0,46.0,46.0
8,48.0,50.0,47.0,47.0,47.0,48.0,50.0,48.0,46.0,47.0,47.0
9,44.0,47.0,45.0,45.0,45.0,44.0,47.0,46.0,45.0,45.0,45.0
10,45.0,50.0,46.0,46.0,46.0,47.0,50.0,47.0,46.0,47.0,47.0
11,46.0,50.0,43.0,43.0,43.0,47.0,50.0,48.0,47.0,47.0,47.0
12,43.0,48.0,44.0,44.0,44.0,43.0,48.0,47.0,44.0,44.0,44.0
13,46.0,51.0,45.0,45.0,45.0,46.0,51.0,50.0,46.0,46.0,46.0
14,45.0,50.0,42.0,42.0,42.0,46.0,50.0,49.0,46.0,46.0,46.0
15,43.0,47.0,42.0,42.0,42.0,43.0,47.0,46.0,43.0,44.0,44.0
16,46.0,47.0,43.0,43.0,43.0,46.0,47.0,46.0,45.0,46.0,45.0
17,45.0,50.0,43.0,43.0,43.0,45.0,50.0,49.0,45.0,46.0,46.0
18,43.0,50.0,45.0,44.0,44.0,45.0,50.0,49.0,43.0,44.0,44.0
19,47.0,49.0,46.0,46.0,46.0,47.0,49.0,48.0,46.0,45.0,45.0
20,48.0,49.0,47.0,47.0,47.0,48.0,49.0,47.0,47.0,47.0,47.0
21,44.0,50.0,46.0,45.0,45.0,46.0,50.0,49.0,44.0,45.0,45.0
22,47.0,49.0,47.0,47.0,47.0,47.0,49.0,48.0,47.0,46.0,46.0
23,48.0,50.0,48.0,48.0,48.0,48.0,50.0,48.0,46.0,47.0,47.0
24,45.0,48.0,45.0,45.0,45.0,45.0,48.0,47.0,45.0,45.0,45.0
25,47.0,50.0,47.0,47.0,47.0,47.0,50.0,47.0,46.0,47.0,47.0
26,48.0,51.0,47.0,47.0,47.0,48.0,51.0,47.0,47.0,47.0,47.0
27,44.0,48.0,45.0,45.0,45.0,44.0,48.0,47.0,44.0,44.0,44.0
28,46.0,50.0,46.0,46.0,46.0,46.0,50.0,49.0,46.0,46.0,46.0
29,47.0,50.0,46.0,46.0,46.0,47.0,50.0,49.0,46.0,46.0,46.0
30,44.0,48.0,45.0,44.0,44.0,44.0,48.0,47.0,43.0,44.0,44.0
31,45.0,48.0,46.0,46.0,46.0,45.0,48.0,47.0,45.0,46.0,45.0
32,48.0,50.0,46.0,46.0,46.0,48.0,50.0,49.0,46.0,47.0,47.0
33,44.0,48.0,46.0,46.0,46.0,46.0,47.0,46.0,43.0,45.0,45.0
34,45.0,50.0,47.0,47.0,47.0,46.0,50.0,47.0,45.0,46.0,46.0
35,47.0,50.0,48.0,48.0,48.0,47.0,50.0,48.0,47.0,48.0,48.0
36,45.0,47.0,46.0,46.0,46.0,45.0,47.0,46.0,45.0,45.0,45.0
37,47.0,50.0,48.0,48.0,48.0,47.0,50.0,48.0,45.0,48.0,48.0
38,48.0,52.0,48.0,48.0,48.0,48.0,52.0,48.0,47.0,47.0,47.0
39,44.0,47.0,46.0,46.0,46.0,44.0,47.0,46.0,44.0,44.0,44.0
