Move,Piece,Rotation,Flip,Row,Col
0,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
0,Piece.RAILWAY_CORNER,Rotation.I,False,2,5
0,Piece.CORNER_JUNCTION,Rotation.R90,False,1,5
0,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,4
0,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
1,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
1,Piece.CORNER_JUNCTION,Rotation.R90,False,1,5
1,Piece.RAILWAY_CORNER,Rotation.I,False,6,0
1,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,4
1,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
2,Piece.RAILWAY_CORNER,Rotation.R180,False,6,2
2,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
2,Piece.CORNER_JUNCTION,Rotation.R90,False,1,5
2,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,4
2,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
3,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
3,Piece.RAILWAY_CORNER,Rotation.R90,False,2,5
3,Piece.CORNER_JUNCTION,Rotation.R90,False,1,5
3,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,4
3,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
4,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
4,Piece.THREE_H_JUNCTION,Rotation.R90,False,1,5
4,Piece.RAILWAY_CORNER,Rotation.I,False,6,0
4,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,4
4,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
5,Piece.RAILWAY_CORNER,Rotation.R180,False,6,2
5,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
5,Piece.THREE_H_JUNCTION,Rotation.R90,False,1,5
5,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,4
5,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
6,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
6,Piece.RAILWAY_CORNER,Rotation.I,False,2,5
6,Piece.CORNER_JUNCTION,Rotation.R90,False,1,5
6,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
6,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,2,4
7,Piece.CORNER_JUNCTION,Rotation.R90,False,1,5
7,Piece.STRAIGHT_STATION,Rotation.R270,False,3,6
7,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,4
7,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
7,Piece.RAILWAY_CORNER,Rotation.R90,False,3,5
8,Piece.RAILWAY_STRAIGHT,Rotation.I,False,2,5
8,Piece.CORNER_JUNCTION,Rotation.R90,False,1,5
8,Piece.STRAIGHT_STATION,Rotation.R270,False,3,6
8,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
8,Piece.RAILWAY_CORNER,Rotation.R90,False,3,5
9,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6
9,Piece.THREE_H_JUNCTION,Rotation.R270,False,1,5
9,Piece.RAILWAY_CORNER,Rotation.I,False,6,0
9,Piece.STRAIGHT_STATION,Rotation.R270,False,1,4
9,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
10,Piece.RAILWAY_CORNER,Rotation.R180,False,6,2
10,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6
10,Piece.THREE_H_JUNCTION,Rotation.R270,False,1,5
10,Piece.STRAIGHT_STATION,Rotation.R270,False,1,4
10,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
11,Piece.RAILWAY_CORNER,Rotation.R90,False,6,2
11,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
11,Piece.CORNER_JUNCTION,Rotation.R90,False,1,5
11,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,4
11,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
12,Piece.RAILWAY_CORNER,Rotation.R180,False,6,2
12,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6
12,Piece.CORNER_JUNCTION,Rotation.I,False,1,5
12,Piece.STRAIGHT_STATION,Rotation.R270,False,1,4
12,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
13,Piece.RAILWAY_CORNER,Rotation.R180,False,6,2
13,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6
13,Piece.CROSS_JUNCTION,Rotation.I,False,1,5
13,Piece.STRAIGHT_STATION,Rotation.I,False,6,0
13,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
14,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
14,Piece.RAILWAY_CORNER,Rotation.R90,False,2,5
14,Piece.CORNER_JUNCTION,Rotation.R90,False,1,5
14,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,2,6
14,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
15,Piece.RAILWAY_CORNER,Rotation.R90,False,6,2
15,Piece.STRAIGHT_STATION,Rotation.R90,False,1,6
15,Piece.THREE_H_JUNCTION,Rotation.R90,False,1,5
15,Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,4
15,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,5
