Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
0,45.0,44.0,45.0,43.0,46.0,44.0,45.0,46.0,45.0
1,46.0,46.0,46.0,44.0,44.0,46.0,46.0,45.0,46.0
2,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,44.0
3,46.0,44.0,44.0,43.0,46.0,43.0,46.0,46.0,44.0
4,45.0,45.0,45.0,44.0,46.0,45.0,45.0,45.0,45.0
5,45.0,46.0,45.0,44.0,44.0,45.0,46.0,46.0,45.0
6,47.0,45.0,45.0,44.0,47.0,44.0,47.0,47.0,45.0
7,46.0,46.0,44.0,45.0,47.0,45.0,44.0,46.0,44.0
8,46.0,46.0,46.0,44.0,44.0,46.0,46.0,44.0,46.0
9,44.0,44.0,44.0,43.0,43.0,43.0,45.0,44.0,44.0
10,44.0,44.0,44.0,43.0,43.0,43.0,44.0,44.0,44.0
11,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
12,43.0,43.0,43.0,43.0,46.0,43.0,44.0,46.0,43.0
13,45.0,45.0,45.0,44.0,46.0,45.0,45.0,45.0,45.0
14,45.0,45.0,45.0,44.0,45.0,45.0,45.0,45.0,45.0
15,44.0,44.0,44.0,44.0,45.0,44.0,45.0,45.0,44.0
16,45.0,46.0,45.0,45.0,47.0,46.0,45.0,46.0,45.0
17,45.0,46.0,45.0,45.0,46.0,46.0,45.0,46.0,45.0
18,45.0,44.0,43.0,44.0,45.0,44.0,45.0,45.0,43.0
19,44.0,46.0,44.0,44.0,45.0,44.0,44.0,46.0,44.0
20,45.0,46.0,45.0,45.0,45.0,46.0,46.0,45.0,45.0
21,46.0,45.0,44.0,44.0,46.0,45.0,46.0,46.0,44.0
22,45.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0,45.0
23,45.0,47.0,45.0,46.0,46.0,47.0,47.0,45.0,45.0
24,44.0,45.0,44.0,43.0,43.0,45.0,45.0,44.0,44.0
25,45.0,45.0,45.0,43.0,43.0,44.0,43.0,45.0,43.0
26,45.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,45.0
27,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
28,44.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
29,46.0,46.0,44.0,44.0,45.0,46.0,46.0,45.0,44.0
30,43.0,45.0,46.0,43.0,44.0,43.0,46.0,45.0,46.0
31,45.0,46.0,48.0,45.0,46.0,45.0,48.0,46.0,48.0
32,45.0,46.0,45.0,45.0,46.0,45.0,45.0,46.0,45.0
33,44.0,45.0,44.0,45.0,45.0,45.0,45.0,45.0,44.0
34,45.0,46.0,45.0,46.0,46.0,46.0,46.0,46.0,45.0
35,44.0,46.0,44.0,47.0,47.0,46.0,47.0,46.0,44.0
36,43.0,46.0,43.0,44.0,44.0,46.0,46.0,44.0,43.0
37,45.0,46.0,44.0,44.0,44.0,45.0,44.0,46.0,44.0
38,45.0,45.0,45.0,44.0,44.0,45.0,45.0,44.0,45.0
39,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
40,45.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
41,47.0,47.0,45.0,45.0,45.0,47.0,47.0,46.0,45.0
42,44.0,44.0,46.0,44.0,44.0,44.0,46.0,44.0,46.0
43,46.0,46.0,48.0,46.0,46.0,45.0,48.0,46.0,48.0
44,46.0,46.0,44.0,45.0,46.0,46.0,46.0,46.0,45.0
45,45.0,45.0,44.0,45.0,45.0,45.0,44.0,45.0,44.0
46,47.0,46.0,45.0,45.0,44.0,46.0,44.0,44.0,44.0
47,46.0,46.0,44.0,44.0,46.0,46.0,46.0,44.0,44.0
48,46.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0
49,47.0,47.0,46.0,46.0,45.0,47.0,44.0,45.0,44.0
50,46.0,46.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0
51,44.0,45.0,44.0,45.0,45.0,43.0,44.0,45.0,44.0
52,45.0,46.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0
53,45.0,46.0,45.0,46.0,46.0,45.0,45.0,46.0,45.0
54,45.0,45.0,46.0,46.0,45.0,45.0,45.0,45.0,45.0
55,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
56,46.0,45.0,44.0,44.0,45.0,46.0,45.0,45.0,44.0
57,43.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
58,45.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
59,45.0,45.0,45.0,45.0,46.0,46.0,46.0,46.0,45.0
60,43.0,44.0,47.0,44.0,45.0,45.0,47.0,45.0,47.0
61,45.0,46.0,48.0,46.0,46.0,45.0,48.0,46.0,48.0
62,45.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,46.0
63,44.0,44.0,42.0,44.0,44.0,44.0,44.0,44.0,42.0
64,43.0,45.0,43.0,43.0,44.0,43.0,43.0,45.0,43.0
65,44.0,45.0,44.0,44.0,44.0,45.0,45.0,44.0,44.0
66,45.0,45.0,43.0,43.0,45.0,44.0,45.0,45.0,43.0
67,44.0,46.0,44.0,44.0,45.0,44.0,44.0,46.0,44.0
68,45.0,46.0,45.0,45.0,45.0,46.0,46.0,45.0,45.0
69,43.0,44.0,43.0,42.0,42.0,44.0,44.0,44.0,43.0
70,44.0,46.0,44.0,44.0,42.0,44.0,42.0,46.0,42.0
71,45.0,45.0,45.0,43.0,43.0,43.0,44.0,45.0,44.0
72,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
73,43.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
74,45.0,45.0,44.0,43.0,44.0,45.0,45.0,45.0,44.0
75,43.0,44.0,45.0,42.0,43.0,42.0,45.0,44.0,45.0
76,44.0,46.0,47.0,44.0,45.0,44.0,47.0,46.0,47.0
77,45.0,46.0,45.0,44.0,45.0,44.0,44.0,46.0,44.0
78,43.0,44.0,43.0,44.0,44.0,44.0,44.0,44.0,43.0
79,44.0,45.0,44.0,45.0,45.0,45.0,45.0,45.0,44.0
80,44.0,45.0,44.0,46.0,46.0,45.0,46.0,45.0,44.0
81,44.0,45.0,44.0,43.0,43.0,45.0,45.0,44.0,44.0
82,44.0,45.0,43.0,45.0,43.0,45.0,43.0,45.0,43.0
83,45.0,45.0,45.0,43.0,43.0,44.0,45.0,45.0,45.0
84,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
85,44.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
86,46.0,46.0,44.0,44.0,45.0,46.0,46.0,45.0,45.0
87,43.0,45.0,45.0,43.0,43.0,43.0,45.0,45.0,45.0
88,45.0,45.0,47.0,45.0,45.0,45.0,47.0,45.0,47.0
89,45.0,45.0,45.0,45.0,46.0,45.0,45.0,46.0,45.0
90,44.0,45.0,43.0,44.0,44.0,44.0,43.0,44.0,43.0
91,46.0,46.0,44.0,44.0,43.0,48.0,43.0,44.0,43.0
92,45.0,47.0,45.0,43.0,45.0,45.0,45.0,45.0,44.0
93,45.0,44.0,44.0,44.0,44.0,45.0,44.0,44.0,44.0
94,46.0,46.0,45.0,45.0,44.0,47.0,44.0,45.0,44.0
95,45.0,46.0,44.0,45.0,45.0,44.0,44.0,46.0,44.0
96,44.0,45.0,45.0,44.0,44.0,43.0,43.0,45.0,43.0
97,44.0,46.0,44.0,44.0,44.0,44.0,44.0,46.0,44.0
98,45.0,46.0,45.0,45.0,45.0,44.0,45.0,46.0,45.0
99,44.0,45.0,45.0,45.0,44.0,44.0,44.0,45.0,44.0
100,45.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0
101,45.0,45.0,44.0,44.0,44.0,45.0,44.0,45.0,44.0
102,43.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
103,44.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
104,45.0,46.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0
105,43.0,45.0,46.0,43.0,44.0,44.0,46.0,45.0,46.0
106,44.0,45.0,47.0,45.0,45.0,44.0,47.0,45.0,47.0
107,45.0,46.0,45.0,46.0,46.0,46.0,46.0,46.0,45.0
108,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
109,42.0,45.0,41.0,45.0,45.0,45.0,42.0,45.0,41.0
110,42.0,41.0,42.0,42.0,43.0,42.0,42.0,42.0,42.0
111,41.0,44.0,42.0,43.0,43.0,44.0,43.0,43.0,42.0
112,42.0,45.0,42.0,44.0,44.0,45.0,42.0,45.0,42.0
113,44.0,44.0,44.0,42.0,43.0,43.0,44.0,44.0,44.0
114,41.0,43.0,43.0,43.0,43.0,43.0,44.0,43.0,43.0
115,44.0,44.0,44.0,44.0,45.0,44.0,45.0,45.0,45.0
116,43.0,43.0,43.0,43.0,43.0,43.0,46.0,44.0,43.0
117,42.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
118,44.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0,46.0
119,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0,44.0
120,44.0,44.0,44.0,44.0,44.0,43.0,44.0,44.0,44.0
121,45.0,45.0,45.0,45.0,44.0,49.0,44.0,45.0,44.0
122,45.0,46.0,44.0,44.0,44.0,45.0,44.0,44.0,44.0
123,44.0,44.0,45.0,45.0,45.0,43.0,45.0,44.0,45.0
124,45.0,45.0,46.0,46.0,44.0,48.0,45.0,44.0,45.0
125,45.0,45.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0
126,44.0,44.0,44.0,44.0,45.0,44.0,44.0,44.0,44.0
127,44.0,45.0,45.0,45.0,45.0,45.0,44.0,45.0,44.0
128,44.0,45.0,44.0,45.0,46.0,45.0,45.0,46.0,45.0
129,43.0,44.0,45.0,45.0,44.0,43.0,44.0,44.0,44.0
130,44.0,44.0,45.0,45.0,44.0,47.0,44.0,44.0,44.0
131,44.0,44.0,45.0,44.0,44.0,44.0,45.0,44.0,45.0
132,43.0,45.0,45.0,45.0,45.0,44.0,45.0,45.0,45.0
133,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
134,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
135,42.0,44.0,45.0,44.0,44.0,44.0,45.0,44.0,45.0
136,45.0,45.0,46.0,45.0,45.0,45.0,46.0,45.0,46.0
137,45.0,46.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0
138,46.0,46.0,44.0,44.0,44.0,46.0,44.0,42.0,44.0
139,45.0,46.0,45.0,45.0,44.0,45.0,44.0,44.0,44.0
