Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
0,46.0,45.0,45.0,46.0,45.0,46.0,45.0
1,44.0,46.0,44.0,47.0,46.0,47.0,46.0
2,44.0,46.0,44.0,45.0,46.0,47.0,46.0
3,46.0,46.0,46.0,46.0,46.0,46.0,46.0
4,47.0,46.0,46.0,47.0,46.0,48.0,46.0
5,47.0,47.0,46.0,47.0,47.0,47.0,47.0
6,46.0,46.0,46.0,46.0,46.0,46.0,46.0
7,47.0,46.0,46.0,47.0,46.0,47.0,46.0
8,47.0,46.0,46.0,47.0,46.0,48.0,46.0
9,46.0,47.0,45.0,45.0,45.0,45.0,47.0
10,45.0,44.0,46.0,46.0,46.0,46.0,46.0
11,45.0,46.0,45.0,45.0,46.0,46.0,46.0
12,45.0,46.0,44.0,44.0,44.0,44.0,46.0
13,48.0,47.0,47.0,48.0,47.0,48.0,47.0
14,47.0,46.0,48.0,47.0,48.0,47.0,46.0
15,46.0,45.0,45.0,45.0,45.0,45.0,45.0
16,45.0,45.0,44.0,47.0,46.0,46.0,46.0
17,45.0,46.0,44.0,44.0,44.0,46.0,46.0
18,46.0,46.0,46.0,46.0,46.0,45.0,46.0
19,47.0,46.0,46.0,47.0,46.0,47.0,46.0
20,47.0,47.0,47.0,47.0,46.0,48.0,47.0
21,46.0,46.0,46.0,46.0,46.0,46.0,46.0
22,47.0,47.0,47.0,47.0,47.0,48.0,47.0
23,47.0,47.0,47.0,47.0,47.0,49.0,47.0
24,46.0,47.0,46.0,46.0,46.0,45.0,47.0
25,47.0,47.0,47.0,47.0,47.0,47.0,47.0
26,46.0,46.0,46.0,47.0,47.0,47.0,46.0
27,45.0,46.0,45.0,45.0,45.0,44.0,46.0
28,47.0,47.0,47.0,47.0,47.0,47.0,47.0
29,46.0,46.0,47.0,47.0,47.0,47.0,46.0
30,46.0,45.0,45.0,45.0,45.0,45.0,46.0
31,44.0,46.0,44.0,46.0,47.0,47.0,46.0
32,45.0,46.0,44.0,46.0,46.0,46.0,46.0
33,46.0,46.0,46.0,46.0,46.0,45.0,46.0
34,47.0,47.0,47.0,47.0,47.0,49.0,47.0
35,48.0,47.0,47.0,48.0,47.0,50.0,47.0
36,46.0,47.0,46.0,46.0,46.0,44.0,47.0
37,47.0,47.0,47.0,48.0,47.0,48.0,47.0
38,46.0,46.0,46.0,47.0,46.0,47.0,46.0
39,46.0,46.0,46.0,46.0,46.0,44.0,46.0
40,48.0,47.0,47.0,48.0,47.0,48.0,47.0
41,47.0,46.0,48.0,47.0,48.0,47.0,46.0
42,46.0,45.0,45.0,45.0,45.0,44.0,47.0
43,44.0,47.0,44.0,47.0,47.0,47.0,47.0
44,46.0,44.0,44.0,47.0,46.0,46.0,46.0
45,44.0,44.0,43.0,43.0,43.0,43.0,45.0
46,46.0,46.0,46.0,46.0,46.0,46.0,46.0
47,45.0,48.0,45.0,45.0,45.0,45.0,48.0
48,44.0,47.0,43.0,44.0,42.0,43.0,47.0
49,48.0,47.0,48.0,47.0,48.0,47.0,47.0
50,47.0,48.0,48.0,47.0,48.0,47.0,50.0
51,44.0,44.0,42.0,44.0,43.0,43.0,44.0
52,45.0,45.0,45.0,48.0,45.0,47.0,46.0
53,45.0,48.0,45.0,46.0,45.0,45.0,48.0
54,43.0,46.0,42.0,43.0,42.0,43.0,46.0
55,47.0,47.0,47.0,46.0,47.0,46.0,47.0
56,47.0,47.0,48.0,47.0,48.0,47.0,49.0
57,43.0,46.0,43.0,43.0,42.0,43.0,46.0
58,48.0,48.0,47.0,47.0,47.0,47.0,48.0
59,47.0,47.0,46.0,46.0,46.0,46.0,47.0
60,43.0,43.0,42.0,42.0,42.0,43.0,46.0
61,44.0,48.0,43.0,44.0,43.0,45.0,48.0
62,45.0,47.0,44.0,45.0,44.0,45.0,47.0
63,45.0,45.0,45.0,45.0,45.0,45.0,45.0
64,46.0,46.0,46.0,46.0,46.0,47.0,46.0
65,47.0,47.0,47.0,46.0,46.0,47.0,47.0
66,45.0,45.0,46.0,45.0,46.0,45.0,45.0
67,46.0,47.0,47.0,46.0,47.0,48.0,47.0
