Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
0,47.0,47.0,47.0,47.0,46.0,46.0
1,48.0,47.0,47.0,47.0,48.0,48.0
2,49.0,49.0,49.0,49.0,48.0,48.0
3,46.0,46.0,46.0,46.0,45.0,45.0
4,47.0,46.0,46.0,46.0,47.0,47.0
5,48.0,48.0,48.0,48.0,47.0,47.0
6,46.0,45.0,45.0,45.0,46.0,46.0
7,48.0,47.0,47.0,47.0,48.0,48.0
8,48.0,47.0,47.0,47.0,48.0,48.0
9,46.0,46.0,46.0,46.0,45.0,45.0
10,46.0,47.0,46.0,46.0,46.0,46.0
11,48.0,48.0,48.0,48.0,47.0,47.0
12,45.0,45.0,45.0,45.0,45.0,45.0
13,45.0,46.0,45.0,45.0,47.0,47.0
14,47.0,47.0,47.0,47.0,47.0,47.0
15,45.0,44.0,44.0,44.0,45.0,45.0
16,46.0,46.0,46.0,46.0,47.0,47.0
17,47.0,46.0,46.0,46.0,47.0,47.0
18,45.0,45.0,45.0,45.0,44.0,44.0
19,46.0,45.0,45.0,45.0,46.0,46.0
20,47.0,47.0,47.0,47.0,46.0,46.0
21,45.0,44.0,44.0,44.0,45.0,45.0
22,47.0,46.0,46.0,46.0,47.0,47.0
23,47.0,46.0,46.0,46.0,47.0,47.0
24,45.0,45.0,45.0,45.0,44.0,44.0
25,45.0,46.0,45.0,45.0,45.0,45.0
26,47.0,47.0,47.0,47.0,46.0,46.0
27,44.0,44.0,44.0,44.0,44.0,44.0
28,44.0,45.0,44.0,44.0,46.0,46.0
29,46.0,46.0,46.0,46.0,46.0,46.0
30,44.0,43.0,43.0,43.0,44.0,44.0
31,45.0,45.0,45.0,45.0,46.0,46.0
32,46.0,45.0,45.0,45.0,46.0,46.0
33,46.0,45.0,45.0,45.0,46.0,46.0
34,47.0,47.0,47.0,47.0,47.0,47.0
35,48.0,47.0,47.0,47.0,47.0,47.0
36,45.0,45.0,44.0,44.0,45.0,45.0
37,46.0,47.0,46.0,46.0,46.0,46.0
38,47.0,47.0,46.0,46.0,47.0,47.0
39,44.0,44.0,43.0,43.0,45.0,45.0
40,45.0,46.0,45.0,45.0,47.0,47.0
41,46.0,46.0,45.0,45.0,47.0,47.0
42,45.0,44.0,44.0,44.0,45.0,45.0
43,46.0,46.0,46.0,46.0,47.0,47.0
44,47.0,46.0,46.0,46.0,47.0,47.0
45,45.0,45.0,45.0,45.0,44.0,44.0
46,46.0,46.0,45.0,45.0,46.0,46.0
47,47.0,47.0,47.0,47.0,46.0,46.0
48,44.0,44.0,44.0,44.0,44.0,44.0
49,45.0,46.0,44.0,44.0,46.0,46.0
50,46.0,46.0,46.0,46.0,46.0,46.0
51,44.0,44.0,43.0,43.0,44.0,44.0
52,46.0,46.0,45.0,45.0,46.0,46.0
53,46.0,46.0,45.0,45.0,46.0,46.0
54,43.0,43.0,43.0,43.0,43.0,43.0
55,44.0,45.0,43.0,43.0,45.0,45.0
56,45.0,45.0,45.0,45.0,45.0,45.0
57,43.0,44.0,42.0,42.0,44.0,44.0
58,45.0,46.0,44.0,44.0,46.0,46.0
