Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
0,34.0,34.0,36.0,34.0,34.0,37.0,37.0,37.0
1,34.0,35.0,31.0,34.0,35.0,38.0,38.0,38.0
2,34.0,35.0,33.0,34.0,36.0,38.0,38.0,38.0
3,35.0,35.0,37.0,35.0,35.0,38.0,37.0,38.0
4,33.0,34.0,32.0,33.0,35.0,39.0,38.0,39.0
5,37.0,37.0,34.0,37.0,37.0,39.0,39.0,39.0
6,36.0,36.0,38.0,36.0,36.0,37.0,37.0,37.0
7,34.0,35.0,32.0,34.0,35.0,38.0,38.0,38.0
8,38.0,38.0,34.0,38.0,38.0,39.0,39.0,39.0
9,36.0,36.0,38.0,36.0,36.0,38.0,38.0,38.0
10,38.0,38.0,32.0,38.0,38.0,39.0,39.0,39.0
11,35.0,36.0,34.0,35.0,36.0,40.0,40.0,40.0
12,35.0,35.0,37.0,35.0,35.0,38.0,37.0,37.0
13,37.0,37.0,37.0,37.0,37.0,39.0,38.0,38.0
14,37.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0
15,36.0,36.0,36.0,36.0,36.0,37.0,37.0,37.0
16,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
17,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
18,35.0,35.0,37.0,35.0,35.0,38.0,36.0,38.0
19,33.0,33.0,32.0,33.0,35.0,39.0,37.0,39.0
20,37.0,37.0,34.0,37.0,37.0,40.0,40.0,40.0
21,36.0,36.0,38.0,36.0,36.0,38.0,37.0,38.0
22,33.0,34.0,32.0,34.0,35.0,39.0,38.0,39.0
23,38.0,38.0,34.0,38.0,38.0,40.0,40.0,40.0
24,36.0,36.0,38.0,36.0,36.0,38.0,38.0,38.0
25,38.0,38.0,32.0,38.0,38.0,40.0,40.0,40.0
26,37.0,37.0,34.0,37.0,37.0,39.0,39.0,39.0
27,35.0,35.0,37.0,35.0,35.0,38.0,38.0,38.0
28,37.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0
29,37.0,37.0,37.0,37.0,37.0,40.0,40.0,40.0
30,36.0,36.0,37.0,36.0,36.0,38.0,38.0,38.0
31,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0
32,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0
33,35.0,35.0,37.0,35.0,35.0,37.0,36.0,37.0
34,33.0,35.0,32.0,34.0,35.0,38.0,37.0,38.0
35,35.0,37.0,34.0,36.0,37.0,38.0,38.0,38.0
36,36.0,36.0,38.0,36.0,36.0,38.0,37.0,38.0
37,35.0,37.0,32.0,36.0,37.0,39.0,38.0,39.0
38,38.0,38.0,34.0,38.0,38.0,39.0,39.0,39.0
39,35.0,35.0,37.0,35.0,35.0,38.0,37.0,37.0
40,37.0,37.0,37.0,37.0,37.0,39.0,38.0,38.0
41,38.0,38.0,38.0,38.0,38.0,40.0,40.0,40.0
42,36.0,36.0,37.0,36.0,36.0,37.0,37.0,37.0
43,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
44,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
45,36.0,36.0,38.0,36.0,36.0,38.0,38.0,38.0
46,37.0,37.0,36.0,37.0,37.0,39.0,39.0,39.0
47,38.0,36.0,37.0,38.0,36.0,40.0,40.0,40.0
48,36.0,36.0,38.0,36.0,36.0,38.0,38.0,38.0
49,38.0,38.0,38.0,38.0,38.0,40.0,40.0,40.0
50,38.0,37.0,38.0,38.0,37.0,40.0,39.0,40.0
51,37.0,37.0,39.0,37.0,37.0,38.0,38.0,38.0
52,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
53,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0
54,36.0,35.0,37.0,36.0,35.0,38.0,38.0,37.0
55,37.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0
56,37.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0
57,36.0,36.0,38.0,36.0,36.0,38.0,38.0,38.0
58,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0
59,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0
60,36.0,36.0,37.0,36.0,36.0,37.0,37.0,37.0
61,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
62,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
63,34.0,34.0,36.0,34.0,34.0,37.0,35.0,37.0
64,32.0,32.0,31.0,33.0,34.0,38.0,36.0,38.0
65,36.0,36.0,33.0,36.0,36.0,39.0,39.0,39.0
66,35.0,35.0,37.0,35.0,35.0,38.0,36.0,38.0
67,32.0,33.0,31.0,34.0,35.0,39.0,37.0,39.0
68,37.0,37.0,33.0,37.0,37.0,39.0,39.0,39.0
69,35.0,35.0,37.0,35.0,35.0,38.0,37.0,38.0
70,37.0,37.0,31.0,37.0,37.0,39.0,39.0,39.0
71,36.0,36.0,33.0,36.0,36.0,39.0,38.0,39.0
72,34.0,34.0,36.0,34.0,34.0,37.0,37.0,37.0
73,36.0,36.0,36.0,36.0,36.0,39.0,38.0,39.0
74,36.0,36.0,36.0,36.0,36.0,39.0,39.0,39.0
75,35.0,35.0,36.0,35.0,35.0,38.0,37.0,38.0
76,37.0,37.0,37.0,37.0,37.0,39.0,38.0,39.0
77,37.0,37.0,37.0,37.0,37.0,39.0,38.0,39.0
78,34.0,34.0,36.0,34.0,34.0,38.0,37.0,38.0
79,32.0,34.0,31.0,34.0,34.0,39.0,37.0,39.0
80,35.0,36.0,33.0,35.0,36.0,39.0,39.0,39.0
81,35.0,35.0,37.0,35.0,35.0,38.0,37.0,38.0
82,35.0,36.0,31.0,35.0,36.0,39.0,39.0,39.0
83,37.0,37.0,33.0,37.0,37.0,39.0,39.0,39.0
84,34.0,34.0,36.0,34.0,34.0,38.0,37.0,38.0
85,36.0,36.0,36.0,36.0,36.0,39.0,38.0,39.0
86,37.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0
87,35.0,35.0,36.0,35.0,35.0,38.0,37.0,38.0
88,37.0,37.0,37.0,37.0,37.0,39.0,38.0,39.0
89,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0
90,35.0,35.0,37.0,35.0,35.0,38.0,38.0,38.0
91,36.0,36.0,35.0,36.0,36.0,39.0,39.0,39.0
92,37.0,37.0,36.0,37.0,37.0,39.0,39.0,39.0
93,35.0,35.0,37.0,35.0,35.0,38.0,38.0,38.0
94,37.0,37.0,37.0,37.0,37.0,40.0,39.0,40.0
95,37.0,37.0,37.0,37.0,37.0,40.0,40.0,40.0
96,36.0,36.0,38.0,36.0,36.0,38.0,38.0,38.0
97,38.0,38.0,38.0,38.0,38.0,40.0,40.0,40.0
98,38.0,38.0,38.0,38.0,38.0,40.0,40.0,40.0
99,35.0,34.0,36.0,35.0,34.0,37.0,37.0,37.0
100,36.0,36.0,36.0,36.0,36.0,39.0,39.0,39.0
101,36.0,36.0,36.0,36.0,36.0,39.0,39.0,39.0
102,35.0,35.0,37.0,35.0,35.0,38.0,38.0,38.0
103,37.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0
104,37.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0
105,35.0,35.0,36.0,35.0,35.0,38.0,38.0,38.0
106,37.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0
107,37.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0
108,33.0,34.0,35.0,33.0,33.0,33.0,32.0,33.0
109,32.0,34.0,30.0,34.0,33.0,35.0,33.0,34.0
110,35.0,36.0,32.0,35.0,35.0,35.0,34.0,35.0
111,34.0,34.0,36.0,34.0,34.0,36.0,36.0,36.0
112,35.0,36.0,32.0,35.0,35.0,37.0,36.0,37.0
113,36.0,36.0,33.0,36.0,36.0,38.0,38.0,38.0
114,34.0,34.0,36.0,34.0,34.0,37.0,37.0,37.0
115,35.0,35.0,35.0,35.0,35.0,38.0,37.0,38.0
116,36.0,36.0,36.0,36.0,36.0,39.0,39.0,39.0
117,35.0,35.0,36.0,35.0,35.0,36.0,36.0,36.0
118,36.0,36.0,36.0,36.0,36.0,37.0,36.0,37.0
119,37.0,37.0,37.0,37.0,37.0,38.0,38.0,38.0
120,36.0,36.0,38.0,36.0,36.0,37.0,36.0,37.0
121,37.0,36.0,36.0,37.0,36.0,38.0,38.0,38.0
122,38.0,38.0,37.0,38.0,38.0,38.0,38.0,38.0
123,36.0,35.0,37.0,36.0,35.0,38.0,37.0,38.0
124,37.0,36.0,37.0,37.0,36.0,40.0,39.0,40.0
125,38.0,38.0,38.0,38.0,38.0,40.0,39.0,40.0
126,35.0,36.0,36.0,35.0,35.0,37.0,36.0,37.0
127,37.0,37.0,37.0,37.0,37.0,39.0,38.0,39.0
128,39.0,39.0,39.0,39.0,39.0,39.0,38.0,39.0
129,36.0,34.0,36.0,36.0,34.0,37.0,37.0,37.0
130,37.0,36.0,37.0,37.0,36.0,39.0,38.0,39.0
131,37.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0
132,35.0,35.0,36.0,35.0,35.0,38.0,37.0,38.0
133,37.0,37.0,37.0,37.0,37.0,39.0,38.0,39.0
134,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0
135,35.0,36.0,36.0,35.0,35.0,37.0,36.0,37.0
136,38.0,38.0,38.0,38.0,38.0,38.0,37.0,38.0
137,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
138,37.0,37.0,39.0,37.0,37.0,38.0,38.0,38.0
139,39.0,39.0,37.0,39.0,39.0,39.0,39.0,39.0
140,38.0,36.0,37.0,38.0,36.0,39.0,39.0,39.0
141,37.0,37.0,39.0,37.0,37.0,39.0,39.0,39.0
142,38.0,38.0,38.0,38.0,38.0,40.0,40.0,40.0
143,38.0,38.0,38.0,38.0,38.0,40.0,40.0,40.0
144,38.0,38.0,40.0,38.0,38.0,38.0,37.0,38.0
145,39.0,39.0,39.0,39.0,39.0,39.0,38.0,39.0
146,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
147,37.0,36.0,38.0,37.0,36.0,38.0,38.0,38.0
148,38.0,37.0,38.0,38.0,37.0,40.0,39.0,40.0
149,38.0,38.0,38.0,38.0,38.0,40.0,40.0,40.0
150,37.0,37.0,39.0,37.0,37.0,39.0,38.0,39.0
151,38.0,38.0,38.0,38.0,38.0,40.0,39.0,40.0
152,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0
153,37.0,37.0,39.0,37.0,37.0,38.0,37.0,38.0
154,38.0,38.0,38.0,38.0,38.0,39.0,38.0,39.0
155,40.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0
156,36.0,35.0,37.0,36.0,35.0,37.0,37.0,37.0
157,37.0,36.0,37.0,37.0,36.0,39.0,39.0,39.0
158,37.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0
159,36.0,36.0,38.0,36.0,36.0,38.0,38.0,38.0
160,37.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0
161,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0
162,36.0,36.0,38.0,36.0,36.0,38.0,38.0,38.0
163,37.0,37.0,37.0,37.0,37.0,39.0,39.0,39.0
164,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
165,37.0,37.0,39.0,37.0,37.0,37.0,37.0,37.0
166,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
167,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
