Piece,Rotation,Flip,Row,Col,Turn
Piece.RAILWAY_CORNER,Rotation.R270,False,6,3,1
Piece.CORNER_STATION,Rotation.I,True,1,1,1
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,0,1
Piece.HIGHWAY_T,Rotation.R90,False,0,1,1
Piece.STRAIGHT_STATION,Rotation.R90,False,0,2,2
Piece.RAILWAY_T,Rotation.I,False,0,3,2
Piece.RAILWAY_CORNER,Rotation.I,False,0,4,2
Piece.HIGHWAY_T,Rotation.R270,False,0,5,2
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6,3
Piece.CORNER_STATION,Rotation.R90,False,1,5,3
Piece.HIGHWAY_CORNER,Rotation.R90,False,3,6,3
Piece.HIGHWAY_CORNER,Rotation.R180,False,2,6,3
Piece.RAILWAY_CORNER,Rotation.R180,False,6,2,4
Piece.HIGHWAY_CORNER,Rotation.R270,False,4,0,4
Piece.OVERPASS,Rotation.I,False,5,0,4
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,0,4
Piece.CROSS_JUNCTION,Rotation.I,False,5,1,5
Piece.HIGHWAY_T,Rotation.R90,False,4,1,5
Piece.STRAIGHT_STATION,Rotation.R90,False,4,2,5
Piece.HIGHWAY_T,Rotation.R90,False,6,1,5
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,4,3,5
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,6,6
Piece.CORNER_JUNCTION,Rotation.R270,False,5,5,6
Piece.RAILWAY_CORNER,Rotation.R270,False,4,4,6
Piece.CORNER_STATION,Rotation.R90,True,5,4,6
Piece.HIGHWAY_T,Rotation.R270,False,6,5,6
