Piece,Rotation,Flip,Row,Col,Turn
Piece.STRAIGHT_STATION,Rotation.R90,False,0,2,1
Piece.RAILWAY_CORNER,Rotation.R90,False,1,6,1
Piece.RAILWAY_T,Rotation.I,False,0,3,1
Piece.HIGHWAY_T,Rotation.I,False,0,1,1
Piece.HIGHWAY_CORNER,Rotation.I,False,3,0,2
Piece.HIGHWAY_CORNER,Rotation.R180,False,0,0,2
Piece.STRAIGHT_STATION,Rotation.I,False,6,5,2
Piece.RAILWAY_CORNER,Rotation.R270,False,0,6,2
Piece.RAILWAY_T,Rotation.I,False,5,6,3
Piece.HIGHWAY_CORNER,Rotation.I,False,1,5,3
Piece.OVERPASS,Rotation.I,False,0,5,3
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,2,0,3
Piece.RAILWAY_CORNER,Rotation.R180,False,5,5,4
Piece.HIGHWAY_CORNER,Rotation.R180,False,1,4,4
Piece.STRAIGHT_STATION,Rotation.R180,False,4,6,4
Piece.HIGHWAY_CORNER,Rotation.I,False,2,4,4
Piece.HIGHWAY_T,Rotation.R180,False,2,2,5
Piece.STRAIGHT_STATION,Rotation.R180,False,3,2,5
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,2,3,5
Piece.RAILWAY_CORNER,Rotation.I,False,4,2,5
Piece.THREE_H_JUNCTION,Rotation.R90,False,1,0,5
Piece.HIGHWAY_T,Rotation.R90,False,2,1,6
Piece.RAILWAY_T,Rotation.I,False,0,4,6
Piece.RAILWAY_CORNER,Rotation.R90,False,4,1,6
Piece.CORNER_JUNCTION,Rotation.R270,False,1,1,6
Piece.STRAIGHT_STATION,Rotation.R180,False,3,1,6
