Move,Piece,Rotation,Flip,Row,Col
0,Piece.CORNER_STATION,Rotation.R180,True,1,6
0,Piece.RAILWAY_T,Rotation.I,False,3,3
0,Piece.HIGHWAY_T,Rotation.I,False,2,6
0,Piece.RAILWAY_CORNER,Rotation.R180,False,2,3
0,Piece.RAILWAY_JUNCTION,Rotation.I,False,2,4
1,Piece.CROSS_JUNCTION,Rotation.I,False,6,2
1,Piece.RAILWAY_CORNER,Rotation.R270,False,6,3
1,Piece.RAILWAY_T,Rotation.R270,False,3,2
1,Piece.HIGHWAY_T,Rotation.R270,False,5,2
1,Piece.CORNER_STATION,Rotation.R180,True,6,1
2,Piece.CORNER_STATION,Rotation.R180,True,1,6
2,Piece.HIGHWAY_T,Rotation.I,False,2,6
2,Piece.RAILWAY_CORNER,Rotation.R180,False,2,3
2,Piece.RAILWAY_T,Rotation.I,False,3,4
2,Piece.RAILWAY_JUNCTION,Rotation.I,False,2,4
3,Piece.CORNER_STATION,Rotation.R180,True,1,6
3,Piece.RAILWAY_CORNER,Rotation.R90,False,3,3
3,Piece.HIGHWAY_T,Rotation.I,False,2,6
3,Piece.RAILWAY_T,Rotation.I,False,3,4
3,Piece.RAILWAY_JUNCTION,Rotation.I,False,2,4
4,Piece.CROSS_JUNCTION,Rotation.I,False,6,2
4,Piece.RAILWAY_CORNER,Rotation.R270,False,6,3
4,Piece.RAILWAY_T,Rotation.R270,False,3,2
4,Piece.HIGHWAY_T,Rotation.R90,False,5,2
4,Piece.CORNER_STATION,Rotation.R180,True,6,1
5,Piece.CORNER_STATION,Rotation.R180,True,1,6
5,Piece.RAILWAY_CORNER,Rotation.I,False,3,2
5,Piece.HIGHWAY_T,Rotation.I,False,2,6
5,Piece.RAILWAY_T,Rotation.I,False,3,4
5,Piece.RAILWAY_JUNCTION,Rotation.I,False,2,4
6,Piece.CORNER_STATION,Rotation.R180,True,1,6
6,Piece.RAILWAY_T,Rotation.I,False,3,2
6,Piece.HIGHWAY_T,Rotation.I,False,2,6
6,Piece.RAILWAY_CORNER,Rotation.R180,False,2,3
6,Piece.RAILWAY_JUNCTION,Rotation.I,False,2,4
7,Piece.THREE_R_JUNCTION,Rotation.I,False,6,2
7,Piece.RAILWAY_CORNER,Rotation.R270,False,6,3
7,Piece.RAILWAY_T,Rotation.R270,False,3,2
7,Piece.HIGHWAY_T,Rotation.R90,False,5,2
7,Piece.CORNER_STATION,Rotation.R180,True,6,1
8,Piece.THREE_R_JUNCTION,Rotation.I,False,6,2
8,Piece.RAILWAY_CORNER,Rotation.R270,False,6,3
8,Piece.RAILWAY_T,Rotation.R270,False,3,2
8,Piece.HIGHWAY_T,Rotation.R270,False,5,2
8,Piece.CORNER_STATION,Rotation.R180,True,6,1
9,Piece.THREE_H_JUNCTION,Rotation.R90,False,2,1
9,Piece.HIGHWAY_T,Rotation.I,False,6,2
9,Piece.CORNER_STATION,Rotation.R270,True,6,3
9,Piece.RAILWAY_CORNER,Rotation.R90,False,3,4
9,Piece.RAILWAY_T,Rotation.R90,False,2,4
10,Piece.HIGHWAY_JUNCTION,Rotation.I,False,6,2
10,Piece.CORNER_STATION,Rotation.R270,True,6,3
10,Piece.HIGHWAY_T,Rotation.R270,False,5,2
10,Piece.RAILWAY_CORNER,Rotation.R90,False,3,4
10,Piece.RAILWAY_T,Rotation.R270,False,2,4
11,Piece.HIGHWAY_T,Rotation.I,False,6,2
11,Piece.CORNER_STATION,Rotation.R270,True,6,3
11,Piece.RAILWAY_JUNCTION,Rotation.I,False,3,2
11,Piece.RAILWAY_CORNER,Rotation.R90,False,3,4
11,Piece.RAILWAY_T,Rotation.R270,False,2,4
12,Piece.CORNER_STATION,Rotation.R180,True,1,6
12,Piece.RAILWAY_CORNER,Rotation.I,False,3,2
12,Piece.HIGHWAY_T,Rotation.R270,False,2,6
12,Piece.RAILWAY_T,Rotation.I,False,3,4
12,Piece.RAILWAY_JUNCTION,Rotation.I,False,2,4
13,Piece.CROSS_JUNCTION,Rotation.I,False,6,2
13,Piece.HIGHWAY_T,Rotation.R90,False,5,2
13,Piece.CORNER_STATION,Rotation.R180,True,6,1
13,Piece.RAILWAY_CORNER,Rotation.R90,False,3,4
13,Piece.RAILWAY_T,Rotation.R270,False,2,4
14,Piece.CROSS_JUNCTION,Rotation.I,False,6,2
14,Piece.RAILWAY_CORNER,Rotation.R270,False,6,3
14,Piece.HIGHWAY_T,Rotation.R90,False,5,2
14,Piece.RAILWAY_T,Rotation.R180,False,3,5
14,Piece.CORNER_STATION,Rotation.R180,True,6,1
15,Piece.CROSS_JUNCTION,Rotation.I,False,6,2
15,Piece.RAILWAY_CORNER,Rotation.R270,False,6,3
15,Piece.HIGHWAY_T,Rotation.R270,False,5,2
15,Piece.RAILWAY_T,Rotation.R180,False,3,5
15,Piece.CORNER_STATION,Rotation.R180,True,6,1
