Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
0,59.0,60.0,59.0,60.0,55.0,60.0,60.0,59.0
1,56.0,59.0,56.0,59.0,52.0,59.0,59.0,57.0
2,57.0,59.0,57.0,59.0,56.0,59.0,59.0,59.0
3,59.0,60.0,59.0,60.0,58.0,60.0,60.0,60.0
4,57.0,60.0,57.0,60.0,53.0,60.0,60.0,60.0
5,59.0,61.0,59.0,61.0,58.0,61.0,61.0,62.0
6,59.0,59.0,59.0,59.0,56.0,59.0,59.0,61.0
7,56.0,60.0,56.0,59.0,53.0,60.0,59.0,61.0
8,56.0,61.0,56.0,61.0,57.0,61.0,61.0,63.0
9,59.0,59.0,59.0,58.0,58.0,59.0,58.0,60.0
10,59.0,61.0,59.0,60.0,53.0,61.0,60.0,61.0
11,61.0,60.0,61.0,59.0,56.0,60.0,59.0,61.0
12,58.0,58.0,58.0,58.0,57.0,58.0,58.0,59.0
13,58.0,60.0,58.0,59.0,52.0,60.0,59.0,60.0
14,60.0,59.0,60.0,59.0,55.0,59.0,59.0,60.0
15,59.0,58.0,59.0,59.0,58.0,58.0,59.0,58.0
16,59.0,59.0,59.0,60.0,53.0,59.0,60.0,57.0
17,61.0,59.0,61.0,60.0,56.0,59.0,60.0,57.0
18,59.0,60.0,59.0,60.0,58.0,60.0,60.0,59.0
19,57.0,61.0,57.0,61.0,55.0,61.0,61.0,59.0
20,60.0,62.0,60.0,62.0,59.0,62.0,62.0,62.0
21,59.0,60.0,59.0,60.0,59.0,60.0,60.0,60.0
22,56.0,62.0,56.0,62.0,56.0,62.0,62.0,60.0
23,60.0,62.0,60.0,62.0,60.0,62.0,62.0,63.0
24,60.0,60.0,60.0,61.0,59.0,60.0,61.0,60.0
25,60.0,62.0,60.0,60.0,56.0,62.0,60.0,60.0
26,62.0,63.0,62.0,60.0,60.0,63.0,60.0,60.0
27,59.0,60.0,59.0,60.0,58.0,60.0,60.0,59.0
28,59.0,61.0,59.0,61.0,55.0,61.0,61.0,59.0
29,61.0,62.0,61.0,62.0,59.0,62.0,62.0,59.0
30,59.0,59.0,59.0,60.0,59.0,59.0,60.0,57.0
31,60.0,60.0,60.0,62.0,56.0,60.0,62.0,58.0
32,62.0,60.0,62.0,63.0,60.0,60.0,63.0,58.0
33,57.0,58.0,57.0,58.0,56.0,58.0,58.0,58.0
34,56.0,60.0,56.0,59.0,54.0,60.0,59.0,59.0
35,56.0,62.0,56.0,61.0,57.0,62.0,61.0,62.0
36,59.0,61.0,59.0,62.0,58.0,61.0,62.0,60.0
37,58.0,63.0,58.0,61.0,57.0,63.0,61.0,61.0
38,61.0,64.0,61.0,61.0,61.0,64.0,61.0,61.0
39,58.0,60.0,58.0,61.0,57.0,60.0,61.0,59.0
40,57.0,62.0,57.0,62.0,56.0,62.0,62.0,60.0
41,60.0,63.0,60.0,63.0,60.0,63.0,63.0,60.0
42,59.0,58.0,59.0,61.0,58.0,58.0,61.0,57.0
43,58.0,60.0,58.0,63.0,57.0,60.0,63.0,59.0
44,61.0,60.0,61.0,64.0,61.0,60.0,64.0,59.0
45,62.0,62.0,62.0,59.0,55.0,62.0,59.0,59.0
46,61.0,62.0,61.0,59.0,56.0,62.0,59.0,58.0
47,61.0,58.0,61.0,57.0,56.0,58.0,57.0,58.0
48,61.0,61.0,61.0,61.0,57.0,61.0,61.0,59.0
49,60.0,61.0,60.0,61.0,57.0,61.0,61.0,60.0
50,63.0,58.0,63.0,58.0,57.0,58.0,58.0,59.0
51,59.0,61.0,59.0,62.0,58.0,61.0,62.0,58.0
52,61.0,62.0,61.0,62.0,57.0,62.0,62.0,58.0
53,64.0,59.0,64.0,59.0,58.0,59.0,59.0,59.0
54,60.0,60.0,60.0,60.0,56.0,60.0,60.0,58.0
55,59.0,60.0,59.0,60.0,56.0,60.0,60.0,59.0
56,62.0,57.0,62.0,58.0,56.0,57.0,58.0,58.0
57,59.0,60.0,59.0,61.0,57.0,60.0,61.0,57.0
58,60.0,61.0,60.0,61.0,57.0,61.0,61.0,57.0
59,63.0,58.0,63.0,59.0,57.0,58.0,59.0,58.0
60,56.0,58.0,56.0,61.0,55.0,58.0,61.0,54.0
61,57.0,58.0,57.0,62.0,53.0,58.0,62.0,54.0
62,60.0,56.0,60.0,60.0,55.0,57.0,60.0,55.0
63,58.0,59.0,58.0,59.0,58.0,59.0,59.0,58.0
64,57.0,60.0,57.0,60.0,55.0,60.0,60.0,58.0
65,60.0,61.0,60.0,61.0,58.0,61.0,61.0,61.0
66,58.0,59.0,58.0,59.0,59.0,59.0,59.0,59.0
67,56.0,61.0,56.0,61.0,56.0,61.0,61.0,59.0
68,60.0,61.0,60.0,61.0,59.0,61.0,61.0,62.0
69,59.0,59.0,59.0,60.0,60.0,59.0,60.0,59.0
70,59.0,61.0,59.0,59.0,60.0,61.0,59.0,59.0
71,61.0,62.0,61.0,60.0,62.0,62.0,60.0,62.0
72,58.0,59.0,58.0,59.0,59.0,59.0,59.0,58.0
73,58.0,60.0,58.0,60.0,59.0,60.0,60.0,58.0
74,60.0,61.0,60.0,61.0,61.0,61.0,61.0,61.0
75,59.0,58.0,59.0,59.0,59.0,58.0,59.0,56.0
76,59.0,59.0,59.0,61.0,60.0,59.0,61.0,58.0
77,61.0,59.0,61.0,62.0,62.0,59.0,62.0,58.0
78,56.0,57.0,56.0,58.0,59.0,57.0,58.0,59.0
79,55.0,59.0,55.0,59.0,57.0,59.0,59.0,60.0
80,56.0,61.0,56.0,61.0,60.0,61.0,61.0,62.0
81,58.0,60.0,58.0,61.0,61.0,60.0,61.0,60.0
82,57.0,62.0,57.0,60.0,61.0,62.0,60.0,60.0
83,61.0,63.0,61.0,61.0,63.0,63.0,61.0,63.0
84,57.0,59.0,57.0,60.0,60.0,59.0,60.0,59.0
85,56.0,61.0,56.0,61.0,60.0,61.0,61.0,59.0
86,60.0,62.0,60.0,62.0,62.0,62.0,62.0,62.0
87,58.0,57.0,58.0,60.0,60.0,57.0,60.0,57.0
88,57.0,59.0,57.0,62.0,61.0,59.0,62.0,59.0
89,61.0,59.0,61.0,63.0,63.0,59.0,63.0,59.0
90,61.0,61.0,61.0,58.0,59.0,61.0,58.0,61.0
91,60.0,61.0,60.0,58.0,58.0,61.0,58.0,61.0
92,62.0,62.0,62.0,59.0,60.0,62.0,59.0,60.0
93,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
94,60.0,60.0,60.0,60.0,58.0,60.0,60.0,60.0
95,62.0,61.0,62.0,61.0,62.0,61.0,61.0,59.0
96,60.0,60.0,60.0,61.0,61.0,60.0,61.0,58.0
97,60.0,61.0,60.0,61.0,59.0,61.0,61.0,57.0
98,63.0,60.0,63.0,62.0,63.0,60.0,62.0,59.0
99,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
100,59.0,59.0,59.0,59.0,57.0,59.0,59.0,59.0
101,61.0,60.0,61.0,60.0,61.0,60.0,60.0,58.0
102,59.0,59.0,59.0,60.0,60.0,59.0,60.0,57.0
103,60.0,60.0,60.0,60.0,58.0,60.0,60.0,57.0
104,62.0,59.0,62.0,61.0,62.0,59.0,61.0,58.0
105,56.0,57.0,56.0,60.0,58.0,57.0,60.0,54.0
106,56.0,57.0,56.0,61.0,56.0,57.0,61.0,54.0
107,59.0,56.0,59.0,60.0,60.0,56.0,60.0,56.0
108,54.0,55.0,54.0,57.0,56.0,55.0,57.0,56.0
109,53.0,58.0,53.0,56.0,52.0,58.0,56.0,58.0
110,52.0,59.0,52.0,59.0,57.0,59.0,59.0,61.0
111,57.0,58.0,57.0,57.0,58.0,58.0,57.0,59.0
112,56.0,60.0,56.0,59.0,58.0,60.0,59.0,61.0
113,57.0,60.0,57.0,59.0,61.0,60.0,59.0,64.0
114,56.0,57.0,56.0,56.0,57.0,57.0,56.0,59.0
115,55.0,59.0,55.0,58.0,57.0,59.0,58.0,60.0
116,56.0,59.0,56.0,59.0,60.0,59.0,59.0,63.0
117,56.0,54.0,56.0,57.0,58.0,54.0,57.0,55.0
118,56.0,57.0,56.0,59.0,58.0,57.0,59.0,57.0
119,57.0,58.0,57.0,59.0,61.0,58.0,59.0,60.0
120,57.0,58.0,57.0,57.0,57.0,58.0,57.0,62.0
121,56.0,59.0,56.0,57.0,57.0,59.0,57.0,62.0
122,60.0,63.0,60.0,60.0,60.0,63.0,60.0,60.0
123,58.0,58.0,58.0,58.0,59.0,58.0,58.0,61.0
124,56.0,58.0,56.0,58.0,59.0,58.0,58.0,61.0
125,59.0,62.0,59.0,62.0,63.0,62.0,62.0,59.0
126,59.0,58.0,59.0,58.0,60.0,58.0,58.0,59.0
127,57.0,59.0,57.0,59.0,60.0,59.0,59.0,58.0
128,60.0,61.0,60.0,63.0,64.0,61.0,63.0,59.0
129,57.0,58.0,57.0,58.0,58.0,58.0,58.0,60.0
130,55.0,57.0,55.0,57.0,58.0,57.0,57.0,60.0
131,58.0,61.0,58.0,61.0,62.0,61.0,61.0,58.0
132,58.0,57.0,58.0,57.0,59.0,57.0,57.0,58.0
133,56.0,58.0,56.0,58.0,59.0,58.0,58.0,58.0
134,59.0,60.0,59.0,62.0,63.0,60.0,62.0,58.0
135,56.0,54.0,56.0,57.0,56.0,54.0,57.0,55.0
136,55.0,55.0,55.0,58.0,57.0,55.0,58.0,54.0
137,56.0,57.0,56.0,61.0,60.0,57.0,61.0,56.0
138,56.0,56.0,56.0,55.0,56.0,56.0,55.0,59.0
139,56.0,58.0,56.0,57.0,54.0,58.0,57.0,60.0
140,59.0,57.0,59.0,56.0,53.0,57.0,56.0,58.0
141,57.0,57.0,57.0,56.0,57.0,57.0,56.0,58.0
142,58.0,60.0,58.0,57.0,56.0,60.0,57.0,61.0
143,62.0,60.0,62.0,57.0,55.0,60.0,57.0,60.0
144,57.0,56.0,57.0,57.0,58.0,56.0,57.0,58.0
