Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
0,37.0,37.0,32.0,33.0,36.0,36.0,31.0,36.0,36.0,35.0,35.0,35.0,32.0,37.0,35.0
1,35.0,39.0,37.0,37.0,34.0,35.0,35.0,35.0,35.0,37.0,34.0,33.0,37.0,39.0,37.0
2,39.0,40.0,34.0,38.0,39.0,39.0,36.0,39.0,38.0,38.0,35.0,37.0,34.0,36.0,35.0
3,38.0,39.0,32.0,33.0,38.0,38.0,31.0,38.0,37.0,38.0,38.0,38.0,32.0,38.0,38.0
4,39.0,43.0,37.0,37.0,38.0,38.0,35.0,39.0,38.0,41.0,38.0,37.0,37.0,43.0,41.0
5,44.0,45.0,36.0,38.0,44.0,44.0,36.0,44.0,43.0,42.0,38.0,42.0,36.0,40.0,38.0
6,38.0,38.0,33.0,34.0,37.0,37.0,32.0,37.0,37.0,37.0,37.0,37.0,33.0,38.0,37.0
7,40.0,44.0,37.0,37.0,39.0,39.0,35.0,39.0,39.0,42.0,38.0,38.0,37.0,44.0,42.0
8,44.0,40.0,37.0,38.0,43.0,39.0,36.0,39.0,43.0,39.0,39.0,42.0,37.0,39.0,39.0
9,37.0,37.0,33.0,38.0,36.0,36.0,33.0,36.0,36.0,37.0,37.0,37.0,33.0,37.0,37.0
10,36.0,38.0,38.0,38.0,34.0,34.0,37.0,35.0,35.0,37.0,35.0,35.0,38.0,38.0,37.0
11,40.0,41.0,38.0,39.0,39.0,39.0,38.0,40.0,39.0,39.0,35.0,37.0,38.0,36.0,35.0
12,36.0,36.0,33.0,37.0,35.0,35.0,33.0,36.0,35.0,36.0,36.0,36.0,33.0,36.0,36.0
13,36.0,37.0,37.0,37.0,33.0,34.0,37.0,35.0,35.0,36.0,34.0,34.0,37.0,37.0,36.0
14,39.0,40.0,38.0,38.0,38.0,38.0,38.0,40.0,38.0,38.0,38.0,38.0,38.0,39.0,38.0
15,37.0,37.0,32.0,33.0,36.0,36.0,32.0,36.0,36.0,35.0,35.0,35.0,32.0,37.0,35.0
16,35.0,38.0,37.0,37.0,34.0,35.0,36.0,35.0,35.0,37.0,34.0,33.0,37.0,38.0,37.0
17,39.0,40.0,37.0,38.0,39.0,39.0,37.0,40.0,38.0,39.0,39.0,39.0,37.0,39.0,39.0
18,38.0,38.0,31.0,32.0,37.0,37.0,30.0,37.0,37.0,37.0,37.0,37.0,31.0,38.0,37.0
19,39.0,42.0,36.0,36.0,38.0,38.0,34.0,38.0,38.0,40.0,37.0,37.0,36.0,42.0,40.0
20,43.0,44.0,35.0,37.0,43.0,43.0,35.0,43.0,42.0,42.0,38.0,41.0,35.0,40.0,38.0
21,38.0,38.0,32.0,33.0,37.0,37.0,31.0,38.0,37.0,38.0,38.0,38.0,32.0,38.0,38.0
22,40.0,43.0,37.0,37.0,39.0,39.0,35.0,39.0,39.0,41.0,38.0,38.0,37.0,43.0,41.0
23,44.0,40.0,36.0,38.0,43.0,39.0,35.0,39.0,43.0,42.0,38.0,42.0,36.0,40.0,38.0
24,38.0,39.0,32.0,37.0,38.0,38.0,32.0,38.0,37.0,38.0,37.0,37.0,32.0,38.0,38.0
25,40.0,40.0,38.0,38.0,39.0,39.0,37.0,39.0,39.0,38.0,38.0,38.0,38.0,40.0,38.0
26,44.0,45.0,38.0,38.0,44.0,44.0,37.0,44.0,43.0,44.0,39.0,42.0,38.0,40.0,40.0
27,37.0,38.0,32.0,36.0,37.0,37.0,32.0,37.0,36.0,37.0,37.0,37.0,32.0,38.0,37.0
28,39.0,39.0,37.0,37.0,38.0,38.0,37.0,39.0,38.0,37.0,37.0,37.0,37.0,39.0,37.0
29,43.0,44.0,37.0,37.0,43.0,43.0,37.0,43.0,42.0,43.0,43.0,43.0,37.0,43.0,43.0
30,37.0,37.0,31.0,32.0,36.0,36.0,31.0,37.0,36.0,38.0,38.0,38.0,31.0,39.0,38.0
31,40.0,40.0,37.0,37.0,39.0,39.0,36.0,39.0,39.0,38.0,38.0,38.0,37.0,40.0,38.0
32,43.0,43.0,37.0,37.0,42.0,38.0,36.0,39.0,42.0,44.0,44.0,44.0,37.0,43.0,44.0
33,38.0,38.0,33.0,34.0,37.0,37.0,32.0,37.0,37.0,37.0,37.0,37.0,33.0,38.0,37.0
34,39.0,39.0,37.0,37.0,38.0,39.0,35.0,39.0,39.0,37.0,38.0,37.0,37.0,40.0,37.0
35,44.0,40.0,34.0,38.0,43.0,39.0,36.0,39.0,43.0,39.0,39.0,42.0,34.0,39.0,39.0
36,39.0,38.0,33.0,37.0,38.0,37.0,33.0,38.0,38.0,37.0,37.0,37.0,33.0,38.0,37.0
37,40.0,40.0,38.0,38.0,39.0,39.0,37.0,39.0,39.0,39.0,39.0,39.0,38.0,40.0,39.0
38,45.0,40.0,38.0,38.0,43.0,39.0,37.0,39.0,44.0,39.0,39.0,43.0,38.0,40.0,39.0
39,38.0,38.0,33.0,36.0,37.0,36.0,33.0,37.0,37.0,36.0,37.0,37.0,33.0,38.0,37.0
40,39.0,39.0,37.0,37.0,38.0,38.0,37.0,39.0,38.0,38.0,38.0,38.0,37.0,39.0,38.0
41,44.0,44.0,38.0,37.0,42.0,38.0,37.0,39.0,43.0,42.0,38.0,42.0,38.0,44.0,42.0
42,38.0,38.0,32.0,33.0,37.0,37.0,32.0,38.0,37.0,37.0,37.0,37.0,32.0,38.0,37.0
43,39.0,39.0,37.0,37.0,38.0,39.0,36.0,39.0,39.0,39.0,39.0,39.0,37.0,40.0,39.0
44,44.0,44.0,37.0,37.0,43.0,39.0,36.0,39.0,43.0,42.0,39.0,43.0,37.0,44.0,42.0
45,39.0,40.0,37.0,37.0,39.0,39.0,37.0,39.0,38.0,40.0,38.0,38.0,37.0,39.0,39.0
46,36.0,39.0,43.0,38.0,35.0,37.0,42.0,37.0,37.0,41.0,36.0,35.0,43.0,38.0,38.0
47,39.0,41.0,40.0,39.0,39.0,39.0,42.0,40.0,38.0,43.0,39.0,38.0,40.0,36.0,35.0
48,38.0,39.0,37.0,37.0,38.0,38.0,37.0,38.0,37.0,40.0,38.0,38.0,37.0,39.0,38.0
49,35.0,38.0,42.0,42.0,34.0,36.0,42.0,36.0,36.0,41.0,35.0,34.0,42.0,38.0,37.0
50,39.0,40.0,42.0,42.0,38.0,38.0,42.0,40.0,38.0,43.0,39.0,39.0,42.0,38.0,39.0
