Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
0,44.0,44.0,44.0,44.0,40.0,44.0,42.0,44.0,41.0,44.0
1,44.0,44.0,44.0,44.0,41.0,44.0,42.0,44.0,43.0,44.0
2,44.0,44.0,44.0,46.0,46.0,46.0,46.0,44.0,43.0,46.0
3,43.0,43.0,43.0,43.0,40.0,43.0,41.0,43.0,42.0,43.0
4,44.0,44.0,44.0,43.0,41.0,43.0,42.0,44.0,45.0,43.0
5,45.0,45.0,45.0,45.0,46.0,45.0,45.0,45.0,45.0,45.0
6,44.0,44.0,44.0,42.0,41.0,42.0,39.0,44.0,41.0,42.0
7,44.0,44.0,44.0,44.0,41.0,44.0,42.0,44.0,44.0,44.0
8,46.0,46.0,46.0,44.0,43.0,44.0,43.0,46.0,41.0,44.0
9,42.0,42.0,42.0,43.0,41.0,43.0,39.0,42.0,40.0,43.0
10,43.0,43.0,43.0,43.0,42.0,43.0,41.0,43.0,40.0,43.0
11,44.0,44.0,44.0,45.0,45.0,45.0,41.0,44.0,42.0,45.0
12,42.0,41.0,41.0,42.0,40.0,42.0,38.0,41.0,40.0,42.0
13,43.0,42.0,42.0,42.0,41.0,42.0,41.0,42.0,43.0,42.0
14,44.0,43.0,43.0,44.0,44.0,44.0,41.0,43.0,41.0,44.0
15,42.0,41.0,41.0,42.0,40.0,41.0,39.0,41.0,40.0,42.0
16,43.0,42.0,42.0,43.0,41.0,43.0,41.0,42.0,44.0,43.0
17,44.0,43.0,43.0,43.0,42.0,43.0,41.0,43.0,42.0,43.0
18,42.0,42.0,42.0,42.0,40.0,42.0,40.0,42.0,42.0,42.0
19,43.0,43.0,43.0,42.0,42.0,42.0,41.0,43.0,46.0,42.0
20,44.0,44.0,44.0,44.0,45.0,44.0,44.0,44.0,45.0,44.0
21,43.0,43.0,43.0,42.0,41.0,42.0,39.0,43.0,41.0,42.0
22,43.0,43.0,43.0,43.0,43.0,43.0,41.0,43.0,43.0,43.0
23,45.0,45.0,45.0,43.0,43.0,43.0,42.0,45.0,42.0,43.0
24,42.0,42.0,42.0,42.0,40.0,42.0,39.0,42.0,40.0,42.0
25,42.0,42.0,42.0,42.0,41.0,42.0,40.0,42.0,41.0,42.0
26,44.0,44.0,44.0,44.0,44.0,44.0,41.0,44.0,44.0,44.0
27,41.0,41.0,41.0,41.0,39.0,41.0,38.0,41.0,42.0,41.0
28,42.0,42.0,41.0,41.0,42.0,41.0,40.0,42.0,42.0,41.0
29,43.0,43.0,43.0,43.0,43.0,43.0,40.0,43.0,43.0,43.0
30,41.0,40.0,40.0,41.0,39.0,41.0,39.0,40.0,41.0,41.0
31,42.0,42.0,42.0,42.0,43.0,42.0,40.0,42.0,43.0,42.0
32,43.0,42.0,42.0,42.0,42.0,42.0,41.0,42.0,44.0,42.0
33,42.0,43.0,42.0,42.0,38.0,41.0,38.0,43.0,40.0,41.0
34,44.0,44.0,44.0,43.0,42.0,42.0,41.0,44.0,42.0,43.0
35,44.0,44.0,44.0,43.0,41.0,42.0,42.0,44.0,40.0,43.0
36,43.0,43.0,43.0,41.0,39.0,40.0,37.0,43.0,40.0,41.0
37,43.0,43.0,43.0,43.0,42.0,42.0,40.0,43.0,42.0,43.0
38,45.0,45.0,45.0,43.0,42.0,42.0,41.0,45.0,41.0,43.0
39,42.0,42.0,42.0,42.0,39.0,39.0,37.0,42.0,41.0,42.0
40,43.0,43.0,42.0,42.0,41.0,41.0,40.0,43.0,41.0,42.0
41,44.0,44.0,44.0,42.0,41.0,41.0,41.0,44.0,42.0,42.0
42,41.0,41.0,41.0,41.0,38.0,40.0,37.0,41.0,42.0,41.0
43,43.0,43.0,43.0,43.0,41.0,42.0,40.0,43.0,42.0,43.0
44,43.0,43.0,43.0,43.0,39.0,42.0,41.0,43.0,43.0,43.0
45,41.0,41.0,41.0,42.0,37.0,42.0,36.0,41.0,42.0,42.0
46,42.0,42.0,42.0,42.0,41.0,42.0,39.0,42.0,40.0,42.0
47,43.0,43.0,43.0,44.0,41.0,44.0,40.0,43.0,40.0,44.0
48,41.0,41.0,40.0,41.0,38.0,41.0,36.0,40.0,42.0,41.0
49,42.0,41.0,41.0,41.0,41.0,41.0,39.0,41.0,40.0,41.0
50,43.0,42.0,42.0,43.0,41.0,43.0,40.0,42.0,40.0,43.0
51,41.0,41.0,41.0,41.0,39.0,40.0,36.0,41.0,42.0,40.0
52,42.0,42.0,42.0,42.0,41.0,42.0,39.0,42.0,41.0,42.0
53,43.0,42.0,42.0,42.0,41.0,42.0,40.0,42.0,40.0,42.0
54,40.0,40.0,39.0,40.0,38.0,40.0,36.0,39.0,41.0,40.0
55,41.0,41.0,40.0,40.0,40.0,40.0,39.0,41.0,40.0,40.0
56,42.0,41.0,41.0,42.0,40.0,42.0,40.0,41.0,39.0,42.0
57,40.0,40.0,40.0,41.0,39.0,39.0,36.0,40.0,41.0,41.0
58,42.0,41.0,41.0,41.0,40.0,41.0,39.0,41.0,40.0,41.0
59,42.0,41.0,41.0,42.0,40.0,41.0,40.0,41.0,40.0,42.0
60,40.0,40.0,40.0,41.0,38.0,40.0,36.0,40.0,41.0,40.0
61,42.0,41.0,41.0,42.0,40.0,42.0,39.0,41.0,40.0,42.0
62,42.0,41.0,41.0,42.0,40.0,42.0,40.0,41.0,40.0,42.0
63,41.0,41.0,41.0,41.0,39.0,41.0,39.0,41.0,41.0,41.0
64,42.0,42.0,42.0,41.0,41.0,41.0,40.0,42.0,45.0,41.0
65,43.0,43.0,43.0,43.0,44.0,43.0,43.0,43.0,44.0,43.0
66,42.0,42.0,42.0,41.0,40.0,41.0,39.0,42.0,40.0,41.0
67,42.0,42.0,42.0,42.0,42.0,42.0,41.0,42.0,43.0,42.0
68,44.0,44.0,44.0,42.0,42.0,42.0,41.0,44.0,42.0,42.0
69,41.0,41.0,41.0,41.0,39.0,41.0,38.0,41.0,39.0,41.0
70,41.0,41.0,41.0,41.0,40.0,41.0,40.0,41.0,42.0,41.0
71,43.0,43.0,43.0,43.0,43.0,43.0,40.0,43.0,43.0,43.0
72,40.0,40.0,40.0,40.0,38.0,40.0,37.0,40.0,41.0,40.0
73,41.0,41.0,40.0,40.0,41.0,40.0,39.0,41.0,42.0,40.0
74,42.0,42.0,42.0,42.0,42.0,42.0,39.0,42.0,42.0,42.0
75,40.0,39.0,39.0,40.0,39.0,40.0,38.0,39.0,40.0,40.0
76,41.0,41.0,41.0,41.0,42.0,41.0,40.0,41.0,42.0,41.0
77,42.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0,43.0,41.0
78,41.0,42.0,41.0,41.0,38.0,40.0,38.0,42.0,39.0,40.0
79,43.0,43.0,43.0,42.0,42.0,41.0,40.0,43.0,42.0,42.0
80,43.0,43.0,43.0,42.0,41.0,41.0,42.0,43.0,40.0,42.0
81,42.0,42.0,42.0,40.0,39.0,40.0,36.0,42.0,39.0,40.0
82,42.0,42.0,42.0,42.0,41.0,41.0,39.0,42.0,41.0,42.0
83,44.0,44.0,44.0,42.0,41.0,42.0,40.0,44.0,41.0,42.0
