Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
0,33.0,32.0,34.0,36.0,31.0,31.0,36.0,36.0,33.0
1,40.0,38.0,33.0,40.0,35.0,35.0,37.0,35.0,33.0
2,39.0,37.0,36.0,39.0,37.0,33.0,38.0,35.0,36.0
3,33.0,32.0,38.0,36.0,31.0,31.0,36.0,36.0,33.0
4,39.0,37.0,36.0,39.0,37.0,35.0,40.0,35.0,33.0
5,38.0,37.0,37.0,38.0,36.0,34.0,40.0,36.0,37.0
6,33.0,33.0,39.0,33.0,32.0,31.0,36.0,37.0,34.0
7,38.0,38.0,37.0,38.0,38.0,35.0,41.0,36.0,34.0
8,37.0,37.0,38.0,37.0,37.0,33.0,41.0,37.0,38.0
9,37.0,37.0,39.0,37.0,32.0,36.0,37.0,37.0,39.0
10,41.0,41.0,40.0,41.0,36.0,38.0,42.0,37.0,40.0
11,42.0,42.0,43.0,42.0,38.0,37.0,39.0,37.0,43.0
12,36.0,36.0,38.0,36.0,31.0,36.0,37.0,37.0,39.0
13,40.0,40.0,39.0,40.0,35.0,37.0,43.0,39.0,40.0
14,41.0,41.0,42.0,41.0,37.0,37.0,41.0,42.0,42.0
15,33.0,34.0,35.0,33.0,32.0,32.0,36.0,37.0,34.0
16,38.0,38.0,35.0,37.0,36.0,36.0,41.0,39.0,36.0
17,38.0,39.0,39.0,38.0,37.0,33.0,41.0,42.0,38.0
18,32.0,31.0,37.0,35.0,30.0,30.0,35.0,35.0,32.0
19,38.0,36.0,35.0,38.0,36.0,35.0,41.0,34.0,32.0
20,37.0,36.0,36.0,37.0,35.0,33.0,41.0,35.0,36.0
21,32.0,32.0,38.0,32.0,31.0,30.0,35.0,36.0,33.0
22,37.0,37.0,36.0,37.0,37.0,35.0,40.0,35.0,33.0
23,36.0,36.0,37.0,36.0,36.0,32.0,40.0,36.0,37.0
24,36.0,36.0,38.0,36.0,32.0,35.0,37.0,36.0,38.0
25,41.0,41.0,39.0,41.0,37.0,38.0,41.0,37.0,39.0
26,41.0,41.0,43.0,41.0,37.0,37.0,41.0,37.0,43.0
27,35.0,35.0,37.0,35.0,31.0,35.0,37.0,37.0,38.0
28,40.0,40.0,38.0,40.0,36.0,37.0,42.0,38.0,39.0
29,40.0,40.0,42.0,40.0,37.0,36.0,42.0,42.0,42.0
30,32.0,33.0,34.0,33.0,32.0,31.0,36.0,37.0,33.0
31,37.0,38.0,34.0,37.0,37.0,36.0,41.0,38.0,35.0
32,37.0,38.0,38.0,37.0,38.0,32.0,41.0,42.0,38.0
33,32.0,32.0,33.0,33.0,32.0,30.0,36.0,37.0,34.0
34,38.0,38.0,34.0,38.0,37.0,35.0,37.0,35.0,33.0
35,37.0,37.0,37.0,37.0,37.0,33.0,38.0,35.0,37.0
36,37.0,37.0,39.0,37.0,32.0,36.0,37.0,37.0,39.0
37,41.0,41.0,40.0,41.0,38.0,38.0,39.0,38.0,40.0
38,41.0,41.0,43.0,41.0,37.0,37.0,41.0,38.0,43.0
39,36.0,36.0,38.0,36.0,32.0,35.0,37.0,38.0,39.0
40,40.0,40.0,39.0,40.0,37.0,37.0,40.0,39.0,40.0
41,40.0,40.0,42.0,40.0,38.0,36.0,42.0,42.0,43.0
42,33.0,34.0,35.0,33.0,33.0,32.0,36.0,38.0,34.0
43,38.0,38.0,35.0,37.0,38.0,36.0,40.0,39.0,36.0
44,37.0,38.0,39.0,37.0,39.0,33.0,40.0,42.0,38.0
45,42.0,42.0,40.0,42.0,34.0,41.0,41.0,42.0,39.0
46,41.0,41.0,40.0,41.0,39.0,40.0,43.0,41.0,40.0
47,44.0,44.0,44.0,43.0,39.0,40.0,39.0,40.0,44.0
48,41.0,41.0,39.0,41.0,39.0,40.0,44.0,41.0,39.0
49,41.0,41.0,42.0,41.0,39.0,41.0,44.0,40.0,40.0
50,44.0,44.0,44.0,43.0,38.0,39.0,42.0,43.0,43.0
51,38.0,38.0,39.0,38.0,40.0,37.0,43.0,38.0,39.0
52,42.0,42.0,40.0,41.0,40.0,41.0,42.0,39.0,40.0
53,43.0,43.0,44.0,43.0,38.0,37.0,43.0,43.0,44.0
54,40.0,40.0,38.0,40.0,38.0,39.0,44.0,40.0,38.0
55,40.0,40.0,41.0,40.0,38.0,40.0,43.0,39.0,39.0
56,43.0,43.0,43.0,42.0,37.0,38.0,43.0,42.0,42.0
57,38.0,38.0,38.0,38.0,39.0,36.0,43.0,38.0,39.0
58,41.0,41.0,39.0,41.0,39.0,40.0,42.0,39.0,40.0
59,42.0,42.0,43.0,42.0,37.0,37.0,44.0,43.0,43.0
60,35.0,35.0,34.0,34.0,33.0,32.0,39.0,38.0,34.0
61,39.0,39.0,35.0,39.0,38.0,37.0,41.0,39.0,36.0
62,39.0,39.0,39.0,39.0,38.0,34.0,41.0,43.0,39.0
63,31.0,31.0,36.0,34.0,30.0,29.0,34.0,34.0,31.0
64,37.0,35.0,34.0,37.0,35.0,35.0,40.0,33.0,31.0
65,36.0,35.0,35.0,36.0,35.0,32.0,40.0,34.0,35.0
66,32.0,32.0,37.0,31.0,30.0,29.0,34.0,35.0,32.0
67,36.0,36.0,35.0,36.0,36.0,35.0,40.0,34.0,32.0
68,36.0,36.0,36.0,36.0,35.0,31.0,40.0,35.0,36.0
69,35.0,35.0,37.0,35.0,31.0,34.0,36.0,35.0,37.0
70,40.0,40.0,38.0,40.0,36.0,38.0,41.0,36.0,38.0
71,40.0,40.0,42.0,40.0,36.0,36.0,41.0,36.0,42.0
72,34.0,34.0,36.0,34.0,30.0,34.0,36.0,36.0,37.0
73,39.0,39.0,37.0,39.0,35.0,37.0,41.0,37.0,38.0
74,39.0,39.0,41.0,39.0,36.0,35.0,41.0,41.0,41.0
75,32.0,32.0,33.0,32.0,31.0,30.0,35.0,36.0,32.0
76,36.0,37.0,33.0,36.0,36.0,36.0,41.0,37.0,34.0
77,36.0,37.0,37.0,36.0,37.0,31.0,41.0,41.0,38.0
78,32.0,32.0,32.0,32.0,31.0,30.0,35.0,36.0,33.0
79,37.0,37.0,33.0,37.0,37.0,35.0,36.0,34.0,33.0
80,36.0,36.0,37.0,36.0,36.0,32.0,37.0,35.0,37.0
81,36.0,36.0,38.0,36.0,31.0,35.0,36.0,36.0,38.0
82,40.0,40.0,39.0,40.0,37.0,38.0,41.0,37.0,39.0
83,40.0,40.0,42.0,40.0,37.0,36.0,41.0,37.0,42.0
84,35.0,35.0,37.0,35.0,31.0,34.0,37.0,37.0,38.0
85,39.0,39.0,38.0,39.0,36.0,37.0,42.0,38.0,39.0
86,39.0,39.0,41.0,39.0,37.0,35.0,42.0,41.0,42.0
87,33.0,33.0,34.0,33.0,32.0,31.0,36.0,37.0,33.0
88,37.0,37.0,34.0,36.0,37.0,36.0,41.0,38.0,35.0
89,36.0,37.0,38.0,36.0,38.0,32.0,41.0,41.0,38.0
90,41.0,41.0,40.0,41.0,34.0,40.0,40.0,41.0,38.0
91,40.0,40.0,39.0,40.0,39.0,40.0,42.0,40.0,39.0
92,43.0,43.0,43.0,42.0,39.0,39.0,42.0,39.0,43.0
93,40.0,40.0,39.0,40.0,38.0,39.0,43.0,40.0,38.0
94,40.0,40.0,41.0,40.0,38.0,40.0,43.0,39.0,39.0
95,43.0,43.0,43.0,42.0,38.0,38.0,43.0,42.0,42.0
96,37.0,37.0,38.0,37.0,39.0,36.0,42.0,37.0,38.0
97,41.0,41.0,39.0,40.0,39.0,41.0,42.0,38.0,39.0
98,42.0,42.0,43.0,42.0,38.0,36.0,42.0,42.0,43.0
99,39.0,39.0,38.0,39.0,37.0,38.0,43.0,39.0,37.0
100,39.0,39.0,40.0,39.0,37.0,39.0,43.0,38.0,38.0
101,42.0,42.0,42.0,41.0,37.0,37.0,43.0,41.0,41.0
102,37.0,37.0,37.0,37.0,38.0,35.0,42.0,37.0,38.0
103,40.0,40.0,38.0,40.0,38.0,40.0,43.0,38.0,39.0
104,41.0,41.0,42.0,41.0,37.0,36.0,43.0,42.0,42.0
105,34.0,34.0,33.0,33.0,33.0,31.0,38.0,37.0,33.0
106,38.0,38.0,34.0,38.0,38.0,37.0,42.0,38.0,35.0
107,38.0,38.0,38.0,38.0,38.0,33.0,42.0,42.0,39.0
108,32.0,32.0,33.0,32.0,32.0,30.0,35.0,37.0,34.0
109,38.0,37.0,33.0,38.0,35.0,35.0,36.0,35.0,33.0
110,37.0,36.0,37.0,37.0,37.0,33.0,37.0,33.0,37.0
111,37.0,37.0,39.0,37.0,32.0,36.0,36.0,37.0,39.0
112,41.0,41.0,40.0,41.0,36.0,38.0,38.0,37.0,40.0
113,40.0,40.0,43.0,40.0,37.0,37.0,38.0,38.0,43.0
114,36.0,36.0,38.0,36.0,32.0,35.0,37.0,37.0,39.0
115,40.0,40.0,39.0,40.0,35.0,37.0,38.0,39.0,40.0
116,39.0,39.0,42.0,39.0,37.0,36.0,38.0,41.0,43.0
117,34.0,33.0,33.0,34.0,33.0,32.0,35.0,37.0,34.0
