Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
0,38.0,31.0,30.0,35.0,34.0,29.0,29.0,30.0,27.0,31.0,29.0,34.0,38.0
1,40.0,32.0,31.0,32.0,34.0,29.0,29.0,31.0,28.0,30.0,28.0,31.0,40.0
2,36.0,31.0,30.0,35.0,34.0,29.0,29.0,30.0,28.0,31.0,29.0,34.0,36.0
3,37.0,32.0,31.0,34.0,33.0,30.0,30.0,31.0,28.0,33.0,30.0,33.0,37.0
4,39.0,35.0,34.0,33.0,33.0,32.0,32.0,34.0,28.0,34.0,31.0,33.0,39.0
5,35.0,36.0,35.0,36.0,35.0,32.0,32.0,35.0,28.0,35.0,31.0,35.0,35.0
6,34.0,33.0,32.0,33.0,32.0,31.0,31.0,32.0,27.0,34.0,31.0,33.0,36.0
7,38.0,36.0,35.0,34.0,33.0,32.0,32.0,35.0,28.0,35.0,32.0,34.0,38.0
8,35.0,37.0,36.0,37.0,36.0,32.0,32.0,36.0,27.0,35.0,32.0,36.0,34.0
9,34.0,33.0,32.0,34.0,36.0,34.0,34.0,33.0,33.0,35.0,33.0,35.0,37.0
10,39.0,33.0,32.0,34.0,33.0,33.0,33.0,32.0,31.0,34.0,33.0,34.0,39.0
11,37.0,32.0,32.0,35.0,36.0,33.0,33.0,32.0,31.0,36.0,34.0,37.0,34.0
12,34.0,32.0,32.0,33.0,35.0,33.0,33.0,32.0,33.0,34.0,32.0,34.0,37.0
13,39.0,32.0,33.0,33.0,34.0,32.0,32.0,32.0,31.0,34.0,32.0,33.0,39.0
14,37.0,31.0,31.0,35.0,35.0,32.0,32.0,32.0,31.0,35.0,33.0,36.0,38.0
15,34.0,31.0,31.0,32.0,33.0,32.0,32.0,30.0,30.0,33.0,30.0,32.0,37.0
16,39.0,32.0,32.0,32.0,33.0,31.0,31.0,31.0,28.0,30.0,28.0,31.0,39.0
17,36.0,30.0,30.0,33.0,33.0,31.0,31.0,29.0,28.0,32.0,29.0,33.0,38.0
18,36.0,31.0,30.0,33.0,32.0,29.0,29.0,30.0,30.0,32.0,29.0,32.0,36.0
19,38.0,34.0,33.0,32.0,32.0,31.0,31.0,33.0,27.0,33.0,30.0,32.0,38.0
20,34.0,35.0,34.0,35.0,34.0,31.0,31.0,34.0,27.0,34.0,30.0,34.0,34.0
21,33.0,32.0,31.0,32.0,31.0,30.0,30.0,31.0,31.0,33.0,30.0,32.0,35.0
22,37.0,35.0,34.0,33.0,32.0,31.0,31.0,34.0,28.0,34.0,31.0,33.0,37.0
23,34.0,36.0,35.0,36.0,35.0,31.0,31.0,35.0,28.0,34.0,31.0,35.0,33.0
24,33.0,32.0,31.0,33.0,35.0,33.0,33.0,32.0,32.0,34.0,32.0,34.0,36.0
25,38.0,32.0,31.0,33.0,34.0,32.0,32.0,31.0,30.0,33.0,33.0,34.0,38.0
26,36.0,31.0,31.0,34.0,35.0,32.0,32.0,31.0,32.0,35.0,33.0,36.0,33.0
27,33.0,31.0,31.0,32.0,34.0,32.0,32.0,31.0,32.0,33.0,31.0,33.0,36.0
28,38.0,31.0,32.0,32.0,33.0,31.0,31.0,31.0,31.0,33.0,32.0,34.0,38.0
29,36.0,30.0,30.0,34.0,34.0,31.0,31.0,31.0,32.0,34.0,32.0,35.0,37.0
30,33.0,30.0,30.0,31.0,32.0,31.0,31.0,29.0,31.0,32.0,29.0,31.0,36.0
31,38.0,31.0,31.0,31.0,32.0,30.0,30.0,30.0,32.0,29.0,27.0,30.0,38.0
32,35.0,29.0,29.0,32.0,32.0,30.0,30.0,28.0,33.0,31.0,28.0,32.0,37.0
33,32.0,29.0,28.0,31.0,30.0,25.0,25.0,28.0,32.0,28.0,25.0,30.0,35.0
34,37.0,32.0,31.0,32.0,31.0,27.0,27.0,31.0,29.0,29.0,28.0,31.0,37.0
35,34.0,30.0,29.0,32.0,31.0,27.0,27.0,29.0,29.0,30.0,28.0,31.0,33.0
36,33.0,29.0,28.0,33.0,32.0,30.0,30.0,28.0,30.0,32.0,30.0,33.0,36.0
37,38.0,32.0,32.0,34.0,35.0,32.0,32.0,32.0,30.0,34.0,32.0,35.0,38.0
38,36.0,32.0,32.0,35.0,36.0,32.0,32.0,32.0,32.0,34.0,33.0,37.0,33.0
39,33.0,28.0,27.0,32.0,31.0,30.0,30.0,28.0,31.0,33.0,30.0,32.0,36.0
40,38.0,31.0,31.0,33.0,34.0,31.0,31.0,32.0,32.0,34.0,32.0,35.0,38.0
41,36.0,31.0,31.0,35.0,35.0,31.0,31.0,32.0,32.0,34.0,32.0,36.0,37.0
42,32.0,28.0,27.0,31.0,30.0,28.0,28.0,27.0,32.0,29.0,27.0,30.0,36.0
43,38.0,32.0,31.0,32.0,31.0,28.0,28.0,31.0,33.0,30.0,28.0,31.0,38.0
44,35.0,30.0,29.0,33.0,32.0,29.0,29.0,29.0,32.0,30.0,29.0,32.0,37.0
45,34.0,28.0,34.0,34.0,38.0,34.0,34.0,34.0,32.0,35.0,34.0,38.0,37.0
46,38.0,29.0,35.0,35.0,39.0,35.0,35.0,35.0,33.0,35.0,35.0,39.0,37.0
47,37.0,33.0,39.0,38.0,39.0,38.0,38.0,39.0,31.0,38.0,38.0,39.0,34.0
48,34.0,27.0,33.0,33.0,37.0,33.0,33.0,34.0,33.0,34.0,34.0,38.0,37.0
49,38.0,30.0,34.0,34.0,38.0,34.0,34.0,35.0,33.0,35.0,35.0,39.0,38.0
50,37.0,32.0,38.0,37.0,38.0,37.0,37.0,39.0,34.0,38.0,38.0,39.0,38.0
51,34.0,27.0,31.0,32.0,33.0,32.0,32.0,31.0,31.0,32.0,30.0,34.0,37.0
52,38.0,29.0,29.0,32.0,35.0,33.0,33.0,29.0,33.0,31.0,33.0,35.0,38.0
53,37.0,32.0,32.0,32.0,37.0,33.0,33.0,33.0,35.0,34.0,34.0,38.0,38.0
54,34.0,26.0,32.0,32.0,36.0,32.0,32.0,33.0,33.0,33.0,33.0,37.0,37.0
55,38.0,30.0,33.0,33.0,37.0,33.0,33.0,34.0,34.0,34.0,34.0,38.0,38.0
56,37.0,31.0,37.0,36.0,37.0,36.0,36.0,38.0,36.0,37.0,37.0,38.0,38.0
57,34.0,26.0,30.0,31.0,32.0,31.0,31.0,31.0,33.0,32.0,29.0,33.0,37.0
58,38.0,30.0,30.0,31.0,34.0,32.0,32.0,30.0,34.0,31.0,33.0,35.0,38.0
59,37.0,31.0,31.0,31.0,36.0,32.0,32.0,32.0,35.0,33.0,33.0,37.0,38.0
60,33.0,25.0,25.0,30.0,31.0,29.0,29.0,25.0,31.0,28.0,26.0,29.0,37.0
61,38.0,31.0,30.0,30.0,30.0,28.0,28.0,31.0,32.0,27.0,28.0,30.0,38.0
62,33.0,30.0,30.0,30.0,31.0,30.0,30.0,29.0,32.0,29.0,27.0,30.0,38.0
63,35.0,30.0,29.0,32.0,31.0,28.0,28.0,29.0,29.0,31.0,28.0,31.0,35.0
64,37.0,33.0,32.0,31.0,31.0,30.0,30.0,32.0,26.0,32.0,29.0,31.0,37.0
65,33.0,34.0,33.0,34.0,33.0,30.0,30.0,33.0,26.0,33.0,29.0,33.0,33.0
66,32.0,31.0,30.0,31.0,30.0,29.0,29.0,30.0,30.0,32.0,29.0,31.0,34.0
67,36.0,34.0,33.0,32.0,31.0,30.0,30.0,33.0,27.0,33.0,30.0,32.0,36.0
68,33.0,35.0,34.0,35.0,34.0,30.0,30.0,34.0,27.0,33.0,30.0,34.0,32.0
69,32.0,31.0,30.0,32.0,34.0,32.0,32.0,31.0,31.0,33.0,31.0,33.0,35.0
70,37.0,31.0,30.0,32.0,34.0,31.0,31.0,30.0,29.0,32.0,32.0,34.0,37.0
71,35.0,30.0,30.0,33.0,34.0,31.0,31.0,30.0,31.0,34.0,32.0,35.0,32.0
72,32.0,30.0,30.0,31.0,33.0,31.0,31.0,30.0,31.0,32.0,30.0,32.0,35.0
73,37.0,30.0,31.0,31.0,33.0,30.0,30.0,30.0,30.0,32.0,31.0,34.0,37.0
74,35.0,29.0,29.0,33.0,33.0,30.0,30.0,30.0,31.0,33.0,31.0,34.0,36.0
75,32.0,29.0,29.0,30.0,31.0,30.0,30.0,28.0,30.0,31.0,28.0,30.0,35.0
76,37.0,30.0,30.0,30.0,31.0,29.0,29.0,29.0,31.0,28.0,26.0,29.0,37.0
77,34.0,28.0,28.0,31.0,31.0,29.0,29.0,27.0,32.0,30.0,27.0,31.0,36.0
78,31.0,28.0,27.0,30.0,29.0,25.0,25.0,27.0,31.0,27.0,25.0,29.0,34.0
79,36.0,31.0,30.0,31.0,30.0,27.0,27.0,30.0,28.0,29.0,27.0,30.0,36.0
80,33.0,29.0,28.0,31.0,30.0,27.0,27.0,28.0,28.0,29.0,27.0,30.0,32.0
81,32.0,28.0,28.0,32.0,31.0,29.0,29.0,28.0,29.0,31.0,29.0,32.0,35.0
82,37.0,31.0,31.0,33.0,34.0,31.0,31.0,31.0,29.0,33.0,31.0,34.0,37.0
83,35.0,31.0,31.0,34.0,35.0,31.0,31.0,31.0,31.0,33.0,32.0,36.0,33.0
84,32.0,27.0,27.0,31.0,30.0,29.0,29.0,28.0,30.0,32.0,29.0,31.0,35.0
85,37.0,30.0,30.0,32.0,33.0,30.0,30.0,31.0,31.0,33.0,31.0,34.0,37.0
86,35.0,30.0,30.0,34.0,34.0,30.0,30.0,31.0,31.0,33.0,31.0,35.0,36.0
87,31.0,27.0,26.0,30.0,29.0,27.0,27.0,26.0,31.0,28.0,26.0,29.0,35.0
88,37.0,31.0,30.0,31.0,30.0,27.0,27.0,30.0,32.0,29.0,27.0,30.0,37.0
89,34.0,29.0,28.0,32.0,31.0,29.0,29.0,28.0,31.0,29.0,28.0,31.0,36.0
90,33.0,27.0,33.0,33.0,37.0,33.0,33.0,33.0,31.0,34.0,33.0,37.0,36.0
91,37.0,28.0,34.0,35.0,38.0,36.0,36.0,34.0,32.0,34.0,36.0,38.0,36.0
92,36.0,32.0,38.0,37.0,38.0,37.0,37.0,38.0,32.0,37.0,37.0,38.0,33.0
93,33.0,26.0,32.0,32.0,36.0,32.0,32.0,33.0,32.0,33.0,33.0,37.0,36.0
94,37.0,29.0,35.0,35.0,37.0,35.0,35.0,35.0,32.0,34.0,36.0,38.0,37.0
95,36.0,31.0,37.0,36.0,37.0,36.0,36.0,38.0,35.0,37.0,37.0,38.0,37.0
96,33.0,26.0,31.0,31.0,32.0,31.0,31.0,31.0,33.0,31.0,29.0,33.0,36.0
97,37.0,28.0,29.0,31.0,35.0,32.0,32.0,29.0,32.0,30.0,32.0,35.0,37.0
98,36.0,31.0,31.0,31.0,36.0,32.0,32.0,32.0,35.0,33.0,33.0,37.0,37.0
99,33.0,25.0,31.0,31.0,35.0,31.0,31.0,32.0,35.0,32.0,32.0,36.0,36.0
100,37.0,29.0,34.0,34.0,36.0,34.0,34.0,35.0,33.0,33.0,35.0,37.0,37.0
101,36.0,30.0,36.0,35.0,36.0,35.0,35.0,37.0,38.0,36.0,36.0,37.0,37.0
102,33.0,25.0,30.0,30.0,31.0,30.0,30.0,31.0,34.0,31.0,28.0,32.0,36.0
103,37.0,29.0,29.0,30.0,34.0,31.0,31.0,29.0,33.0,30.0,32.0,35.0,37.0
104,36.0,30.0,30.0,30.0,35.0,31.0,31.0,31.0,38.0,32.0,32.0,36.0,37.0
105,32.0,24.0,24.0,29.0,30.0,28.0,28.0,25.0,30.0,27.0,25.0,28.0,36.0
106,37.0,30.0,29.0,29.0,29.0,27.0,27.0,30.0,31.0,26.0,27.0,29.0,37.0
107,33.0,29.0,29.0,29.0,30.0,29.0,29.0,28.0,36.0,29.0,26.0,29.0,37.0
108,31.0,24.0,23.0,24.0,23.0,21.0,21.0,23.0,25.0,24.0,21.0,23.0,34.0
109,36.0,26.0,25.0,27.0,27.0,25.0,25.0,25.0,22.0,25.0,26.0,28.0,36.0
110,32.0,29.0,28.0,27.0,26.0,26.0,26.0,28.0,26.0,29.0,26.0,27.0,32.0
111,32.0,25.0,26.0,26.0,31.0,27.0,27.0,26.0,30.0,27.0,27.0,32.0,35.0
112,37.0,28.0,28.0,29.0,35.0,32.0,32.0,28.0,27.0,30.0,32.0,35.0,37.0
113,35.0,31.0,30.0,31.0,32.0,29.0,29.0,31.0,31.0,31.0,30.0,33.0,32.0
114,32.0,24.0,25.0,27.0,30.0,26.0,26.0,26.0,31.0,27.0,27.0,31.0,35.0
115,37.0,29.0,28.0,29.0,34.0,31.0,31.0,29.0,27.0,29.0,32.0,35.0,37.0
116,35.0,30.0,29.0,30.0,31.0,28.0,28.0,30.0,31.0,31.0,29.0,32.0,36.0
117,32.0,24.0,24.0,24.0,23.0,22.0,22.0,24.0,29.0,25.0,22.0,25.0,35.0
118,37.0,27.0,26.0,29.0,28.0,26.0,26.0,26.0,27.0,26.0,27.0,29.0,37.0
119,32.0,28.0,27.0,29.0,28.0,27.0,27.0,27.0,31.0,30.0,27.0,28.0,36.0
120,33.0,27.0,34.0,34.0,34.0,34.0,34.0,34.0,31.0,34.0,34.0,34.0,36.0
121,37.0,29.0,35.0,36.0,36.0,37.0,37.0,35.0,32.0,35.0,37.0,36.0,36.0
122,36.0,32.0,39.0,35.0,39.0,38.0,38.0,39.0,33.0,38.0,38.0,39.0,33.0
123,33.0,26.0,33.0,33.0,34.0,33.0,33.0,34.0,33.0,34.0,34.0,34.0,36.0
124,37.0,29.0,36.0,36.0,36.0,36.0,36.0,36.0,32.0,35.0,37.0,36.0,37.0
125,36.0,32.0,38.0,34.0,38.0,37.0,37.0,39.0,36.0,38.0,38.0,39.0,37.0
126,33.0,27.0,30.0,29.0,33.0,29.0,29.0,30.0,34.0,30.0,30.0,34.0,36.0
127,37.0,29.0,29.0,30.0,36.0,33.0,33.0,29.0,32.0,31.0,33.0,36.0,37.0
128,36.0,32.0,32.0,32.0,34.0,31.0,31.0,33.0,36.0,31.0,31.0,35.0,37.0
129,33.0,25.0,32.0,32.0,33.0,32.0,32.0,33.0,36.0,33.0,33.0,34.0,36.0
130,37.0,29.0,35.0,35.0,35.0,35.0,35.0,36.0,34.0,34.0,36.0,36.0,37.0
131,36.0,31.0,37.0,33.0,37.0,36.0,36.0,38.0,39.0,37.0,37.0,38.0,37.0
132,33.0,26.0,29.0,30.0,32.0,28.0,28.0,30.0,35.0,29.0,29.0,33.0,36.0
133,37.0,30.0,29.0,30.0,35.0,32.0,32.0,30.0,34.0,30.0,33.0,36.0,37.0
134,36.0,31.0,31.0,31.0,33.0,30.0,30.0,32.0,39.0,32.0,31.0,34.0,37.0
135,33.0,24.0,23.0,25.0,25.0,23.0,23.0,24.0,31.0,25.0,23.0,26.0,36.0
136,37.0,31.0,30.0,30.0,29.0,27.0,27.0,31.0,32.0,26.0,28.0,30.0,37.0
137,33.0,30.0,29.0,30.0,29.0,27.0,27.0,29.0,37.0,30.0,27.0,29.0,37.0
138,32.0,34.0,34.0,34.0,37.0,34.0,34.0,34.0,32.0,34.0,34.0,37.0,35.0
139,35.0,35.0,35.0,35.0,38.0,39.0,39.0,35.0,34.0,39.0,39.0,38.0,35.0
140,34.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,32.0,39.0,39.0,40.0,33.0
141,33.0,34.0,34.0,34.0,37.0,35.0,35.0,34.0,34.0,35.0,35.0,37.0,36.0
142,35.0,35.0,35.0,35.0,38.0,38.0,38.0,35.0,37.0,39.0,39.0,38.0,37.0
143,34.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,35.0,40.0,40.0,40.0,37.0
144,34.0,31.0,34.0,33.0,34.0,33.0,33.0,34.0,35.0,33.0,33.0,34.0,36.0
145,35.0,30.0,35.0,36.0,36.0,37.0,37.0,35.0,37.0,35.0,37.0,36.0,37.0
146,34.0,33.0,40.0,35.0,40.0,36.0,36.0,40.0,36.0,36.0,36.0,40.0,37.0
147,33.0,33.0,33.0,33.0,36.0,34.0,34.0,34.0,37.0,35.0,35.0,37.0,36.0
148,35.0,34.0,36.0,35.0,37.0,39.0,39.0,36.0,40.0,38.0,39.0,38.0,37.0
149,34.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,37.0,40.0,40.0,40.0,37.0
150,34.0,31.0,33.0,33.0,36.0,33.0,33.0,34.0,36.0,33.0,33.0,36.0,36.0
151,35.0,30.0,37.0,36.0,36.0,37.0,37.0,37.0,40.0,35.0,37.0,36.0,37.0
152,34.0,32.0,39.0,34.0,39.0,35.0,35.0,40.0,36.0,36.0,36.0,40.0,37.0
153,34.0,27.0,32.0,31.0,33.0,29.0,29.0,32.0,33.0,29.0,29.0,33.0,36.0
154,35.0,31.0,38.0,31.0,36.0,33.0,33.0,38.0,38.0,31.0,33.0,36.0,37.0
155,34.0,31.0,33.0,33.0,34.0,31.0,31.0,33.0,35.0,31.0,31.0,35.0,37.0
156,32.0,32.0,32.0,32.0,35.0,33.0,33.0,33.0,36.0,34.0,34.0,36.0,35.0
157,34.0,33.0,35.0,34.0,36.0,38.0,38.0,36.0,39.0,37.0,39.0,37.0,37.0
158,34.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,37.0,39.0,39.0,39.0,37.0
159,33.0,30.0,32.0,32.0,35.0,32.0,32.0,33.0,35.0,33.0,33.0,36.0,35.0
160,35.0,29.0,36.0,35.0,35.0,36.0,36.0,37.0,39.0,34.0,37.0,36.0,37.0
161,34.0,31.0,38.0,33.0,38.0,34.0,34.0,39.0,37.0,35.0,35.0,39.0,37.0
162,33.0,26.0,31.0,30.0,32.0,28.0,28.0,32.0,34.0,29.0,29.0,33.0,35.0
163,35.0,30.0,37.0,30.0,35.0,32.0,32.0,38.0,37.0,30.0,33.0,36.0,37.0
164,34.0,31.0,32.0,32.0,33.0,30.0,30.0,33.0,36.0,31.0,30.0,34.0,37.0
165,33.0,24.0,24.0,26.0,26.0,24.0,24.0,25.0,32.0,25.0,23.0,26.0,35.0
166,35.0,31.0,30.0,30.0,30.0,27.0,27.0,32.0,33.0,26.0,27.0,31.0,37.0
167,33.0,29.0,29.0,31.0,30.0,28.0,28.0,29.0,33.0,27.0,26.0,30.0,37.0
