Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
0,46.0,46.0,47.0,45.0,44.0,44.0,45.0,46.0,44.0,46.0,43.0
1,47.0,47.0,45.0,47.0,45.0,45.0,47.0,47.0,46.0,47.0,44.0
2,47.0,47.0,45.0,47.0,45.0,45.0,47.0,47.0,46.0,43.0,44.0
3,47.0,46.0,46.0,46.0,44.0,44.0,46.0,46.0,44.0,46.0,46.0
4,49.0,48.0,47.0,47.0,45.0,45.0,47.0,47.0,45.0,47.0,47.0
5,47.0,47.0,48.0,46.0,46.0,46.0,46.0,47.0,45.0,47.0,47.0
6,47.0,47.0,46.0,47.0,44.0,44.0,47.0,45.0,45.0,47.0,45.0
7,48.0,49.0,46.0,48.0,46.0,46.0,48.0,46.0,46.0,48.0,46.0
8,48.0,47.0,47.0,47.0,46.0,46.0,47.0,48.0,46.0,48.0,48.0
9,45.0,45.0,46.0,44.0,43.0,44.0,44.0,44.0,44.0,46.0,44.0
10,47.0,46.0,46.0,46.0,44.0,44.0,46.0,47.0,45.0,45.0,47.0
11,46.0,46.0,45.0,46.0,44.0,45.0,46.0,46.0,45.0,44.0,43.0
12,43.0,45.0,45.0,43.0,42.0,43.0,43.0,44.0,43.0,45.0,44.0
13,46.0,47.0,45.0,46.0,43.0,43.0,46.0,47.0,44.0,45.0,47.0
14,46.0,46.0,45.0,45.0,43.0,44.0,45.0,46.0,44.0,43.0,43.0
15,44.0,46.0,46.0,44.0,43.0,44.0,44.0,42.0,44.0,46.0,42.0
16,47.0,48.0,45.0,47.0,44.0,44.0,47.0,45.0,45.0,45.0,45.0
17,46.0,46.0,45.0,46.0,44.0,45.0,46.0,47.0,45.0,42.0,44.0
18,46.0,45.0,45.0,45.0,44.0,44.0,45.0,45.0,44.0,45.0,45.0
19,48.0,47.0,46.0,46.0,45.0,45.0,46.0,46.0,45.0,46.0,46.0
20,46.0,46.0,47.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,46.0
21,46.0,46.0,45.0,46.0,45.0,45.0,46.0,44.0,45.0,46.0,44.0
22,47.0,48.0,45.0,47.0,45.0,45.0,47.0,45.0,46.0,47.0,45.0
23,47.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0,47.0,47.0
24,44.0,44.0,45.0,43.0,43.0,43.0,43.0,43.0,44.0,45.0,43.0
25,46.0,46.0,46.0,45.0,44.0,44.0,45.0,46.0,45.0,44.0,46.0
26,46.0,46.0,46.0,45.0,45.0,45.0,45.0,45.0,45.0,44.0,44.0
27,44.0,44.0,44.0,43.0,42.0,42.0,43.0,43.0,43.0,44.0,43.0
28,45.0,46.0,45.0,45.0,43.0,43.0,45.0,46.0,44.0,44.0,46.0
29,46.0,45.0,45.0,45.0,44.0,44.0,45.0,45.0,44.0,43.0,43.0
30,45.0,45.0,45.0,44.0,42.0,43.0,44.0,42.0,44.0,45.0,42.0
31,46.0,47.0,44.0,46.0,44.0,44.0,46.0,44.0,45.0,44.0,44.0
32,47.0,46.0,45.0,46.0,44.0,45.0,46.0,46.0,45.0,43.0,44.0
33,42.0,45.0,45.0,45.0,46.0,46.0,45.0,43.0,46.0,46.0,42.0
34,48.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,47.0,46.0,44.0
35,44.0,46.0,47.0,47.0,48.0,48.0,47.0,46.0,47.0,46.0,46.0
36,42.0,45.0,44.0,44.0,43.0,43.0,44.0,43.0,45.0,46.0,43.0
37,45.0,46.0,44.0,46.0,45.0,45.0,46.0,45.0,46.0,44.0,45.0
38,44.0,46.0,44.0,46.0,45.0,45.0,46.0,45.0,46.0,45.0,45.0
39,41.0,44.0,43.0,43.0,42.0,42.0,43.0,42.0,44.0,45.0,42.0
40,45.0,45.0,43.0,45.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0
41,43.0,45.0,44.0,45.0,44.0,44.0,45.0,44.0,45.0,44.0,44.0
42,42.0,45.0,44.0,44.0,43.0,43.0,44.0,43.0,45.0,46.0,43.0
43,45.0,46.0,44.0,46.0,45.0,45.0,46.0,44.0,46.0,44.0,44.0
44,44.0,46.0,44.0,46.0,45.0,45.0,46.0,45.0,46.0,44.0,45.0
45,42.0,44.0,43.0,43.0,43.0,43.0,43.0,42.0,44.0,41.0,41.0
46,46.0,44.0,44.0,45.0,44.0,44.0,45.0,43.0,45.0,43.0,43.0
47,43.0,45.0,45.0,45.0,44.0,44.0,45.0,44.0,45.0,43.0,43.0
48,42.0,43.0,43.0,42.0,41.0,42.0,42.0,42.0,43.0,42.0,42.0
49,45.0,44.0,43.0,44.0,43.0,43.0,44.0,43.0,44.0,44.0,43.0
50,43.0,45.0,44.0,44.0,43.0,44.0,44.0,45.0,44.0,43.0,44.0
51,42.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,44.0,41.0,43.0
