Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
0,50.0,52.0,52.0,48.0,52.0,47.0,52.0,49.0,47.0,48.0,50.0,50.0,47.0,48.0
1,50.0,54.0,54.0,47.0,54.0,47.0,54.0,50.0,45.0,48.0,51.0,51.0,47.0,50.0
2,47.0,50.0,50.0,45.0,50.0,44.0,50.0,46.0,45.0,44.0,49.0,49.0,48.0,50.0
3,49.0,52.0,52.0,47.0,52.0,47.0,52.0,48.0,47.0,47.0,50.0,50.0,47.0,49.0
4,49.0,54.0,54.0,47.0,54.0,47.0,54.0,49.0,44.0,47.0,50.0,51.0,47.0,50.0
5,47.0,53.0,53.0,44.0,53.0,44.0,53.0,46.0,45.0,45.0,48.0,50.0,49.0,50.0
6,50.0,49.0,49.0,48.0,49.0,47.0,49.0,49.0,47.0,48.0,50.0,50.0,48.0,50.0
7,50.0,49.0,50.0,48.0,49.0,47.0,50.0,50.0,45.0,48.0,51.0,51.0,48.0,51.0
8,47.0,48.0,49.0,45.0,48.0,44.0,49.0,46.0,46.0,46.0,49.0,50.0,50.0,51.0
9,50.0,53.0,53.0,51.0,53.0,51.0,53.0,49.0,47.0,48.0,51.0,51.0,51.0,53.0
10,51.0,53.0,53.0,50.0,53.0,52.0,53.0,50.0,44.0,48.0,52.0,53.0,51.0,53.0
11,48.0,51.0,51.0,47.0,51.0,48.0,51.0,46.0,45.0,44.0,50.0,50.0,49.0,52.0
12,53.0,53.0,53.0,53.0,52.0,53.0,52.0,53.0,53.0,53.0,50.0,52.0,50.0,52.0
13,56.0,54.0,54.0,52.0,54.0,53.0,54.0,54.0,52.0,53.0,52.0,52.0,52.0,53.0
14,51.0,54.0,54.0,50.0,54.0,50.0,54.0,50.0,50.0,49.0,51.0,51.0,53.0,52.0
15,54.0,54.0,54.0,54.0,53.0,52.0,53.0,54.0,54.0,54.0,51.0,53.0,48.0,51.0
16,57.0,55.0,55.0,53.0,55.0,53.0,55.0,55.0,53.0,54.0,53.0,53.0,53.0,52.0
17,52.0,55.0,55.0,51.0,55.0,51.0,55.0,51.0,51.0,50.0,52.0,52.0,54.0,53.0
18,48.0,51.0,51.0,47.0,51.0,46.0,51.0,51.0,46.0,46.0,49.0,49.0,48.0,48.0
19,48.0,53.0,53.0,48.0,53.0,46.0,53.0,48.0,45.0,46.0,50.0,50.0,49.0,49.0
20,46.0,52.0,52.0,48.0,52.0,43.0,52.0,48.0,44.0,44.0,49.0,49.0,50.0,49.0
21,49.0,49.0,49.0,48.0,49.0,46.0,49.0,52.0,47.0,47.0,50.0,49.0,49.0,49.0
22,49.0,49.0,49.0,49.0,49.0,47.0,49.0,49.0,46.0,47.0,51.0,50.0,50.0,50.0
23,46.0,48.0,49.0,49.0,48.0,43.0,49.0,49.0,45.0,45.0,49.0,50.0,51.0,50.0
24,49.0,52.0,52.0,50.0,52.0,51.0,52.0,48.0,46.0,47.0,51.0,51.0,50.0,56.0
25,50.0,52.0,52.0,51.0,52.0,51.0,52.0,49.0,43.0,47.0,52.0,52.0,51.0,56.0
26,47.0,51.0,51.0,46.0,51.0,47.0,51.0,45.0,45.0,45.0,49.0,52.0,50.0,52.0
27,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,50.0,51.0,49.0,55.0
28,55.0,53.0,53.0,53.0,53.0,52.0,53.0,53.0,51.0,52.0,52.0,54.0,51.0,55.0
29,51.0,53.0,53.0,49.0,53.0,49.0,53.0,50.0,50.0,48.0,51.0,54.0,52.0,55.0
30,53.0,53.0,53.0,53.0,53.0,51.0,53.0,53.0,53.0,53.0,51.0,52.0,49.0,50.0
31,56.0,54.0,54.0,52.0,54.0,52.0,54.0,54.0,52.0,53.0,53.0,55.0,52.0,54.0
32,52.0,54.0,54.0,50.0,54.0,50.0,54.0,51.0,51.0,49.0,52.0,55.0,53.0,56.0
33,48.0,49.0,49.0,49.0,49.0,46.0,49.0,53.0,46.0,47.0,49.0,49.0,49.0,49.0
34,49.0,49.0,50.0,50.0,49.0,47.0,50.0,50.0,46.0,47.0,50.0,50.0,51.0,50.0
35,46.0,47.0,47.0,50.0,46.0,43.0,46.0,50.0,45.0,43.0,47.0,50.0,52.0,51.0
36,49.0,50.0,50.0,51.0,50.0,51.0,50.0,48.0,46.0,48.0,51.0,51.0,51.0,57.0
