Piece,Rotation,Flip,Row,Col,Turn
Piece.STRAIGHT_STATION,Rotation.R90,False,0,2,1
Piece.RAILWAY_CORNER,Rotation.I,False,0,3,1
Piece.HIGHWAY_T,Rotation.I,False,0,0,1
Piece.HIGHWAY_T,Rotation.I,False,0,1,1
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,6,2,2
Piece.RAILWAY_CORNER,Rotation.R270,False,6,3,2
Piece.RAILWAY_T,Rotation.R180,False,6,0,2
Piece.OVERPASS,Rotation.I,False,6,1,2
Piece.RAILWAY_CORNER,Rotation.R90,False,1,6,3
Piece.HIGHWAY_CORNER,Rotation.R270,False,5,1,3
Piece.STRAIGHT_STATION,Rotation.R270,False,5,0,3
Piece.RAILWAY_STRAIGHT,Rotation.I,False,0,6,3
Piece.HIGHWAY_T,Rotation.R90,False,6,6,4
Piece.OVERPASS,Rotation.I,False,5,6,4
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,5,4
Piece.HIGHWAY_CORNER,Rotation.R180,False,4,6,4
Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,4,5
Piece.CORNER_STATION,Rotation.R90,True,6,4,5
Piece.RAILWAY_JUNCTION,Rotation.I,False,5,4,5
Piece.HIGHWAY_T,Rotation.R180,False,6,5,5
Piece.RAILWAY_STRAIGHT,Rotation.I,False,3,4,5
Piece.HIGHWAY_T,Rotation.R90,False,2,1,6
Piece.CORNER_JUNCTION,Rotation.I,False,2,2,6
Piece.HIGHWAY_T,Rotation.R180,False,1,1,6
Piece.STRAIGHT_STATION,Rotation.R270,False,1,0,6
Piece.RAILWAY_CORNER,Rotation.R270,False,2,4,6
