Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
0,39.0,33.0,35.0,33.0,27.0,27.0,35.0,31.0,34.0,32.0,35.0,37.0,37.0,29.0,32.0,39.0
1,37.0,34.0,37.0,34.0,32.0,31.0,35.0,30.0,34.0,34.0,34.0,36.0,36.0,32.0,34.0,43.0
2,40.0,36.0,36.0,36.0,32.0,32.0,36.0,32.0,34.0,36.0,37.0,38.0,38.0,33.0,36.0,42.0
3,39.0,35.0,35.0,35.0,28.0,28.0,35.0,31.0,38.0,33.0,35.0,37.0,37.0,29.0,33.0,39.0
4,38.0,35.0,36.0,36.0,32.0,31.0,36.0,30.0,35.0,35.0,36.0,36.0,36.0,32.0,35.0,42.0
5,40.0,36.0,39.0,36.0,31.0,32.0,39.0,32.0,37.0,36.0,37.0,38.0,38.0,32.0,36.0,41.0
6,39.0,35.0,35.0,35.0,28.0,28.0,35.0,31.0,38.0,32.0,35.0,37.0,37.0,29.0,32.0,39.0
7,37.0,36.0,36.0,36.0,32.0,31.0,36.0,31.0,35.0,34.0,37.0,35.0,35.0,32.0,34.0,39.0
8,40.0,36.0,39.0,36.0,32.0,32.0,39.0,32.0,37.0,36.0,35.0,39.0,39.0,33.0,36.0,40.0
9,40.0,37.0,36.0,37.0,32.0,31.0,36.0,32.0,40.0,37.0,40.0,38.0,38.0,32.0,37.0,40.0
10,38.0,36.0,37.0,36.0,33.0,32.0,37.0,31.0,40.0,36.0,40.0,36.0,36.0,33.0,36.0,41.0
11,41.0,37.0,38.0,37.0,33.0,33.0,38.0,34.0,40.0,39.0,40.0,39.0,39.0,33.0,39.0,42.0
12,40.0,36.0,36.0,36.0,31.0,30.0,36.0,32.0,39.0,36.0,39.0,38.0,38.0,31.0,36.0,40.0
13,42.0,37.0,41.0,37.0,32.0,31.0,41.0,32.0,40.0,35.0,39.0,41.0,41.0,32.0,35.0,42.0
14,44.0,36.0,40.0,36.0,33.0,32.0,40.0,36.0,39.0,38.0,39.0,43.0,43.0,34.0,38.0,44.0
15,40.0,35.0,34.0,35.0,31.0,28.0,34.0,32.0,37.0,33.0,34.0,38.0,38.0,30.0,33.0,40.0
16,43.0,37.0,37.0,37.0,33.0,32.0,37.0,32.0,39.0,36.0,36.0,42.0,42.0,32.0,36.0,42.0
17,45.0,36.0,38.0,36.0,33.0,33.0,36.0,37.0,39.0,38.0,38.0,44.0,44.0,35.0,38.0,44.0
18,38.0,34.0,35.0,34.0,30.0,30.0,34.0,31.0,37.0,33.0,34.0,36.0,36.0,31.0,33.0,38.0
19,37.0,34.0,38.0,35.0,31.0,30.0,38.0,32.0,36.0,34.0,35.0,35.0,36.0,31.0,35.0,41.0
20,40.0,35.0,38.0,35.0,32.0,32.0,38.0,33.0,36.0,36.0,36.0,38.0,38.0,33.0,36.0,41.0
21,38.0,35.0,36.0,35.0,31.0,31.0,34.0,32.0,37.0,34.0,35.0,37.0,37.0,32.0,34.0,38.0
22,38.0,35.0,38.0,36.0,31.0,31.0,38.0,33.0,36.0,35.0,36.0,36.0,36.0,32.0,36.0,38.0
23,40.0,35.0,38.0,35.0,33.0,33.0,38.0,34.0,36.0,36.0,36.0,38.0,38.0,34.0,37.0,40.0
24,39.0,36.0,36.0,36.0,32.0,31.0,35.0,32.0,39.0,38.0,39.0,37.0,37.0,32.0,38.0,39.0
25,37.0,35.0,37.0,36.0,32.0,31.0,37.0,31.0,39.0,35.0,39.0,36.0,36.0,32.0,35.0,42.0
26,40.0,36.0,39.0,36.0,32.0,32.0,39.0,33.0,39.0,38.0,39.0,38.0,38.0,33.0,38.0,41.0
27,39.0,35.0,35.0,35.0,31.0,31.0,35.0,32.0,40.0,37.0,38.0,37.0,37.0,31.0,37.0,39.0
28,41.0,37.0,40.0,37.0,32.0,31.0,40.0,32.0,39.0,35.0,38.0,40.0,40.0,32.0,35.0,41.0
29,43.0,36.0,39.0,36.0,32.0,32.0,39.0,35.0,39.0,37.0,38.0,42.0,42.0,33.0,37.0,43.0
30,39.0,35.0,35.0,35.0,31.0,28.0,35.0,32.0,38.0,34.0,35.0,38.0,38.0,31.0,34.0,39.0
31,42.0,37.0,37.0,37.0,32.0,31.0,37.0,33.0,39.0,35.0,36.0,41.0,41.0,32.0,35.0,41.0
32,44.0,36.0,37.0,36.0,32.0,32.0,36.0,36.0,39.0,38.0,38.0,43.0,43.0,34.0,38.0,43.0
33,37.0,35.0,34.0,35.0,29.0,29.0,34.0,33.0,36.0,31.0,36.0,37.0,37.0,32.0,31.0,37.0
34,37.0,35.0,36.0,36.0,31.0,30.0,36.0,34.0,37.0,33.0,36.0,34.0,34.0,33.0,33.0,37.0
35,38.0,36.0,36.0,36.0,32.0,32.0,36.0,35.0,34.0,35.0,36.0,39.0,39.0,33.0,35.0,39.0
36,38.0,37.0,37.0,37.0,32.0,31.0,36.0,31.0,38.0,36.0,38.0,38.0,38.0,32.0,36.0,38.0
37,35.0,35.0,37.0,36.0,32.0,31.0,37.0,31.0,40.0,34.0,40.0,36.0,34.0,32.0,35.0,39.0
38,39.0,37.0,39.0,37.0,33.0,33.0,39.0,33.0,38.0,37.0,38.0,39.0,39.0,33.0,37.0,40.0
39,38.0,36.0,36.0,36.0,31.0,30.0,35.0,32.0,40.0,35.0,37.0,38.0,38.0,31.0,35.0,38.0
40,39.0,37.0,38.0,37.0,32.0,31.0,38.0,33.0,39.0,34.0,39.0,38.0,38.0,32.0,35.0,39.0
41,40.0,36.0,39.0,36.0,33.0,32.0,39.0,36.0,39.0,37.0,38.0,39.0,39.0,34.0,37.0,40.0
42,39.0,35.0,35.0,35.0,31.0,29.0,35.0,33.0,38.0,32.0,36.0,38.0,38.0,32.0,33.0,38.0
43,40.0,37.0,37.0,37.0,32.0,31.0,36.0,34.0,39.0,34.0,37.0,39.0,39.0,33.0,34.0,39.0
44,40.0,36.0,37.0,36.0,32.0,32.0,37.0,37.0,39.0,38.0,39.0,39.0,39.0,35.0,38.0,40.0
45,43.0,39.0,40.0,39.0,32.0,37.0,40.0,37.0,39.0,37.0,39.0,42.0,42.0,37.0,37.0,43.0
46,38.0,36.0,39.0,36.0,37.0,38.0,39.0,38.0,41.0,36.0,41.0,37.0,37.0,38.0,36.0,41.0
47,39.0,37.0,39.0,37.0,35.0,39.0,39.0,39.0,40.0,38.0,40.0,39.0,39.0,39.0,38.0,40.0
48,43.0,39.0,39.0,39.0,36.0,36.0,39.0,36.0,42.0,37.0,42.0,42.0,42.0,37.0,37.0,43.0
49,40.0,38.0,39.0,38.0,37.0,37.0,39.0,37.0,41.0,38.0,41.0,39.0,39.0,38.0,38.0,41.0
50,42.0,38.0,40.0,38.0,38.0,38.0,40.0,38.0,42.0,38.0,42.0,41.0,41.0,39.0,38.0,42.0
51,43.0,39.0,39.0,39.0,37.0,32.0,38.0,34.0,40.0,38.0,40.0,42.0,42.0,37.0,38.0,43.0
52,41.0,38.0,38.0,38.0,38.0,35.0,38.0,35.0,41.0,39.0,41.0,40.0,40.0,38.0,39.0,41.0
53,43.0,38.0,38.0,38.0,39.0,37.0,38.0,38.0,43.0,39.0,43.0,42.0,42.0,39.0,39.0,42.0
54,42.0,42.0,41.0,42.0,35.0,35.0,41.0,35.0,41.0,36.0,41.0,41.0,41.0,36.0,36.0,42.0
55,40.0,38.0,39.0,38.0,36.0,36.0,40.0,36.0,42.0,37.0,40.0,39.0,39.0,37.0,37.0,40.0
56,42.0,38.0,42.0,38.0,37.0,37.0,42.0,37.0,41.0,37.0,41.0,41.0,41.0,38.0,37.0,42.0
57,42.0,43.0,42.0,43.0,36.0,31.0,42.0,33.0,41.0,37.0,39.0,41.0,41.0,36.0,37.0,42.0
58,41.0,38.0,38.0,38.0,37.0,34.0,40.0,34.0,43.0,38.0,40.0,40.0,40.0,37.0,38.0,40.0
59,43.0,38.0,42.0,38.0,38.0,36.0,42.0,37.0,42.0,38.0,42.0,42.0,42.0,38.0,38.0,42.0
60,40.0,39.0,38.0,39.0,32.0,28.0,38.0,32.0,38.0,33.0,35.0,39.0,39.0,31.0,33.0,39.0
61,41.0,37.0,37.0,37.0,33.0,32.0,37.0,35.0,40.0,34.0,36.0,40.0,40.0,32.0,34.0,40.0
62,43.0,38.0,38.0,38.0,37.0,34.0,38.0,37.0,40.0,38.0,39.0,42.0,42.0,36.0,38.0,42.0
63,37.0,34.0,34.0,34.0,29.0,29.0,34.0,30.0,36.0,32.0,33.0,36.0,36.0,30.0,32.0,37.0
64,36.0,33.0,37.0,35.0,30.0,29.0,37.0,31.0,35.0,33.0,34.0,34.0,35.0,30.0,34.0,40.0
65,39.0,34.0,38.0,34.0,31.0,31.0,38.0,32.0,36.0,35.0,35.0,37.0,37.0,32.0,35.0,40.0
66,37.0,34.0,35.0,34.0,30.0,30.0,34.0,31.0,36.0,33.0,34.0,36.0,36.0,31.0,33.0,37.0
67,37.0,34.0,37.0,35.0,30.0,30.0,37.0,32.0,35.0,34.0,35.0,35.0,35.0,31.0,35.0,37.0
68,39.0,34.0,38.0,34.0,32.0,32.0,38.0,33.0,36.0,35.0,35.0,38.0,38.0,33.0,36.0,39.0
69,38.0,35.0,35.0,35.0,31.0,30.0,34.0,31.0,38.0,37.0,38.0,37.0,37.0,31.0,37.0,38.0
70,36.0,34.0,36.0,35.0,31.0,30.0,36.0,30.0,38.0,34.0,38.0,35.0,35.0,31.0,34.0,41.0
71,39.0,35.0,38.0,35.0,31.0,31.0,38.0,32.0,38.0,37.0,38.0,38.0,38.0,32.0,37.0,40.0
72,38.0,35.0,35.0,35.0,30.0,30.0,35.0,31.0,39.0,36.0,37.0,37.0,37.0,30.0,36.0,38.0
73,40.0,36.0,39.0,36.0,31.0,30.0,39.0,31.0,38.0,34.0,37.0,39.0,39.0,31.0,34.0,40.0
74,42.0,35.0,39.0,35.0,31.0,31.0,39.0,34.0,38.0,36.0,37.0,41.0,41.0,33.0,36.0,42.0
75,39.0,34.0,34.0,34.0,30.0,27.0,34.0,31.0,37.0,33.0,34.0,38.0,38.0,30.0,34.0,38.0
76,41.0,36.0,36.0,36.0,31.0,30.0,36.0,32.0,39.0,34.0,35.0,40.0,40.0,31.0,34.0,40.0
77,43.0,35.0,38.0,35.0,31.0,31.0,38.0,35.0,38.0,37.0,37.0,42.0,42.0,34.0,37.0,42.0
78,37.0,34.0,34.0,34.0,28.0,28.0,34.0,32.0,36.0,31.0,35.0,36.0,36.0,31.0,32.0,37.0
79,36.0,34.0,35.0,35.0,30.0,30.0,35.0,33.0,36.0,34.0,35.0,33.0,33.0,32.0,34.0,37.0
80,38.0,35.0,35.0,35.0,31.0,31.0,35.0,34.0,33.0,36.0,35.0,38.0,38.0,32.0,37.0,38.0
81,38.0,36.0,36.0,36.0,31.0,30.0,35.0,30.0,37.0,36.0,37.0,37.0,37.0,31.0,36.0,38.0
82,34.0,34.0,36.0,35.0,31.0,31.0,36.0,30.0,39.0,35.0,39.0,35.0,33.0,31.0,35.0,38.0
83,39.0,36.0,38.0,36.0,32.0,32.0,38.0,32.0,37.0,38.0,37.0,38.0,38.0,32.0,38.0,39.0
84,38.0,35.0,35.0,35.0,30.0,29.0,35.0,31.0,39.0,35.0,37.0,37.0,37.0,30.0,35.0,38.0
85,39.0,36.0,37.0,36.0,31.0,30.0,37.0,32.0,38.0,35.0,38.0,38.0,38.0,31.0,35.0,39.0
86,39.0,35.0,38.0,35.0,32.0,31.0,38.0,35.0,38.0,37.0,37.0,38.0,38.0,34.0,37.0,39.0
