Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
0,32.0,32.0,34.0,36.0,33.0,31.0,34.0
1,33.0,32.0,35.0,34.0,34.0,34.0,30.0
2,32.0,31.0,36.0,34.0,33.0,33.0,35.0
3,32.0,31.0,35.0,35.0,32.0,31.0,35.0
4,33.0,31.0,37.0,37.0,34.0,33.0,34.0
5,34.0,32.0,36.0,36.0,34.0,32.0,34.0
6,32.0,31.0,34.0,36.0,31.0,31.0,34.0
7,33.0,32.0,38.0,38.0,33.0,33.0,35.0
8,33.0,33.0,35.0,36.0,33.0,33.0,34.0
9,35.0,35.0,37.0,36.0,36.0,36.0,34.0
10,36.0,34.0,35.0,33.0,35.0,34.0,31.0
11,34.0,34.0,35.0,34.0,34.0,34.0,36.0
12,34.0,34.0,36.0,35.0,36.0,36.0,33.0
13,35.0,34.0,36.0,32.0,34.0,33.0,30.0
14,35.0,34.0,36.0,33.0,34.0,34.0,35.0
15,34.0,33.0,35.0,33.0,37.0,37.0,34.0
16,35.0,35.0,37.0,33.0,34.0,34.0,29.0
17,36.0,35.0,37.0,34.0,35.0,35.0,35.0
18,32.0,30.0,35.0,34.0,32.0,30.0,34.0
19,33.0,31.0,37.0,36.0,34.0,32.0,33.0
20,34.0,32.0,35.0,35.0,34.0,32.0,34.0
21,32.0,31.0,34.0,35.0,31.0,31.0,33.0
22,33.0,32.0,38.0,37.0,33.0,33.0,34.0
23,33.0,33.0,34.0,35.0,33.0,33.0,35.0
24,35.0,34.0,36.0,35.0,35.0,35.0,34.0
25,36.0,34.0,35.0,33.0,35.0,34.0,35.0
26,36.0,34.0,35.0,33.0,33.0,33.0,35.0
27,34.0,33.0,35.0,34.0,35.0,35.0,33.0
28,35.0,33.0,36.0,32.0,34.0,33.0,34.0
29,35.0,33.0,35.0,32.0,33.0,33.0,34.0
30,34.0,32.0,34.0,32.0,36.0,36.0,33.0
31,34.0,34.0,37.0,33.0,34.0,34.0,34.0
32,36.0,34.0,36.0,33.0,34.0,34.0,34.0
33,31.0,31.0,32.0,34.0,30.0,30.0,34.0
34,32.0,32.0,37.0,34.0,32.0,32.0,34.0
35,32.0,32.0,34.0,34.0,32.0,32.0,34.0
36,34.0,34.0,36.0,33.0,35.0,35.0,35.0
37,34.0,34.0,35.0,33.0,34.0,34.0,36.0
38,35.0,35.0,34.0,33.0,33.0,33.0,34.0
39,33.0,33.0,35.0,32.0,34.0,34.0,34.0
40,33.0,33.0,35.0,33.0,33.0,33.0,35.0
41,34.0,34.0,35.0,32.0,33.0,33.0,34.0
42,33.0,33.0,34.0,33.0,35.0,35.0,34.0
43,33.0,33.0,36.0,33.0,33.0,33.0,35.0
44,35.0,35.0,36.0,33.0,34.0,34.0,35.0
45,35.0,35.0,36.0,32.0,35.0,35.0,35.0
46,36.0,36.0,36.0,34.0,36.0,36.0,34.0
47,35.0,34.0,36.0,34.0,34.0,34.0,36.0
48,35.0,34.0,36.0,31.0,35.0,35.0,34.0
49,36.0,36.0,37.0,33.0,36.0,36.0,34.0
50,37.0,36.0,37.0,33.0,37.0,37.0,35.0
51,36.0,35.0,36.0,32.0,36.0,36.0,35.0
52,37.0,37.0,38.0,34.0,37.0,37.0,35.0
53,38.0,37.0,38.0,33.0,38.0,37.0,35.0
54,35.0,35.0,35.0,30.0,35.0,35.0,33.0
55,35.0,35.0,36.0,32.0,35.0,35.0,33.0
56,37.0,37.0,36.0,32.0,37.0,37.0,34.0
57,36.0,36.0,35.0,31.0,36.0,36.0,34.0
58,36.0,36.0,37.0,33.0,36.0,36.0,34.0
59,38.0,38.0,37.0,32.0,38.0,38.0,34.0
60,35.0,35.0,34.0,32.0,35.0,35.0,27.0
61,35.0,35.0,35.0,34.0,35.0,35.0,34.0
62,37.0,37.0,37.0,32.0,37.0,37.0,29.0
63,31.0,29.0,34.0,33.0,31.0,29.0,33.0
64,32.0,30.0,36.0,35.0,33.0,31.0,32.0
65,33.0,31.0,34.0,34.0,33.0,31.0,33.0
66,32.0,30.0,33.0,34.0,30.0,30.0,32.0
67,33.0,31.0,37.0,36.0,32.0,32.0,33.0
68,33.0,32.0,33.0,34.0,32.0,32.0,34.0
69,34.0,33.0,35.0,34.0,34.0,34.0,33.0
70,35.0,33.0,35.0,32.0,34.0,33.0,34.0
71,36.0,34.0,35.0,33.0,33.0,33.0,34.0
72,33.0,32.0,34.0,33.0,34.0,34.0,32.0
73,34.0,32.0,35.0,31.0,33.0,32.0,33.0
74,35.0,33.0,35.0,32.0,33.0,32.0,33.0
75,34.0,32.0,34.0,33.0,35.0,35.0,32.0
76,34.0,33.0,36.0,32.0,33.0,33.0,33.0
77,36.0,34.0,36.0,33.0,34.0,33.0,33.0
78,31.0,31.0,31.0,33.0,30.0,30.0,33.0
79,32.0,32.0,36.0,34.0,32.0,32.0,34.0
80,32.0,32.0,33.0,33.0,31.0,31.0,33.0
81,33.0,33.0,35.0,32.0,34.0,34.0,34.0
82,34.0,34.0,34.0,33.0,34.0,34.0,35.0
83,35.0,35.0,34.0,32.0,34.0,34.0,34.0
84,32.0,32.0,34.0,31.0,33.0,33.0,33.0
85,33.0,33.0,34.0,32.0,33.0,33.0,34.0
86,34.0,34.0,34.0,31.0,33.0,33.0,33.0
87,33.0,33.0,33.0,32.0,34.0,34.0,33.0
88,33.0,33.0,35.0,32.0,34.0,34.0,34.0
89,35.0,35.0,35.0,32.0,33.0,33.0,34.0
90,34.0,34.0,36.0,32.0,34.0,34.0,34.0
91,35.0,35.0,35.0,33.0,37.0,37.0,33.0
92,35.0,33.0,35.0,34.0,34.0,34.0,35.0
93,34.0,33.0,35.0,31.0,34.0,34.0,33.0
94,35.0,35.0,36.0,32.0,36.0,36.0,33.0
95,36.0,35.0,36.0,33.0,36.0,36.0,34.0
96,35.0,34.0,35.0,31.0,35.0,35.0,34.0
97,36.0,36.0,37.0,33.0,36.0,36.0,34.0
98,37.0,36.0,37.0,33.0,37.0,36.0,35.0
99,34.0,34.0,34.0,30.0,34.0,34.0,32.0
100,34.0,34.0,35.0,31.0,35.0,35.0,32.0
101,36.0,36.0,35.0,32.0,36.0,36.0,33.0
102,35.0,35.0,34.0,30.0,35.0,35.0,33.0
103,35.0,35.0,36.0,32.0,35.0,35.0,33.0
104,37.0,37.0,36.0,32.0,37.0,37.0,34.0
105,34.0,34.0,33.0,31.0,34.0,34.0,33.0
106,34.0,34.0,34.0,33.0,34.0,34.0,33.0
107,36.0,36.0,37.0,33.0,36.0,36.0,34.0
108,30.0,30.0,29.0,33.0,29.0,29.0,32.0
109,31.0,31.0,33.0,33.0,32.0,32.0,33.0
110,30.0,30.0,31.0,33.0,30.0,30.0,33.0
111,33.0,33.0,33.0,33.0,34.0,34.0,32.0
112,33.0,33.0,33.0,33.0,33.0,33.0,34.0
113,33.0,33.0,33.0,33.0,33.0,33.0,34.0
114,32.0,32.0,32.0,32.0,34.0,34.0,33.0
115,32.0,32.0,32.0,33.0,32.0,32.0,33.0
116,32.0,32.0,32.0,32.0,32.0,32.0,33.0
117,32.0,32.0,31.0,33.0,35.0,35.0,34.0
118,33.0,33.0,33.0,32.0,33.0,33.0,34.0
119,33.0,33.0,32.0,33.0,33.0,33.0,34.0
120,35.0,35.0,35.0,32.0,35.0,35.0,34.0
121,35.0,35.0,35.0,34.0,36.0,36.0,34.0
122,34.0,34.0,35.0,34.0,33.0,33.0,34.0
123,34.0,34.0,34.0,31.0,35.0,35.0,34.0
124,36.0,36.0,34.0,33.0,36.0,36.0,33.0
125,36.0,36.0,36.0,33.0,36.0,36.0,35.0
126,35.0,35.0,35.0,32.0,36.0,36.0,35.0
127,37.0,37.0,35.0,34.0,37.0,37.0,34.0
128,37.0,37.0,37.0,34.0,37.0,37.0,36.0
129,33.0,33.0,33.0,30.0,34.0,34.0,33.0
130,35.0,35.0,33.0,32.0,35.0,35.0,32.0
131,35.0,35.0,35.0,32.0,35.0,35.0,34.0
132,34.0,34.0,34.0,31.0,35.0,35.0,34.0
133,36.0,36.0,34.0,33.0,36.0,36.0,33.0
134,36.0,36.0,36.0,33.0,36.0,36.0,35.0
135,33.0,33.0,32.0,32.0,35.0,35.0,34.0
136,35.0,35.0,34.0,33.0,35.0,35.0,34.0
137,35.0,35.0,36.0,34.0,35.0,35.0,35.0
138,36.0,36.0,36.0,34.0,36.0,36.0,36.0
139,37.0,37.0,35.0,34.0,37.0,37.0,37.0
140,36.0,36.0,36.0,34.0,36.0,36.0,38.0
141,37.0,37.0,35.0,33.0,38.0,38.0,35.0
142,38.0,38.0,35.0,33.0,38.0,38.0,36.0
143,38.0,37.0,36.0,34.0,38.0,38.0,37.0
144,38.0,38.0,36.0,33.0,39.0,39.0,36.0
145,38.0,38.0,36.0,34.0,38.0,38.0,36.0
146,39.0,38.0,37.0,34.0,39.0,38.0,36.0
147,36.0,36.0,35.0,32.0,37.0,37.0,34.0
148,37.0,37.0,35.0,34.0,37.0,37.0,35.0
149,38.0,38.0,37.0,34.0,37.0,37.0,36.0
150,37.0,37.0,35.0,32.0,38.0,38.0,35.0
151,37.0,37.0,36.0,34.0,37.0,37.0,36.0
152,39.0,39.0,37.0,34.0,38.0,38.0,37.0
153,36.0,36.0,35.0,33.0,37.0,37.0,36.0
154,37.0,37.0,35.0,34.0,37.0,37.0,37.0
155,38.0,38.0,37.0,34.0,38.0,38.0,38.0
156,35.0,35.0,34.0,31.0,36.0,36.0,33.0
157,36.0,36.0,34.0,33.0,36.0,36.0,34.0
158,37.0,37.0,36.0,33.0,36.0,36.0,35.0
159,36.0,36.0,34.0,31.0,37.0,37.0,34.0
160,36.0,36.0,35.0,33.0,36.0,36.0,35.0
161,38.0,38.0,36.0,33.0,37.0,37.0,36.0
162,35.0,35.0,34.0,32.0,36.0,36.0,35.0
163,36.0,36.0,34.0,33.0,36.0,36.0,36.0
164,37.0,37.0,36.0,34.0,37.0,37.0,37.0
165,33.0,33.0,32.0,31.0,35.0,35.0,28.0
166,35.0,35.0,34.0,33.0,35.0,35.0,34.0
167,35.0,35.0,34.0,32.0,35.0,35.0,30.0
