Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
0,27.0,26.0,32.0,30.0,27.0,26.0,28.0,27.0,32.0,31.0,32.0,28.0
1,27.0,27.0,33.0,28.0,27.0,27.0,29.0,27.0,33.0,32.0,33.0,29.0
2,27.0,27.0,33.0,28.0,29.0,27.0,29.0,27.0,33.0,33.0,33.0,29.0
3,28.0,28.0,34.0,30.0,27.0,28.0,27.0,28.0,34.0,31.0,34.0,27.0
4,27.0,28.0,34.0,28.0,28.0,28.0,30.0,27.0,34.0,31.0,34.0,30.0
5,28.0,27.0,36.0,28.0,30.0,27.0,30.0,28.0,36.0,32.0,36.0,30.0
6,27.0,29.0,33.0,30.0,28.0,29.0,27.0,27.0,33.0,30.0,33.0,27.0
7,26.0,29.0,35.0,29.0,29.0,29.0,29.0,26.0,35.0,32.0,35.0,29.0
8,27.0,28.0,33.0,29.0,29.0,28.0,29.0,27.0,33.0,32.0,33.0,29.0
9,31.0,31.0,36.0,30.0,33.0,31.0,33.0,31.0,36.0,31.0,36.0,33.0
10,31.0,31.0,33.0,29.0,28.0,31.0,29.0,31.0,33.0,30.0,33.0,29.0
11,28.0,28.0,33.0,27.0,29.0,28.0,30.0,28.0,33.0,32.0,33.0,28.0
12,32.0,31.0,35.0,34.0,32.0,31.0,32.0,32.0,35.0,31.0,35.0,32.0
13,30.0,30.0,35.0,31.0,28.0,30.0,28.0,30.0,35.0,30.0,35.0,29.0
14,28.0,30.0,37.0,32.0,28.0,30.0,29.0,28.0,37.0,31.0,37.0,28.0
15,33.0,32.0,35.0,35.0,31.0,32.0,33.0,33.0,35.0,30.0,35.0,33.0
16,31.0,31.0,36.0,32.0,29.0,31.0,28.0,31.0,36.0,30.0,36.0,29.0
17,28.0,31.0,38.0,33.0,29.0,31.0,28.0,28.0,38.0,32.0,38.0,28.0
18,28.0,28.0,34.0,29.0,27.0,28.0,26.0,28.0,34.0,30.0,34.0,26.0
19,27.0,32.0,33.0,27.0,27.0,32.0,29.0,27.0,33.0,32.0,33.0,29.0
20,28.0,28.0,35.0,28.0,29.0,28.0,29.0,28.0,35.0,32.0,35.0,29.0
21,27.0,29.0,34.0,30.0,27.0,29.0,26.0,27.0,34.0,30.0,34.0,26.0
22,28.0,33.0,34.0,28.0,28.0,33.0,28.0,28.0,34.0,32.0,34.0,28.0
23,27.0,28.0,36.0,28.0,29.0,28.0,28.0,27.0,36.0,32.0,36.0,28.0
24,31.0,32.0,35.0,30.0,32.0,31.0,32.0,31.0,35.0,31.0,35.0,32.0
25,31.0,31.0,33.0,29.0,28.0,31.0,28.0,31.0,33.0,29.0,33.0,28.0
26,27.0,31.0,36.0,27.0,28.0,28.0,29.0,27.0,36.0,31.0,36.0,28.0
27,31.0,31.0,35.0,35.0,31.0,31.0,31.0,31.0,35.0,30.0,35.0,31.0
28,30.0,32.0,36.0,31.0,27.0,32.0,27.0,30.0,36.0,31.0,36.0,28.0
29,28.0,30.0,36.0,34.0,27.0,30.0,28.0,28.0,36.0,31.0,36.0,28.0
30,32.0,32.0,36.0,36.0,30.0,32.0,32.0,32.0,36.0,30.0,36.0,32.0
31,31.0,33.0,37.0,32.0,28.0,33.0,28.0,31.0,37.0,32.0,37.0,28.0
32,28.0,31.0,37.0,35.0,28.0,31.0,28.0,28.0,37.0,32.0,37.0,28.0
33,25.0,25.0,31.0,28.0,28.0,25.0,26.0,26.0,31.0,27.0,31.0,26.0
34,27.0,34.0,31.0,28.0,29.0,34.0,29.0,27.0,31.0,32.0,31.0,29.0
35,27.0,28.0,32.0,27.0,29.0,28.0,29.0,27.0,32.0,32.0,32.0,29.0
36,32.0,33.0,36.0,28.0,31.0,32.0,31.0,32.0,36.0,28.0,36.0,31.0
37,31.0,31.0,31.0,28.0,29.0,31.0,29.0,31.0,31.0,30.0,31.0,29.0
38,27.0,32.0,33.0,27.0,29.0,29.0,29.0,27.0,33.0,32.0,33.0,29.0
39,31.0,32.0,35.0,34.0,30.0,31.0,30.0,31.0,35.0,28.0,35.0,30.0
40,30.0,33.0,35.0,29.0,28.0,33.0,28.0,30.0,35.0,32.0,35.0,29.0
41,28.0,31.0,37.0,31.0,28.0,30.0,28.0,28.0,37.0,32.0,37.0,29.0
42,32.0,32.0,35.0,35.0,31.0,32.0,31.0,32.0,35.0,28.0,35.0,31.0
43,31.0,34.0,36.0,30.0,29.0,34.0,28.0,31.0,36.0,33.0,36.0,29.0
44,28.0,31.0,38.0,32.0,29.0,31.0,28.0,28.0,38.0,33.0,38.0,29.0
45,33.0,37.0,36.0,32.0,37.0,33.0,33.0,33.0,36.0,32.0,36.0,33.0
46,32.0,38.0,31.0,29.0,38.0,32.0,30.0,32.0,31.0,32.0,31.0,30.0
47,29.0,35.0,33.0,32.0,35.0,28.0,30.0,29.0,33.0,32.0,33.0,29.0
48,37.0,37.0,35.0,34.0,37.0,37.0,37.0,37.0,35.0,33.0,35.0,37.0
49,38.0,38.0,37.0,32.0,38.0,38.0,38.0,38.0,37.0,32.0,37.0,38.0
50,35.0,35.0,37.0,33.0,34.0,35.0,34.0,35.0,37.0,31.0,37.0,34.0
51,38.0,38.0,36.0,35.0,38.0,38.0,38.0,38.0,36.0,34.0,36.0,38.0
52,39.0,39.0,38.0,33.0,39.0,39.0,39.0,39.0,38.0,31.0,38.0,39.0
53,36.0,36.0,38.0,32.0,35.0,36.0,35.0,36.0,38.0,32.0,38.0,35.0
54,36.0,36.0,37.0,37.0,36.0,36.0,36.0,36.0,37.0,34.0,37.0,36.0
55,37.0,37.0,36.0,36.0,37.0,37.0,37.0,37.0,36.0,32.0,36.0,37.0
56,34.0,34.0,36.0,35.0,33.0,34.0,33.0,34.0,36.0,32.0,36.0,33.0
57,37.0,37.0,38.0,38.0,37.0,37.0,37.0,37.0,38.0,35.0,38.0,37.0
58,38.0,38.0,37.0,37.0,38.0,38.0,38.0,38.0,37.0,33.0,37.0,38.0
59,35.0,35.0,37.0,36.0,34.0,35.0,34.0,35.0,37.0,33.0,37.0,34.0
60,33.0,35.0,38.0,38.0,33.0,35.0,33.0,34.0,38.0,31.0,38.0,34.0
61,39.0,39.0,35.0,35.0,39.0,39.0,39.0,39.0,35.0,34.0,35.0,39.0
62,35.0,35.0,37.0,37.0,35.0,35.0,35.0,35.0,37.0,34.0,37.0,35.0
63,27.0,27.0,33.0,28.0,26.0,27.0,25.0,27.0,33.0,29.0,33.0,25.0
64,26.0,31.0,32.0,26.0,27.0,31.0,28.0,26.0,32.0,31.0,32.0,28.0
65,27.0,27.0,34.0,27.0,28.0,27.0,28.0,27.0,34.0,31.0,34.0,28.0
66,26.0,28.0,33.0,29.0,26.0,28.0,25.0,26.0,33.0,29.0,33.0,25.0
67,27.0,32.0,33.0,27.0,28.0,32.0,27.0,27.0,33.0,31.0,33.0,27.0
68,26.0,27.0,35.0,27.0,28.0,27.0,27.0,26.0,35.0,31.0,35.0,27.0
69,30.0,31.0,34.0,29.0,31.0,30.0,31.0,30.0,34.0,30.0,34.0,31.0
70,30.0,30.0,32.0,28.0,27.0,30.0,27.0,30.0,32.0,31.0,32.0,27.0
71,26.0,30.0,35.0,26.0,27.0,27.0,28.0,26.0,35.0,31.0,35.0,27.0
72,30.0,31.0,34.0,34.0,30.0,31.0,30.0,30.0,34.0,29.0,34.0,30.0
73,29.0,31.0,35.0,30.0,27.0,31.0,26.0,29.0,35.0,30.0,35.0,27.0
74,27.0,30.0,35.0,33.0,26.0,30.0,27.0,27.0,35.0,30.0,35.0,27.0
75,31.0,32.0,35.0,35.0,30.0,32.0,31.0,31.0,35.0,29.0,35.0,31.0
76,30.0,32.0,36.0,31.0,28.0,32.0,27.0,30.0,36.0,31.0,36.0,27.0
77,27.0,31.0,36.0,34.0,27.0,31.0,27.0,27.0,36.0,31.0,36.0,27.0
78,24.0,25.0,31.0,27.0,27.0,25.0,25.0,25.0,31.0,26.0,31.0,25.0
79,26.0,33.0,30.0,27.0,29.0,33.0,28.0,26.0,30.0,31.0,30.0,28.0
80,26.0,27.0,32.0,26.0,28.0,27.0,28.0,26.0,32.0,31.0,32.0,28.0
81,31.0,32.0,35.0,27.0,32.0,31.0,30.0,31.0,35.0,27.0,35.0,30.0
82,30.0,30.0,30.0,27.0,28.0,30.0,28.0,30.0,30.0,32.0,30.0,28.0
83,26.0,31.0,33.0,26.0,28.0,28.0,29.0,26.0,33.0,32.0,33.0,28.0
84,30.0,32.0,34.0,33.0,31.0,32.0,29.0,30.0,34.0,27.0,34.0,29.0
85,29.0,32.0,34.0,28.0,28.0,32.0,27.0,29.0,34.0,31.0,34.0,28.0
86,27.0,31.0,36.0,31.0,27.0,31.0,28.0,27.0,36.0,31.0,36.0,28.0
87,31.0,33.0,34.0,34.0,31.0,33.0,30.0,31.0,34.0,27.0,34.0,30.0
88,30.0,33.0,35.0,29.0,29.0,33.0,27.0,30.0,35.0,32.0,35.0,28.0
89,27.0,32.0,37.0,32.0,28.0,32.0,27.0,27.0,37.0,32.0,37.0,28.0
90,32.0,36.0,35.0,32.0,36.0,32.0,32.0,32.0,35.0,31.0,35.0,32.0
91,31.0,37.0,30.0,28.0,37.0,31.0,29.0,31.0,30.0,31.0,30.0,29.0
92,28.0,34.0,32.0,32.0,34.0,27.0,30.0,28.0,32.0,31.0,32.0,29.0
93,36.0,36.0,34.0,33.0,36.0,36.0,36.0,36.0,34.0,33.0,34.0,36.0
94,37.0,37.0,36.0,31.0,37.0,37.0,37.0,37.0,36.0,32.0,36.0,37.0
95,34.0,34.0,36.0,33.0,33.0,34.0,33.0,34.0,36.0,32.0,36.0,33.0
96,37.0,37.0,35.0,34.0,37.0,37.0,37.0,37.0,35.0,33.0,35.0,37.0
97,38.0,38.0,37.0,32.0,38.0,38.0,38.0,38.0,37.0,33.0,37.0,38.0
98,35.0,35.0,37.0,32.0,34.0,35.0,34.0,35.0,37.0,33.0,37.0,34.0
99,35.0,35.0,36.0,36.0,35.0,35.0,35.0,35.0,36.0,33.0,36.0,35.0
100,36.0,36.0,35.0,35.0,36.0,36.0,36.0,36.0,35.0,31.0,35.0,36.0
101,33.0,33.0,35.0,34.0,33.0,33.0,32.0,33.0,35.0,31.0,35.0,32.0
102,36.0,36.0,37.0,37.0,36.0,36.0,36.0,36.0,37.0,34.0,37.0,36.0
103,37.0,37.0,36.0,36.0,37.0,37.0,37.0,37.0,36.0,32.0,36.0,37.0
104,34.0,34.0,36.0,35.0,34.0,34.0,33.0,34.0,36.0,32.0,36.0,33.0
105,32.0,34.0,37.0,37.0,34.0,34.0,32.0,33.0,37.0,30.0,37.0,33.0
106,38.0,38.0,35.0,35.0,38.0,38.0,38.0,38.0,35.0,33.0,35.0,38.0
