Piece,Rotation,Flip,Row,Col,Turn
Piece.CORNER_STATION,Rotation.I,True,1,1,1
Piece.RAILWAY_T,Rotation.R270,False,0,0,1
Piece.RAILWAY_T,Rotation.I,False,1,0,1
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,1,1
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,6,2,2
Piece.RAILWAY_CORNER,Rotation.R270,False,6,3,2
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,5,0,2
Piece.CORNER_STATION,Rotation.R180,True,6,1,2
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,1,6,3
Piece.CORNER_STATION,Rotation.R90,False,1,5,3
Piece.HIGHWAY_T,Rotation.R90,False,0,5,3
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,6,3
Piece.STRAIGHT_STATION,Rotation.R90,False,3,0,4
Piece.RAILWAY_CORNER,Rotation.I,False,5,1,4
Piece.RAILWAY_STRAIGHT,Rotation.I,False,4,1,4
Piece.RAILWAY_CORNER,Rotation.R270,False,3,1,4
Piece.THREE_R_JUNCTION,Rotation.R180,False,6,6,5
Piece.RAILWAY_CORNER,Rotation.R180,False,5,6,5
Piece.CORNER_STATION,Rotation.R180,True,6,5,5
Piece.RAILWAY_T,Rotation.R270,False,1,3,6
Piece.RAILWAY_T,Rotation.R270,False,0,3,6
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,6,6
Piece.CORNER_STATION,Rotation.R180,False,2,2,6
Piece.THREE_H_JUNCTION,Rotation.R180,False,2,3,6
