Piece,Rotation,Flip,Row,Col,Turn
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,1,2,1
Piece.CORNER_JUNCTION,Rotation.R90,False,1,1,1
Piece.OVERPASS,Rotation.R90,False,0,0,1
Piece.RAILWAY_T,Rotation.I,False,1,0,1
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,1,1
Piece.HIGHWAY_CORNER,Rotation.I,False,1,3,2
Piece.THREE_H_JUNCTION,Rotation.R180,False,0,3,2
Piece.HIGHWAY_T,Rotation.I,False,0,4,2
Piece.HIGHWAY_T,Rotation.I,False,0,5,2
Piece.OVERPASS,Rotation.R90,False,0,6,2
Piece.CORNER_STATION,Rotation.I,False,3,0,3
Piece.HIGHWAY_CORNER,Rotation.R90,False,0,2,3
Piece.RAILWAY_CORNER,Rotation.I,False,2,1,3
Piece.RAILWAY_T,Rotation.R180,False,2,0,3
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,6,2,4
Piece.CROSS_JUNCTION,Rotation.R90,False,6,3,4
Piece.OVERPASS,Rotation.R90,False,6,4,4
Piece.HIGHWAY_T,Rotation.R180,False,6,5,4
Piece.HIGHWAY_T,Rotation.R180,False,6,1,4
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,6,6,5
Piece.RAILWAY_T,Rotation.R90,False,1,6,5
Piece.CORNER_STATION,Rotation.R270,False,5,0,5
Piece.HIGHWAY_CORNER,Rotation.R90,False,6,0,5
Piece.OVERPASS,Rotation.R90,False,4,4,6
Piece.RAILWAY_T,Rotation.R90,False,5,4,6
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,4,2,6
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,4,3,6
