Piece,Rotation,Flip,Row,Col,Turn
Piece.CORNER_STATION,Rotation.I,True,1,1,1
Piece.RAILWAY_CORNER,Rotation.R270,False,0,0,1
Piece.RAILWAY_T,Rotation.I,False,1,0,1
Piece.HIGHWAY_T,Rotation.R90,False,0,1,1
Piece.STRAIGHT_STATION,Rotation.R90,False,0,2,2
Piece.RAILWAY_T,Rotation.I,False,0,3,2
Piece.HIGHWAY_CORNER,Rotation.R90,False,0,5,2
Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,0,6,2
Piece.HIGHWAY_CORNER,Rotation.R270,False,5,1,3
Piece.HIGHWAY_CORNER,Rotation.R180,False,3,6,3
Piece.STRAIGHT_STATION,Rotation.R270,False,5,0,3
Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,1,3
Piece.RAILWAY_T,Rotation.R270,False,0,4,4
Piece.RAILWAY_STRAIGHT,Rotation.I,False,1,4,4
Piece.CORNER_STATION,Rotation.R90,True,3,4,4
Piece.RAILWAY_T,Rotation.R90,False,2,4,4
Piece.RAILWAY_T,Rotation.R270,False,2,5,5
Piece.RAILWAY_STRAIGHT,Rotation.R90,False,4,4,5
Piece.THREE_R_JUNCTION,Rotation.R90,False,4,5,5
Piece.OVERPASS,Rotation.R90,False,3,5,5
Piece.HIGHWAY_CORNER,Rotation.I,False,4,6,5
Piece.RAILWAY_T,Rotation.I,False,1,6,6
Piece.CORNER_JUNCTION,Rotation.R270,False,5,5,6
Piece.RAILWAY_CORNER,Rotation.R180,False,1,5,6
Piece.HIGHWAY_T,Rotation.R90,False,6,5,6
Piece.CORNER_STATION,Rotation.R180,True,4,3,6
