Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
0,44.0,45.0,44.0,44.0,44.0,48.0,48.0,48.0,44.0,44.0,44.0,46.0,44.0,44.0,44.0,48.0
1,47.0,46.0,45.0,46.0,45.0,44.0,44.0,43.0,45.0,45.0,45.0,47.0,45.0,46.0,45.0,43.0
2,46.0,46.0,45.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,45.0,47.0,45.0,45.0,45.0,44.0
3,43.0,49.0,43.0,43.0,43.0,48.0,48.0,48.0,46.0,43.0,43.0,45.0,43.0,43.0,43.0,47.0
4,46.0,46.0,45.0,45.0,44.0,50.0,50.0,47.0,47.0,44.0,44.0,47.0,45.0,45.0,44.0,47.0
5,45.0,50.0,45.0,45.0,44.0,47.0,47.0,48.0,49.0,44.0,44.0,46.0,45.0,45.0,44.0,48.0
6,43.0,45.0,44.0,44.0,44.0,46.0,46.0,46.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0,46.0
7,45.0,46.0,45.0,45.0,45.0,51.0,51.0,48.0,47.0,45.0,45.0,45.0,45.0,45.0,45.0,48.0
8,45.0,47.0,45.0,45.0,45.0,47.0,47.0,47.0,47.0,45.0,45.0,45.0,45.0,45.0,45.0,47.0
9,48.0,45.0,47.0,47.0,47.0,45.0,45.0,45.0,45.0,47.0,47.0,47.0,47.0,47.0,47.0,45.0
10,45.0,46.0,45.0,47.0,45.0,44.0,44.0,43.0,44.0,45.0,45.0,47.0,45.0,45.0,45.0,43.0
11,45.0,46.0,45.0,45.0,45.0,41.0,41.0,41.0,44.0,45.0,45.0,47.0,45.0,45.0,45.0,41.0
12,49.0,49.0,48.0,48.0,49.0,49.0,49.0,48.0,46.0,49.0,49.0,49.0,49.0,49.0,48.0,47.0
13,50.0,50.0,49.0,51.0,50.0,50.0,50.0,50.0,47.0,50.0,49.0,51.0,50.0,50.0,49.0,46.0
14,50.0,50.0,49.0,49.0,50.0,47.0,47.0,48.0,49.0,50.0,49.0,51.0,50.0,50.0,49.0,50.0
15,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0
16,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,41.0
17,47.0,46.0,45.0,46.0,45.0,44.0,44.0,43.0,44.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0
18,43.0,49.0,42.0,42.0,42.0,50.0,50.0,50.0,45.0,42.0,42.0,44.0,42.0,42.0,42.0,46.0
19,45.0,51.0,44.0,44.0,43.0,51.0,51.0,51.0,49.0,43.0,43.0,46.0,44.0,44.0,43.0,46.0
20,49.0,51.0,48.0,48.0,48.0,51.0,51.0,51.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,50.0
21,44.0,50.0,43.0,43.0,43.0,49.0,49.0,49.0,46.0,43.0,43.0,43.0,43.0,43.0,43.0,46.0
22,44.0,51.0,44.0,44.0,44.0,50.0,50.0,50.0,50.0,44.0,44.0,44.0,44.0,44.0,44.0,47.0
23,50.0,52.0,49.0,49.0,49.0,51.0,51.0,51.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0,51.0
24,47.0,50.0,46.0,46.0,46.0,49.0,49.0,49.0,44.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0
25,50.0,45.0,49.0,49.0,49.0,46.0,46.0,46.0,46.0,49.0,49.0,49.0,49.0,49.0,49.0,47.0
26,44.0,50.0,45.0,45.0,44.0,46.0,46.0,46.0,45.0,44.0,45.0,46.0,44.0,44.0,45.0,46.0
27,48.0,50.0,47.0,47.0,48.0,50.0,50.0,50.0,49.0,48.0,48.0,48.0,48.0,48.0,47.0,49.0
28,50.0,51.0,49.0,50.0,49.0,51.0,51.0,51.0,49.0,49.0,49.0,50.0,50.0,50.0,49.0,47.0
29,50.0,51.0,49.0,49.0,49.0,51.0,51.0,51.0,50.0,49.0,49.0,50.0,50.0,50.0,49.0,50.0
30,44.0,50.0,43.0,43.0,43.0,49.0,49.0,49.0,44.0,43.0,43.0,43.0,43.0,43.0,43.0,45.0
31,45.0,46.0,44.0,44.0,44.0,46.0,46.0,46.0,45.0,44.0,44.0,44.0,45.0,45.0,44.0,46.0
32,46.0,50.0,44.0,45.0,44.0,50.0,50.0,47.0,45.0,44.0,44.0,44.0,45.0,45.0,44.0,47.0
33,36.0,41.0,36.0,36.0,36.0,45.0,45.0,45.0,40.0,36.0,36.0,36.0,36.0,36.0,36.0,45.0
34,43.0,42.0,43.0,43.0,42.0,46.0,46.0,46.0,46.0,42.0,42.0,42.0,43.0,43.0,42.0,46.0
35,42.0,45.0,42.0,42.0,41.0,47.0,47.0,47.0,45.0,41.0,41.0,41.0,42.0,42.0,41.0,47.0
