Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
0,46.0,46.0,44.0,50.0,50.0,50.0,50.0,44.0,47.0
1,43.0,41.0,44.0,47.0,47.0,47.0,47.0,44.0,44.0
2,45.0,45.0,42.0,47.0,48.0,47.0,48.0,41.0,46.0
3,50.0,50.0,49.0,52.0,52.0,52.0,52.0,49.0,49.0
4,47.0,47.0,50.0,52.0,52.0,52.0,52.0,50.0,49.0
5,50.0,51.0,48.0,54.0,54.0,54.0,54.0,47.0,51.0
6,51.0,51.0,50.0,53.0,53.0,53.0,53.0,50.0,50.0
7,48.0,48.0,51.0,53.0,53.0,53.0,53.0,51.0,50.0
8,51.0,51.0,48.0,55.0,55.0,55.0,55.0,48.0,52.0
9,51.0,50.0,49.0,57.0,57.0,57.0,57.0,50.0,53.0
10,46.0,42.0,44.0,50.0,50.0,50.0,50.0,45.0,48.0
11,51.0,45.0,41.0,51.0,52.0,51.0,52.0,42.0,49.0
12,50.0,50.0,50.0,56.0,56.0,56.0,56.0,51.0,52.0
13,46.0,45.0,48.0,52.0,52.0,52.0,52.0,49.0,48.0
14,50.0,49.0,46.0,52.0,52.0,52.0,52.0,47.0,52.0
15,51.0,51.0,50.0,52.0,52.0,52.0,52.0,50.0,50.0
16,47.0,46.0,49.0,53.0,53.0,53.0,53.0,50.0,49.0
17,51.0,50.0,47.0,53.0,53.0,53.0,53.0,48.0,49.0
18,50.0,49.0,50.0,53.0,53.0,53.0,53.0,50.0,48.0
19,50.0,47.0,50.0,52.0,52.0,52.0,52.0,50.0,48.0
20,51.0,51.0,50.0,53.0,53.0,53.0,53.0,50.0,50.0
21,51.0,50.0,51.0,54.0,54.0,54.0,54.0,51.0,49.0
22,51.0,48.0,51.0,53.0,53.0,53.0,53.0,51.0,49.0
23,52.0,52.0,51.0,54.0,54.0,54.0,54.0,51.0,51.0
24,54.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,54.0
25,52.0,47.0,51.0,51.0,51.0,51.0,51.0,51.0,54.0
26,57.0,52.0,48.0,51.0,51.0,51.0,51.0,48.0,54.0
27,53.0,55.0,57.0,57.0,57.0,57.0,57.0,57.0,54.0
28,51.0,51.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0
29,56.0,56.0,53.0,53.0,53.0,53.0,53.0,53.0,57.0
30,51.0,51.0,52.0,54.0,54.0,54.0,54.0,52.0,53.0
31,52.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,53.0
32,57.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,52.0
33,51.0,51.0,52.0,55.0,55.0,55.0,55.0,52.0,50.0
34,52.0,49.0,51.0,52.0,52.0,52.0,52.0,51.0,50.0
35,51.0,51.0,52.0,54.0,54.0,54.0,54.0,52.0,52.0
36,55.0,57.0,57.0,54.0,54.0,54.0,54.0,57.0,55.0
37,53.0,48.0,52.0,52.0,52.0,52.0,52.0,52.0,55.0
38,58.0,53.0,49.0,51.0,51.0,51.0,51.0,49.0,55.0
39,54.0,56.0,58.0,54.0,54.0,54.0,54.0,58.0,55.0
40,52.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,54.0
41,57.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,58.0
42,52.0,52.0,53.0,55.0,55.0,55.0,55.0,53.0,54.0
43,53.0,53.0,57.0,57.0,57.0,57.0,57.0,57.0,54.0
44,58.0,58.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0
45,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
46,49.0,48.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0
47,54.0,53.0,47.0,48.0,48.0,48.0,48.0,48.0,51.0
48,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
49,52.0,51.0,55.0,55.0,55.0,55.0,55.0,55.0,54.0
50,57.0,56.0,50.0,51.0,51.0,51.0,51.0,51.0,54.0
51,55.0,51.0,51.0,54.0,54.0,54.0,54.0,51.0,53.0
52,50.0,46.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0
53,52.0,51.0,47.0,48.0,49.0,48.0,49.0,47.0,51.0
54,55.0,55.0,55.0,57.0,57.0,57.0,57.0,55.0,56.0
55,51.0,50.0,54.0,54.0,54.0,54.0,54.0,54.0,53.0
56,56.0,55.0,49.0,51.0,52.0,52.0,52.0,50.0,53.0
57,54.0,50.0,51.0,53.0,53.0,53.0,53.0,51.0,53.0
58,49.0,46.0,49.0,49.0,49.0,49.0,49.0,49.0,51.0
59,51.0,50.0,46.0,47.0,48.0,48.0,48.0,46.0,51.0
60,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,54.0
61,47.0,47.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
62,52.0,51.0,46.0,47.0,47.0,49.0,49.0,46.0,50.0
63,49.0,48.0,49.0,52.0,52.0,52.0,52.0,49.0,48.0
64,49.0,46.0,49.0,51.0,51.0,51.0,51.0,49.0,50.0
65,50.0,50.0,49.0,52.0,52.0,52.0,52.0,49.0,49.0
66,50.0,49.0,50.0,53.0,53.0,53.0,53.0,50.0,49.0
67,50.0,47.0,50.0,52.0,52.0,52.0,52.0,50.0,51.0
68,51.0,51.0,50.0,53.0,53.0,53.0,53.0,50.0,50.0
