Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
0,53.0,53.0,53.0,52.0,53.0,46.0,52.0,52.0
1,52.0,52.0,52.0,51.0,52.0,52.0,51.0,47.0
2,52.0,50.0,52.0,50.0,55.0,52.0,50.0,50.0
3,56.0,56.0,56.0,55.0,56.0,49.0,55.0,55.0
4,55.0,55.0,55.0,54.0,55.0,55.0,54.0,50.0
5,55.0,53.0,55.0,53.0,58.0,55.0,53.0,53.0
6,55.0,55.0,55.0,54.0,55.0,48.0,54.0,54.0
7,54.0,54.0,54.0,53.0,54.0,54.0,53.0,49.0
8,54.0,52.0,54.0,52.0,57.0,54.0,52.0,52.0
9,51.0,52.0,51.0,50.0,53.0,51.0,50.0,52.0
10,52.0,53.0,52.0,51.0,52.0,53.0,51.0,50.0
11,52.0,49.0,52.0,51.0,53.0,52.0,51.0,52.0
12,55.0,55.0,55.0,54.0,53.0,51.0,54.0,54.0
13,57.0,57.0,57.0,56.0,57.0,55.0,56.0,53.0
14,57.0,53.0,57.0,56.0,57.0,56.0,56.0,57.0
15,52.0,53.0,52.0,52.0,53.0,47.0,52.0,52.0
16,57.0,58.0,57.0,57.0,58.0,53.0,57.0,53.0
17,57.0,54.0,57.0,57.0,58.0,51.0,57.0,57.0
18,55.0,55.0,55.0,55.0,56.0,49.0,55.0,55.0
19,55.0,56.0,55.0,54.0,55.0,55.0,54.0,50.0
20,54.0,54.0,54.0,53.0,57.0,55.0,53.0,53.0
21,55.0,55.0,55.0,55.0,56.0,49.0,55.0,55.0
22,55.0,55.0,55.0,54.0,55.0,55.0,54.0,50.0
23,54.0,54.0,54.0,53.0,58.0,54.0,53.0,53.0
24,54.0,55.0,54.0,53.0,56.0,54.0,53.0,55.0
25,55.0,56.0,55.0,54.0,55.0,56.0,54.0,53.0
26,55.0,52.0,55.0,54.0,56.0,55.0,54.0,55.0
27,57.0,57.0,57.0,56.0,56.0,54.0,56.0,57.0
28,60.0,60.0,60.0,59.0,60.0,58.0,59.0,56.0
29,60.0,56.0,60.0,59.0,60.0,59.0,59.0,60.0
30,55.0,56.0,55.0,55.0,56.0,50.0,55.0,55.0
31,60.0,61.0,60.0,60.0,61.0,56.0,60.0,56.0
32,60.0,57.0,60.0,60.0,61.0,54.0,60.0,60.0
33,54.0,54.0,54.0,54.0,55.0,48.0,54.0,54.0
34,54.0,54.0,54.0,53.0,54.0,54.0,53.0,49.0
35,53.0,53.0,53.0,52.0,57.0,52.0,52.0,52.0
36,53.0,54.0,53.0,52.0,55.0,53.0,52.0,54.0
37,54.0,55.0,54.0,53.0,54.0,55.0,53.0,52.0
38,54.0,51.0,54.0,53.0,55.0,54.0,53.0,54.0
39,56.0,56.0,56.0,55.0,55.0,53.0,55.0,56.0
40,59.0,59.0,59.0,58.0,59.0,57.0,58.0,55.0
41,59.0,55.0,59.0,58.0,59.0,58.0,58.0,59.0
42,54.0,55.0,54.0,54.0,55.0,49.0,54.0,54.0
43,59.0,60.0,59.0,59.0,60.0,55.0,59.0,55.0
44,59.0,56.0,59.0,59.0,60.0,53.0,59.0,59.0
45,51.0,56.0,51.0,50.0,56.0,50.0,50.0,51.0
46,49.0,52.0,49.0,48.0,51.0,52.0,48.0,48.0
47,52.0,52.0,52.0,51.0,53.0,52.0,51.0,52.0
48,56.0,56.0,56.0,55.0,56.0,54.0,55.0,56.0
49,54.0,55.0,54.0,53.0,55.0,57.0,53.0,53.0
50,57.0,53.0,57.0,56.0,57.0,56.0,56.0,57.0
51,53.0,52.0,53.0,53.0,56.0,51.0,53.0,56.0
52,54.0,55.0,54.0,54.0,56.0,57.0,54.0,53.0
53,57.0,54.0,57.0,57.0,58.0,52.0,57.0,57.0
54,55.0,55.0,55.0,54.0,55.0,53.0,54.0,55.0
55,59.0,59.0,59.0,58.0,54.0,56.0,58.0,55.0
56,59.0,57.0,59.0,58.0,56.0,55.0,58.0,59.0
57,54.0,55.0,54.0,54.0,55.0,51.0,54.0,55.0
58,59.0,60.0,59.0,59.0,55.0,56.0,59.0,55.0
59,59.0,58.0,59.0,59.0,57.0,53.0,59.0,59.0
60,52.0,52.0,52.0,52.0,53.0,46.0,52.0,52.0
61,52.0,54.0,53.0,53.0,54.0,52.0,52.0,53.0
62,57.0,58.0,57.0,57.0,58.0,47.0,57.0,53.0
63,54.0,54.0,54.0,54.0,55.0,48.0,54.0,54.0
64,54.0,55.0,54.0,53.0,54.0,54.0,53.0,49.0
65,53.0,53.0,53.0,52.0,56.0,54.0,52.0,52.0
66,55.0,54.0,55.0,55.0,56.0,49.0,55.0,55.0
67,54.0,54.0,54.0,53.0,54.0,55.0,53.0,50.0
68,54.0,53.0,54.0,53.0,57.0,53.0,53.0,53.0
69,54.0,54.0,54.0,53.0,55.0,54.0,53.0,55.0
70,54.0,55.0,54.0,53.0,54.0,56.0,53.0,52.0
71,55.0,51.0,55.0,54.0,55.0,55.0,54.0,55.0
72,57.0,56.0,57.0,56.0,55.0,53.0,56.0,57.0
73,59.0,59.0,59.0,58.0,59.0,58.0,58.0,56.0
74,60.0,55.0,60.0,59.0,60.0,59.0,59.0,60.0
75,54.0,55.0,54.0,54.0,55.0,49.0,54.0,55.0
76,59.0,60.0,59.0,59.0,60.0,56.0,59.0,56.0
77,60.0,56.0,60.0,60.0,61.0,54.0,60.0,60.0
78,55.0,55.0,55.0,55.0,56.0,48.0,55.0,55.0
79,53.0,53.0,53.0,52.0,53.0,55.0,52.0,50.0
80,53.0,52.0,53.0,52.0,58.0,52.0,52.0,52.0
81,54.0,55.0,54.0,53.0,56.0,53.0,53.0,55.0
82,53.0,54.0,53.0,52.0,53.0,56.0,52.0,51.0
83,54.0,52.0,54.0,53.0,56.0,54.0,53.0,54.0
84,56.0,55.0,56.0,55.0,56.0,54.0,55.0,56.0
85,58.0,58.0,58.0,57.0,58.0,57.0,57.0,56.0
86,59.0,56.0,59.0,58.0,59.0,58.0,58.0,59.0
87,55.0,56.0,55.0,55.0,56.0,48.0,55.0,55.0
88,58.0,59.0,58.0,58.0,59.0,56.0,58.0,56.0
89,59.0,57.0,59.0,59.0,60.0,53.0,59.0,59.0
90,54.0,59.0,54.0,53.0,59.0,53.0,53.0,54.0
91,50.0,55.0,50.0,51.0,54.0,55.0,51.0,51.0
92,55.0,55.0,55.0,54.0,56.0,55.0,54.0,55.0
93,59.0,59.0,59.0,58.0,59.0,57.0,58.0,59.0
94,55.0,56.0,55.0,56.0,57.0,60.0,56.0,56.0
95,60.0,56.0,60.0,59.0,60.0,59.0,59.0,60.0
96,56.0,55.0,56.0,56.0,59.0,54.0,56.0,59.0
97,55.0,57.0,55.0,55.0,58.0,60.0,55.0,56.0
98,60.0,57.0,60.0,60.0,61.0,55.0,60.0,60.0
99,58.0,58.0,58.0,57.0,58.0,56.0,57.0,58.0
100,58.0,58.0,58.0,57.0,57.0,59.0,57.0,58.0
101,60.0,60.0,60.0,59.0,59.0,58.0,59.0,60.0
102,57.0,57.0,57.0,56.0,58.0,54.0,56.0,58.0
103,58.0,59.0,58.0,58.0,57.0,59.0,58.0,58.0
104,60.0,61.0,60.0,60.0,60.0,55.0,60.0,60.0
105,55.0,55.0,55.0,55.0,56.0,49.0,55.0,55.0
106,55.0,57.0,55.0,55.0,57.0,55.0,55.0,56.0
107,60.0,61.0,60.0,60.0,61.0,50.0,60.0,56.0
108,54.0,54.0,54.0,54.0,55.0,47.0,54.0,54.0
109,49.0,51.0,49.0,48.0,52.0,54.0,48.0,49.0
110,50.0,51.0,50.0,50.0,57.0,49.0,50.0,49.0
111,53.0,54.0,53.0,52.0,55.0,52.0,52.0,54.0
112,50.0,51.0,50.0,50.0,52.0,55.0,50.0,50.0
113,53.0,51.0,53.0,52.0,55.0,52.0,52.0,52.0
114,54.0,54.0,54.0,54.0,55.0,53.0,54.0,54.0
115,55.0,55.0,55.0,55.0,56.0,55.0,55.0,55.0
116,55.0,55.0,55.0,55.0,57.0,54.0,55.0,55.0
117,54.0,55.0,54.0,54.0,55.0,47.0,54.0,54.0
