Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
0,42.0,42.0,41.0,39.0,38.0,40.0,41.0
1,41.0,40.0,40.0,39.0,45.0,45.0,40.0
2,46.0,42.0,42.0,44.0,44.0,44.0,40.0
3,41.0,41.0,40.0,39.0,39.0,41.0,41.0
4,42.0,41.0,42.0,44.0,44.0,44.0,40.0
5,47.0,46.0,42.0,44.0,45.0,46.0,46.0
6,42.0,41.0,41.0,39.0,39.0,42.0,42.0
7,42.0,42.0,43.0,44.0,44.0,44.0,41.0
8,44.0,47.0,43.0,44.0,45.0,45.0,47.0
9,40.0,40.0,40.0,40.0,38.0,39.0,38.0
10,40.0,40.0,40.0,39.0,45.0,45.0,40.0
11,46.0,42.0,42.0,44.0,44.0,44.0,40.0
12,39.0,39.0,39.0,39.0,38.0,38.0,37.0
13,39.0,39.0,39.0,38.0,44.0,44.0,39.0
14,45.0,41.0,41.0,43.0,44.0,44.0,39.0
15,40.0,40.0,40.0,40.0,39.0,39.0,38.0
16,40.0,40.0,40.0,39.0,39.0,41.0,40.0
17,41.0,41.0,41.0,44.0,45.0,45.0,40.0
18,41.0,40.0,41.0,38.0,38.0,40.0,41.0
19,43.0,41.0,41.0,43.0,43.0,43.0,40.0
20,46.0,46.0,46.0,44.0,44.0,45.0,46.0
21,42.0,41.0,42.0,39.0,39.0,41.0,42.0
22,42.0,42.0,42.0,44.0,43.0,43.0,41.0
23,46.0,47.0,47.0,45.0,45.0,46.0,47.0
24,41.0,39.0,39.0,39.0,38.0,40.0,39.0
25,45.0,45.0,45.0,43.0,45.0,44.0,44.0
26,47.0,45.0,41.0,44.0,43.0,45.0,45.0
27,40.0,38.0,38.0,38.0,37.0,39.0,38.0
28,44.0,44.0,44.0,42.0,44.0,43.0,43.0
29,46.0,44.0,40.0,43.0,43.0,45.0,44.0
30,40.0,39.0,39.0,39.0,38.0,40.0,38.0
31,41.0,40.0,41.0,43.0,39.0,40.0,40.0
32,41.0,41.0,41.0,44.0,44.0,45.0,40.0
33,41.0,42.0,43.0,38.0,39.0,39.0,39.0
34,42.0,42.0,42.0,44.0,39.0,40.0,41.0
35,45.0,45.0,46.0,40.0,44.0,45.0,45.0
36,41.0,40.0,40.0,38.0,39.0,39.0,40.0
37,45.0,45.0,45.0,44.0,44.0,45.0,45.0
38,43.0,46.0,42.0,44.0,44.0,44.0,46.0
39,40.0,39.0,39.0,38.0,38.0,38.0,39.0
40,44.0,44.0,44.0,43.0,43.0,44.0,44.0
41,42.0,45.0,41.0,43.0,44.0,44.0,45.0
42,41.0,40.0,40.0,39.0,39.0,39.0,39.0
43,41.0,41.0,42.0,44.0,39.0,39.0,40.0
44,42.0,42.0,42.0,44.0,44.0,44.0,40.0
45,40.0,40.0,40.0,40.0,38.0,39.0,38.0
46,40.0,40.0,40.0,39.0,44.0,44.0,46.0
47,42.0,42.0,42.0,44.0,44.0,44.0,40.0
48,39.0,39.0,39.0,39.0,38.0,38.0,37.0
49,44.0,44.0,44.0,43.0,44.0,44.0,45.0
50,41.0,41.0,41.0,44.0,44.0,44.0,39.0
51,40.0,40.0,39.0,38.0,39.0,39.0,38.0
52,45.0,45.0,45.0,44.0,44.0,44.0,45.0
53,41.0,41.0,41.0,44.0,45.0,45.0,40.0
54,38.0,38.0,38.0,38.0,37.0,37.0,36.0
55,43.0,43.0,43.0,42.0,43.0,43.0,44.0
56,40.0,40.0,40.0,43.0,43.0,43.0,38.0
57,39.0,39.0,39.0,38.0,38.0,38.0,37.0
