Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
0,45.0,47.0,47.0,45.0,45.0
1,47.0,48.0,48.0,47.0,46.0
2,47.0,48.0,48.0,47.0,46.0
3,45.0,46.0,46.0,45.0,44.0
4,46.0,47.0,47.0,46.0,45.0
5,46.0,47.0,47.0,46.0,45.0
6,45.0,46.0,46.0,45.0,45.0
7,47.0,48.0,48.0,47.0,46.0
8,47.0,48.0,48.0,47.0,46.0
9,45.0,46.0,46.0,45.0,44.0
10,47.0,47.0,47.0,47.0,45.0
11,47.0,48.0,48.0,47.0,46.0
12,45.0,45.0,45.0,45.0,43.0
13,46.0,46.0,46.0,46.0,45.0
14,46.0,47.0,47.0,46.0,45.0
15,45.0,46.0,46.0,45.0,44.0
16,47.0,47.0,47.0,47.0,45.0
17,47.0,48.0,48.0,47.0,46.0
18,44.0,44.0,44.0,44.0,43.0
19,45.0,46.0,46.0,45.0,44.0
20,45.0,46.0,46.0,45.0,44.0
21,45.0,45.0,45.0,45.0,44.0
22,46.0,47.0,47.0,46.0,45.0
23,46.0,47.0,47.0,46.0,45.0
24,44.0,45.0,45.0,44.0,43.0
25,46.0,47.0,47.0,46.0,45.0
26,46.0,47.0,47.0,46.0,45.0
27,44.0,44.0,44.0,44.0,43.0
28,45.0,46.0,46.0,45.0,44.0
29,45.0,46.0,46.0,45.0,44.0
30,44.0,45.0,45.0,44.0,43.0
31,46.0,47.0,47.0,46.0,45.0
32,46.0,47.0,47.0,46.0,45.0
33,45.0,46.0,46.0,45.0,44.0
34,47.0,48.0,48.0,47.0,46.0
35,47.0,48.0,48.0,47.0,46.0
36,45.0,46.0,46.0,45.0,44.0
37,46.0,48.0,48.0,46.0,46.0
38,47.0,48.0,48.0,47.0,46.0
39,45.0,45.0,45.0,45.0,43.0
40,45.0,47.0,47.0,45.0,45.0
41,46.0,47.0,47.0,46.0,45.0
42,45.0,46.0,46.0,45.0,44.0
43,46.0,48.0,48.0,46.0,46.0
44,47.0,48.0,48.0,47.0,46.0
45,45.0,46.0,46.0,45.0,44.0
46,46.0,48.0,48.0,46.0,46.0
47,47.0,48.0,48.0,47.0,46.0
48,44.0,45.0,45.0,44.0,43.0
49,45.0,47.0,47.0,45.0,45.0
50,46.0,47.0,47.0,46.0,45.0
51,45.0,46.0,46.0,45.0,44.0
