Move,Piece,Rotation,Flip,Row,Col
0,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,1,4
0,Piece.RAILWAY_T,Rotation.R180,False,2,3
0,Piece.HIGHWAY_T,Rotation.I,False,3,4
0,Piece.OVERPASS,Rotation.I,False,2,4
1,Piece.OVERPASS,Rotation.I,False,1,6
1,Piece.HIGHWAY_T,Rotation.R90,False,3,6
1,Piece.RAILWAY_T,Rotation.R180,False,2,3
1,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,6
2,Piece.HIGHWAY_T,Rotation.R90,False,3,6
2,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,1,4
2,Piece.RAILWAY_T,Rotation.R180,False,2,3
2,Piece.OVERPASS,Rotation.I,False,2,4
3,Piece.HIGHWAY_T,Rotation.R90,False,3,6
3,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,1,4
3,Piece.RAILWAY_T,Rotation.R90,False,2,3
3,Piece.OVERPASS,Rotation.I,False,2,4
4,Piece.OVERPASS,Rotation.I,False,1,6
4,Piece.HIGHWAY_T,Rotation.R90,False,3,6
4,Piece.RAILWAY_T,Rotation.R90,False,2,3
4,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,0,6
5,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,4,4
5,Piece.RAILWAY_T,Rotation.R180,False,2,3
5,Piece.HIGHWAY_T,Rotation.R90,False,3,4
5,Piece.OVERPASS,Rotation.I,False,2,4
6,Piece.OVERPASS,Rotation.I,False,1,6
6,Piece.RAILWAY_T,Rotation.R90,False,1,5
6,Piece.HIGHWAY_T,Rotation.I,False,3,6
6,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,2,6
7,Piece.OVERPASS,Rotation.I,False,1,6
7,Piece.RAILWAY_T,Rotation.R180,False,1,5
7,Piece.HIGHWAY_T,Rotation.I,False,3,6
7,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,2,6
8,Piece.HIGHWAY_T,Rotation.I,False,3,6
8,Piece.RAILWAY_T,Rotation.R180,False,2,3
8,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,6,5
8,Piece.OVERPASS,Rotation.I,False,2,4
9,Piece.OVERPASS,Rotation.I,False,1,6
9,Piece.RAILWAY_T,Rotation.R180,False,1,5
9,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,6
9,Piece.HIGHWAY_T,Rotation.R90,False,0,6
10,Piece.OVERPASS,Rotation.I,False,1,6
10,Piece.RAILWAY_T,Rotation.R90,False,1,5
10,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,3,6
10,Piece.HIGHWAY_T,Rotation.R90,False,0,6
11,Piece.HIGHWAY_T,Rotation.I,False,3,6
11,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,1,4
11,Piece.RAILWAY_T,Rotation.R90,False,2,3
11,Piece.OVERPASS,Rotation.I,False,2,4
12,Piece.HIGHWAY_T,Rotation.I,False,3,6
12,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,1,4
12,Piece.RAILWAY_T,Rotation.R180,False,2,3
12,Piece.OVERPASS,Rotation.I,False,2,4
13,Piece.OVERPASS,Rotation.R90,False,3,6
13,Piece.RAILWAY_T,Rotation.R180,False,2,6
13,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,4,5
13,Piece.HIGHWAY_T,Rotation.R180,False,3,5
14,Piece.OVERPASS,Rotation.R90,False,3,6
14,Piece.RAILWAY_T,Rotation.R90,False,2,6
14,Piece.HIGHWAY_STRAIGHT,Rotation.I,False,4,5
14,Piece.HIGHWAY_T,Rotation.R180,False,3,5
15,Piece.HIGHWAY_STRAIGHT,Rotation.R90,False,6,6
15,Piece.OVERPASS,Rotation.R90,False,3,6
15,Piece.HIGHWAY_T,Rotation.R90,False,6,5
15,Piece.RAILWAY_T,Rotation.R90,False,4,6
