Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
0,46.0,46.0,47.0,46.0,39.0,46.0,49.0,40.0,40.0,45.0,46.0
1,49.0,46.0,50.0,47.0,41.0,47.0,50.0,47.0,48.0,48.0,48.0
2,48.0,42.0,49.0,47.0,41.0,47.0,50.0,41.0,42.0,47.0,48.0
3,45.0,45.0,46.0,46.0,49.0,46.0,48.0,40.0,49.0,45.0,45.0
4,48.0,47.0,49.0,47.0,40.0,47.0,50.0,46.0,47.0,47.0,47.0
5,47.0,47.0,48.0,47.0,40.0,47.0,50.0,46.0,46.0,46.0,47.0
6,46.0,46.0,47.0,46.0,50.0,46.0,49.0,40.0,50.0,45.0,46.0
7,49.0,48.0,50.0,48.0,41.0,48.0,51.0,42.0,42.0,48.0,48.0
8,48.0,48.0,49.0,48.0,40.0,48.0,51.0,46.0,47.0,47.0,48.0
9,47.0,45.0,48.0,45.0,39.0,45.0,48.0,40.0,40.0,46.0,46.0
10,48.0,45.0,49.0,47.0,40.0,47.0,51.0,47.0,41.0,47.0,48.0
11,49.0,41.0,50.0,48.0,41.0,48.0,50.0,42.0,42.0,48.0,48.0
12,47.0,44.0,48.0,44.0,39.0,44.0,47.0,41.0,41.0,46.0,46.0
13,47.0,44.0,48.0,46.0,40.0,46.0,50.0,46.0,41.0,47.0,47.0
14,49.0,46.0,50.0,47.0,41.0,47.0,49.0,47.0,47.0,48.0,48.0
15,48.0,45.0,49.0,45.0,40.0,45.0,48.0,42.0,42.0,47.0,47.0
16,48.0,41.0,49.0,47.0,41.0,47.0,51.0,42.0,42.0,48.0,48.0
17,50.0,47.0,51.0,48.0,42.0,48.0,50.0,48.0,48.0,49.0,49.0
18,45.0,45.0,46.0,45.0,48.0,45.0,47.0,39.0,49.0,45.0,45.0
19,47.0,46.0,48.0,47.0,43.0,47.0,49.0,45.0,46.0,46.0,46.0
20,51.0,51.0,47.0,47.0,43.0,47.0,49.0,45.0,45.0,46.0,46.0
21,46.0,46.0,46.0,46.0,49.0,46.0,48.0,40.0,50.0,46.0,46.0
22,48.0,47.0,49.0,48.0,44.0,48.0,50.0,41.0,41.0,47.0,47.0
23,52.0,52.0,48.0,48.0,44.0,48.0,50.0,46.0,46.0,47.0,47.0
24,46.0,45.0,47.0,45.0,42.0,45.0,47.0,41.0,40.0,46.0,46.0
25,52.0,52.0,48.0,46.0,44.0,46.0,50.0,46.0,45.0,47.0,47.0
26,48.0,47.0,49.0,47.0,40.0,47.0,50.0,45.0,46.0,47.0,47.0
27,46.0,45.0,47.0,44.0,41.0,44.0,46.0,40.0,40.0,45.0,45.0
28,51.0,51.0,48.0,45.0,43.0,45.0,49.0,45.0,44.0,47.0,47.0
29,48.0,47.0,49.0,46.0,40.0,46.0,49.0,46.0,46.0,47.0,47.0
30,47.0,46.0,48.0,45.0,42.0,45.0,47.0,41.0,41.0,46.0,46.0
31,48.0,47.0,49.0,46.0,40.0,46.0,50.0,41.0,41.0,48.0,48.0
32,49.0,48.0,50.0,47.0,41.0,47.0,50.0,47.0,47.0,48.0,48.0
33,46.0,46.0,47.0,39.0,42.0,39.0,48.0,40.0,40.0,44.0,44.0
34,48.0,48.0,49.0,46.0,44.0,46.0,50.0,42.0,42.0,47.0,47.0
35,52.0,52.0,49.0,41.0,44.0,41.0,49.0,46.0,45.0,46.0,46.0
36,47.0,46.0,48.0,40.0,43.0,40.0,48.0,41.0,41.0,46.0,46.0
37,53.0,53.0,49.0,46.0,45.0,46.0,50.0,47.0,46.0,47.0,47.0
38,49.0,48.0,50.0,47.0,41.0,47.0,50.0,45.0,47.0,48.0,48.0
39,47.0,46.0,48.0,41.0,42.0,41.0,47.0,40.0,40.0,46.0,46.0
40,52.0,52.0,48.0,45.0,44.0,45.0,49.0,46.0,45.0,47.0,47.0
41,49.0,48.0,50.0,47.0,41.0,47.0,49.0,44.0,46.0,48.0,48.0
42,48.0,47.0,49.0,42.0,43.0,42.0,48.0,41.0,40.0,47.0,47.0
43,48.0,48.0,49.0,46.0,41.0,46.0,50.0,42.0,42.0,48.0,48.0
44,50.0,49.0,51.0,48.0,42.0,48.0,50.0,45.0,42.0,49.0,49.0
45,53.0,53.0,54.0,48.0,46.0,48.0,48.0,47.0,47.0,53.0,53.0
46,55.0,48.0,55.0,50.0,48.0,50.0,50.0,49.0,49.0,55.0,55.0
47,55.0,48.0,56.0,50.0,48.0,50.0,50.0,49.0,49.0,55.0,55.0
48,54.0,52.0,55.0,49.0,46.0,49.0,48.0,47.0,46.0,53.0,53.0
49,55.0,52.0,56.0,49.0,47.0,49.0,49.0,53.0,48.0,55.0,55.0
50,56.0,48.0,57.0,55.0,48.0,55.0,50.0,49.0,48.0,55.0,55.0
51,49.0,46.0,50.0,42.0,41.0,42.0,49.0,43.0,43.0,48.0,48.0
52,54.0,46.0,51.0,47.0,46.0,47.0,50.0,47.0,47.0,50.0,50.0
53,51.0,48.0,52.0,48.0,43.0,48.0,51.0,49.0,49.0,50.0,50.0
54,53.0,51.0,54.0,48.0,45.0,48.0,47.0,46.0,45.0,52.0,52.0
55,54.0,51.0,55.0,48.0,46.0,48.0,48.0,52.0,47.0,54.0,54.0
56,55.0,47.0,56.0,54.0,47.0,54.0,49.0,48.0,47.0,54.0,54.0
57,48.0,45.0,49.0,41.0,40.0,41.0,48.0,42.0,42.0,47.0,47.0
58,53.0,45.0,50.0,46.0,45.0,46.0,49.0,46.0,46.0,49.0,49.0
59,50.0,47.0,51.0,47.0,42.0,47.0,50.0,48.0,48.0,49.0,49.0
60,47.0,46.0,48.0,42.0,39.0,42.0,49.0,40.0,40.0,46.0,46.0
61,48.0,41.0,49.0,46.0,41.0,46.0,50.0,42.0,42.0,48.0,48.0
62,49.0,41.0,50.0,48.0,41.0,48.0,51.0,42.0,42.0,48.0,48.0
63,44.0,44.0,45.0,44.0,47.0,44.0,46.0,38.0,48.0,44.0,44.0
64,46.0,45.0,47.0,46.0,42.0,46.0,48.0,44.0,45.0,46.0,46.0
65,50.0,50.0,47.0,46.0,42.0,46.0,48.0,44.0,44.0,46.0,46.0
66,45.0,45.0,45.0,45.0,48.0,45.0,47.0,39.0,49.0,45.0,45.0
67,47.0,46.0,48.0,47.0,43.0,47.0,49.0,40.0,40.0,47.0,47.0
