Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
0,42.0,44.0,44.0,42.0,42.0,46.0,46.0,51.0,51.0,41.0
1,50.0,45.0,44.0,49.0,49.0,48.0,48.0,48.0,48.0,49.0
2,51.0,50.0,48.0,50.0,50.0,48.0,48.0,48.0,48.0,50.0
3,41.0,44.0,43.0,41.0,41.0,45.0,45.0,50.0,50.0,40.0
4,49.0,49.0,46.0,49.0,49.0,51.0,51.0,51.0,51.0,48.0
5,50.0,50.0,49.0,50.0,50.0,53.0,53.0,53.0,53.0,49.0
6,42.0,44.0,44.0,42.0,42.0,42.0,42.0,42.0,42.0,41.0
7,49.0,50.0,46.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0
8,50.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0,49.0
9,49.0,46.0,44.0,49.0,49.0,47.0,47.0,47.0,47.0,48.0
10,51.0,48.0,46.0,50.0,50.0,51.0,51.0,51.0,51.0,50.0
11,51.0,51.0,49.0,50.0,50.0,49.0,49.0,49.0,49.0,50.0
12,50.0,45.0,43.0,49.0,49.0,48.0,48.0,48.0,48.0,49.0
13,50.0,48.0,45.0,49.0,49.0,55.0,55.0,55.0,55.0,49.0
14,56.0,50.0,48.0,55.0,55.0,50.0,50.0,50.0,50.0,55.0
15,43.0,44.0,43.0,42.0,42.0,44.0,44.0,44.0,44.0,42.0
16,48.0,49.0,43.0,47.0,47.0,48.0,48.0,48.0,48.0,47.0
17,49.0,48.0,46.0,48.0,48.0,45.0,45.0,45.0,45.0,48.0
18,40.0,44.0,43.0,40.0,40.0,44.0,44.0,49.0,49.0,39.0
19,48.0,48.0,45.0,48.0,48.0,50.0,50.0,50.0,50.0,47.0
20,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,48.0
21,41.0,44.0,44.0,41.0,41.0,41.0,41.0,41.0,41.0,40.0
22,48.0,49.0,45.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0
23,49.0,50.0,50.0,49.0,49.0,50.0,50.0,50.0,50.0,48.0
24,48.0,45.0,45.0,48.0,48.0,46.0,46.0,46.0,46.0,47.0
25,50.0,47.0,47.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0
26,51.0,50.0,50.0,50.0,50.0,49.0,49.0,49.0,49.0,50.0
27,49.0,44.0,44.0,49.0,49.0,47.0,47.0,47.0,47.0,48.0
28,49.0,47.0,46.0,49.0,49.0,54.0,54.0,54.0,54.0,48.0
29,55.0,49.0,49.0,55.0,55.0,49.0,49.0,53.0,53.0,54.0
30,42.0,44.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,41.0
31,47.0,48.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,46.0
32,48.0,48.0,47.0,48.0,48.0,44.0,44.0,46.0,46.0,47.0
33,41.0,43.0,43.0,41.0,40.0,40.0,40.0,41.0,41.0,40.0
34,43.0,48.0,46.0,43.0,43.0,44.0,44.0,45.0,45.0,42.0
35,43.0,48.0,48.0,43.0,43.0,43.0,43.0,47.0,47.0,42.0
36,49.0,46.0,46.0,49.0,49.0,46.0,46.0,47.0,47.0,48.0
37,51.0,48.0,48.0,50.0,50.0,49.0,49.0,49.0,49.0,50.0
38,51.0,51.0,51.0,50.0,50.0,49.0,49.0,50.0,50.0,50.0
39,49.0,45.0,45.0,49.0,49.0,48.0,48.0,48.0,48.0,48.0
40,50.0,48.0,47.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
41,55.0,50.0,50.0,55.0,55.0,50.0,50.0,54.0,54.0,54.0
42,42.0,43.0,43.0,42.0,42.0,44.0,44.0,44.0,44.0,41.0
43,44.0,49.0,47.0,43.0,43.0,45.0,45.0,45.0,45.0,43.0
44,48.0,48.0,47.0,48.0,48.0,45.0,45.0,47.0,47.0,47.0
45,48.0,45.0,44.0,47.0,47.0,46.0,46.0,47.0,47.0,47.0
46,51.0,48.0,46.0,50.0,50.0,49.0,49.0,49.0,49.0,50.0
47,51.0,49.0,47.0,50.0,50.0,49.0,49.0,49.0,49.0,50.0
48,50.0,47.0,46.0,49.0,49.0,48.0,48.0,48.0,48.0,49.0
49,50.0,47.0,45.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
50,54.0,50.0,48.0,53.0,53.0,50.0,50.0,50.0,50.0,53.0
51,48.0,48.0,47.0,47.0,47.0,46.0,46.0,46.0,46.0,47.0
52,49.0,48.0,46.0,48.0,48.0,47.0,47.0,47.0,47.0,48.0
53,50.0,49.0,47.0,49.0,49.0,51.0,51.0,51.0,51.0,49.0
54,49.0,46.0,45.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
55,49.0,48.0,46.0,48.0,48.0,49.0,49.0,49.0,49.0,48.0
56,53.0,49.0,47.0,52.0,52.0,54.0,54.0,54.0,54.0,52.0
57,50.0,47.0,46.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
58,49.0,49.0,47.0,48.0,48.0,49.0,49.0,49.0,49.0,48.0
59,54.0,50.0,48.0,53.0,53.0,55.0,55.0,55.0,55.0,53.0
60,42.0,43.0,43.0,41.0,41.0,43.0,43.0,43.0,43.0,41.0
61,42.0,50.0,48.0,41.0,41.0,45.0,45.0,45.0,45.0,41.0
62,47.0,48.0,45.0,46.0,46.0,47.0,47.0,47.0,47.0,46.0
63,39.0,43.0,42.0,39.0,39.0,43.0,43.0,48.0,48.0,38.0
64,47.0,47.0,44.0,47.0,47.0,49.0,49.0,49.0,49.0,46.0
65,48.0,48.0,48.0,48.0,48.0,51.0,51.0,51.0,51.0,47.0
66,40.0,43.0,43.0,40.0,40.0,40.0,40.0,40.0,41.0,39.0
67,47.0,48.0,45.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0
68,48.0,49.0,49.0,48.0,48.0,49.0,49.0,49.0,49.0,47.0
69,47.0,44.0,44.0,47.0,47.0,45.0,45.0,45.0,45.0,46.0
70,49.0,46.0,46.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0
71,50.0,49.0,49.0,51.0,49.0,48.0,48.0,50.0,50.0,49.0
72,48.0,43.0,43.0,48.0,48.0,46.0,46.0,46.0,46.0,47.0
73,48.0,46.0,45.0,48.0,48.0,53.0,53.0,53.0,53.0,47.0
74,54.0,48.0,48.0,54.0,54.0,48.0,48.0,52.0,52.0,53.0
75,41.0,43.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,40.0
76,46.0,47.0,46.0,45.0,45.0,46.0,46.0,46.0,46.0,45.0
77,47.0,47.0,46.0,47.0,47.0,43.0,43.0,45.0,45.0,46.0
78,40.0,43.0,42.0,40.0,40.0,39.0,39.0,40.0,42.0,39.0
79,42.0,47.0,45.0,42.0,42.0,44.0,44.0,44.0,44.0,41.0
80,44.0,47.0,47.0,44.0,42.0,42.0,42.0,46.0,46.0,43.0
81,48.0,45.0,45.0,48.0,48.0,45.0,45.0,46.0,46.0,47.0
82,50.0,47.0,47.0,49.0,49.0,48.0,48.0,48.0,48.0,49.0
83,50.0,50.0,50.0,51.0,49.0,48.0,48.0,50.0,50.0,49.0
