Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
0,57.0,57.0,57.0,56.0,52.0,52.0,52.0,51.0,53.0,52.0,52.0,52.0,52.0,49.0,55.0
1,53.0,53.0,53.0,48.0,45.0,45.0,45.0,49.0,48.0,46.0,45.0,46.0,46.0,41.0,47.0
2,53.0,53.0,53.0,49.0,46.0,45.0,45.0,48.0,51.0,50.0,46.0,49.0,48.0,44.0,48.0
3,56.0,56.0,56.0,56.0,52.0,52.0,52.0,51.0,56.0,51.0,51.0,51.0,51.0,49.0,55.0
4,52.0,52.0,52.0,49.0,44.0,44.0,44.0,50.0,52.0,47.0,44.0,47.0,47.0,42.0,48.0
5,52.0,52.0,52.0,49.0,46.0,45.0,45.0,50.0,52.0,51.0,46.0,50.0,50.0,45.0,48.0
6,57.0,57.0,57.0,56.0,52.0,52.0,52.0,52.0,56.0,51.0,51.0,52.0,52.0,49.0,55.0
7,53.0,53.0,53.0,48.0,45.0,45.0,45.0,49.0,52.0,47.0,44.0,48.0,48.0,41.0,47.0
8,53.0,53.0,53.0,49.0,46.0,46.0,46.0,51.0,52.0,50.0,46.0,49.0,49.0,44.0,48.0
9,53.0,53.0,53.0,55.0,52.0,52.0,51.0,56.0,52.0,56.0,52.0,56.0,53.0,57.0,55.0
10,54.0,54.0,54.0,51.0,49.0,49.0,49.0,57.0,53.0,52.0,48.0,53.0,53.0,49.0,52.0
11,54.0,54.0,54.0,52.0,54.0,51.0,51.0,53.0,53.0,58.0,54.0,58.0,55.0,50.0,52.0
12,56.0,56.0,56.0,56.0,56.0,53.0,53.0,56.0,56.0,56.0,56.0,56.0,53.0,57.0,55.0
13,53.0,53.0,53.0,55.0,53.0,53.0,53.0,57.0,57.0,52.0,52.0,53.0,53.0,50.0,56.0
14,58.0,58.0,58.0,56.0,58.0,55.0,55.0,53.0,54.0,58.0,58.0,58.0,55.0,51.0,56.0
15,54.0,54.0,54.0,55.0,51.0,52.0,51.0,50.0,53.0,51.0,51.0,51.0,52.0,50.0,56.0
16,51.0,51.0,51.0,55.0,51.0,51.0,51.0,55.0,55.0,50.0,50.0,51.0,51.0,49.0,55.0
17,56.0,56.0,56.0,55.0,56.0,53.0,53.0,51.0,54.0,56.0,56.0,56.0,53.0,50.0,54.0
18,55.0,55.0,55.0,56.0,51.0,51.0,51.0,50.0,55.0,50.0,50.0,50.0,50.0,49.0,55.0
19,51.0,51.0,51.0,48.0,43.0,43.0,43.0,49.0,51.0,46.0,43.0,46.0,46.0,41.0,47.0
20,51.0,51.0,51.0,49.0,45.0,45.0,45.0,49.0,51.0,50.0,45.0,49.0,49.0,44.0,48.0
21,56.0,56.0,56.0,56.0,52.0,52.0,52.0,51.0,56.0,50.0,51.0,51.0,51.0,49.0,55.0
22,52.0,52.0,52.0,49.0,44.0,44.0,44.0,50.0,52.0,47.0,43.0,47.0,47.0,42.0,48.0
23,52.0,52.0,52.0,49.0,46.0,46.0,46.0,50.0,52.0,50.0,46.0,50.0,50.0,45.0,48.0
24,53.0,53.0,53.0,55.0,51.0,51.0,51.0,55.0,55.0,55.0,51.0,55.0,55.0,57.0,55.0
25,53.0,53.0,53.0,53.0,50.0,50.0,50.0,57.0,53.0,54.0,50.0,54.0,54.0,49.0,52.0
26,55.0,55.0,55.0,53.0,53.0,53.0,53.0,52.0,53.0,57.0,53.0,57.0,57.0,50.0,52.0
27,55.0,55.0,55.0,56.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,55.0
28,54.0,54.0,54.0,57.0,54.0,54.0,54.0,57.0,57.0,54.0,54.0,54.0,54.0,50.0,56.0
29,57.0,57.0,57.0,57.0,57.0,57.0,57.0,52.0,55.0,57.0,57.0,57.0,57.0,51.0,56.0
30,53.0,53.0,53.0,55.0,51.0,51.0,51.0,50.0,55.0,50.0,51.0,50.0,51.0,50.0,56.0
31,52.0,52.0,52.0,55.0,52.0,52.0,52.0,55.0,55.0,52.0,52.0,52.0,52.0,49.0,55.0
32,55.0,55.0,55.0,55.0,55.0,55.0,55.0,50.0,55.0,55.0,55.0,55.0,55.0,50.0,54.0
33,54.0,54.0,54.0,56.0,52.0,52.0,52.0,52.0,56.0,51.0,51.0,51.0,51.0,49.0,55.0
34,50.0,50.0,50.0,48.0,44.0,44.0,44.0,49.0,52.0,47.0,44.0,48.0,48.0,41.0,47.0
35,50.0,50.0,50.0,49.0,45.0,45.0,45.0,47.0,52.0,50.0,45.0,49.0,49.0,44.0,48.0
36,53.0,53.0,53.0,55.0,52.0,52.0,52.0,56.0,56.0,56.0,52.0,56.0,56.0,57.0,55.0
37,53.0,53.0,54.0,51.0,51.0,51.0,51.0,57.0,54.0,55.0,51.0,55.0,55.0,49.0,52.0
38,55.0,55.0,55.0,52.0,54.0,54.0,54.0,53.0,54.0,58.0,54.0,58.0,58.0,50.0,52.0
39,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,55.0
40,55.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,57.0,55.0,55.0,55.0,55.0,50.0,56.0
41,58.0,58.0,58.0,56.0,58.0,58.0,58.0,53.0,55.0,58.0,58.0,58.0,58.0,51.0,56.0
42,51.0,51.0,52.0,55.0,51.0,52.0,51.0,51.0,56.0,51.0,51.0,51.0,52.0,50.0,56.0
43,53.0,53.0,53.0,55.0,53.0,53.0,53.0,55.0,55.0,53.0,53.0,53.0,53.0,49.0,55.0
44,56.0,56.0,56.0,55.0,56.0,56.0,56.0,51.0,55.0,56.0,56.0,56.0,56.0,50.0,54.0
45,54.0,54.0,54.0,55.0,52.0,52.0,52.0,56.0,51.0,56.0,52.0,56.0,56.0,57.0,55.0
46,55.0,55.0,55.0,52.0,54.0,54.0,54.0,56.0,53.0,58.0,54.0,58.0,58.0,52.0,52.0
47,54.0,54.0,54.0,52.0,54.0,51.0,51.0,53.0,53.0,58.0,54.0,58.0,55.0,52.0,52.0
48,56.0,56.0,56.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,55.0
49,58.0,58.0,58.0,56.0,58.0,58.0,58.0,56.0,56.0,58.0,58.0,58.0,58.0,56.0,56.0
50,58.0,58.0,58.0,56.0,58.0,55.0,55.0,56.0,54.0,58.0,58.0,58.0,55.0,56.0,56.0
51,52.0,52.0,53.0,55.0,51.0,51.0,51.0,56.0,54.0,53.0,52.0,53.0,53.0,57.0,55.0
52,56.0,56.0,56.0,54.0,56.0,56.0,56.0,56.0,54.0,56.0,56.0,56.0,56.0,56.0,54.0
53,56.0,56.0,56.0,54.0,56.0,53.0,53.0,57.0,54.0,56.0,56.0,56.0,55.0,56.0,54.0
54,55.0,55.0,55.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,55.0
55,57.0,57.0,57.0,55.0,57.0,57.0,57.0,56.0,56.0,57.0,57.0,57.0,57.0,56.0,55.0
56,57.0,57.0,57.0,55.0,57.0,55.0,55.0,56.0,56.0,57.0,57.0,57.0,55.0,56.0,55.0
57,53.0,53.0,53.0,55.0,53.0,53.0,53.0,56.0,56.0,53.0,53.0,53.0,53.0,57.0,56.0
58,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,55.0,55.0,55.0,55.0,56.0,56.0
59,55.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,57.0,55.0,55.0,55.0,55.0,56.0,56.0
60,50.0,50.0,51.0,54.0,50.0,51.0,50.0,50.0,54.0,49.0,51.0,50.0,51.0,50.0,55.0
61,50.0,50.0,51.0,54.0,50.0,51.0,50.0,54.0,54.0,50.0,50.0,50.0,51.0,49.0,55.0
62,51.0,51.0,51.0,54.0,51.0,51.0,51.0,55.0,55.0,50.0,51.0,51.0,51.0,50.0,55.0
63,54.0,54.0,54.0,55.0,50.0,50.0,50.0,49.0,54.0,49.0,49.0,49.0,49.0,48.0,54.0
64,50.0,50.0,50.0,47.0,42.0,42.0,42.0,48.0,50.0,45.0,42.0,45.0,45.0,40.0,46.0
65,50.0,50.0,50.0,48.0,44.0,44.0,44.0,48.0,50.0,49.0,44.0,48.0,48.0,43.0,47.0
66,55.0,55.0,55.0,56.0,51.0,51.0,51.0,50.0,55.0,49.0,50.0,50.0,50.0,49.0,55.0
67,51.0,51.0,51.0,48.0,43.0,43.0,43.0,49.0,51.0,46.0,42.0,46.0,46.0,41.0,47.0
68,51.0,51.0,51.0,49.0,45.0,45.0,45.0,49.0,51.0,49.0,45.0,49.0,49.0,44.0,48.0
69,52.0,52.0,52.0,54.0,50.0,50.0,50.0,54.0,54.0,54.0,50.0,54.0,54.0,56.0,54.0
70,52.0,52.0,52.0,52.0,49.0,49.0,49.0,56.0,52.0,53.0,49.0,53.0,53.0,48.0,51.0
71,54.0,54.0,54.0,52.0,52.0,52.0,52.0,51.0,52.0,56.0,52.0,56.0,56.0,49.0,51.0
72,54.0,54.0,54.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,56.0,54.0
73,53.0,53.0,53.0,56.0,53.0,53.0,53.0,56.0,56.0,53.0,53.0,53.0,53.0,49.0,55.0
74,56.0,56.0,56.0,56.0,56.0,56.0,56.0,51.0,54.0,56.0,56.0,56.0,56.0,50.0,55.0
75,52.0,52.0,52.0,54.0,50.0,50.0,50.0,49.0,54.0,49.0,50.0,49.0,50.0,49.0,55.0
76,51.0,51.0,51.0,55.0,51.0,51.0,51.0,54.0,54.0,51.0,51.0,51.0,51.0,48.0,54.0
77,54.0,54.0,54.0,55.0,54.0,54.0,54.0,49.0,54.0,54.0,54.0,54.0,54.0,49.0,54.0
78,53.0,53.0,53.0,56.0,51.0,51.0,51.0,51.0,56.0,50.0,50.0,51.0,51.0,49.0,55.0
79,49.0,49.0,49.0,48.0,44.0,44.0,44.0,49.0,52.0,47.0,43.0,47.0,47.0,41.0,47.0
80,49.0,49.0,49.0,49.0,45.0,45.0,45.0,46.0,52.0,50.0,45.0,50.0,50.0,44.0,48.0
81,52.0,52.0,52.0,54.0,51.0,51.0,51.0,55.0,55.0,55.0,51.0,55.0,55.0,56.0,54.0
