Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
0,32.0,32.0,32.0,32.0,32.0,32.0
1,34.0,31.0,34.0,34.0,34.0,34.0
2,34.0,34.0,29.0,29.0,29.0,29.0
3,32.0,35.0,32.0,32.0,32.0,32.0
4,34.0,36.0,33.0,33.0,33.0,33.0
5,33.0,35.0,30.0,30.0,30.0,30.0
6,32.0,36.0,32.0,32.0,32.0,32.0
7,34.0,37.0,34.0,34.0,34.0,34.0
8,34.0,34.0,31.0,31.0,31.0,31.0
9,37.0,32.0,37.0,37.0,37.0,37.0
10,34.0,33.0,37.0,37.0,37.0,37.0
11,34.0,33.0,32.0,32.0,32.0,32.0
12,37.0,35.0,36.0,36.0,36.0,36.0
13,34.0,32.0,36.0,36.0,36.0,36.0
14,34.0,35.0,32.0,32.0,32.0,32.0
15,34.0,35.0,31.0,31.0,31.0,31.0
16,34.0,31.0,31.0,31.0,31.0,31.0
17,35.0,35.0,32.0,32.0,32.0,32.0
18,31.0,35.0,32.0,32.0,32.0,32.0
19,33.0,36.0,33.0,33.0,33.0,33.0
20,33.0,34.0,29.0,29.0,29.0,29.0
21,32.0,36.0,32.0,32.0,32.0,32.0
22,34.0,37.0,34.0,34.0,34.0,34.0
23,34.0,33.0,30.0,30.0,30.0,30.0
24,36.0,36.0,37.0,37.0,37.0,37.0
25,33.0,37.0,36.0,36.0,36.0,36.0
26,33.0,33.0,35.0,35.0,35.0,35.0
27,36.0,36.0,36.0,36.0,36.0,36.0
28,33.0,36.0,35.0,35.0,35.0,35.0
29,33.0,38.0,34.0,34.0,34.0,34.0
30,33.0,36.0,31.0,31.0,31.0,31.0
31,34.0,36.0,30.0,30.0,30.0,30.0
32,34.0,38.0,31.0,31.0,31.0,31.0
33,28.0,36.0,27.0,27.0,27.0,27.0
34,32.0,37.0,30.0,30.0,30.0,30.0
35,30.0,33.0,30.0,30.0,30.0,30.0
36,37.0,37.0,37.0,37.0,37.0,37.0
37,33.0,38.0,37.0,37.0,37.0,37.0
38,34.0,34.0,35.0,35.0,35.0,35.0
39,36.0,36.0,36.0,36.0,36.0,36.0
40,33.0,37.0,36.0,36.0,36.0,36.0
41,34.0,38.0,34.0,34.0,34.0,34.0
42,32.0,36.0,27.0,27.0,27.0,27.0
43,33.0,37.0,30.0,30.0,30.0,30.0
44,35.0,38.0,31.0,31.0,31.0,31.0
45,37.0,32.0,37.0,37.0,37.0,37.0
46,38.0,30.0,37.0,37.0,37.0,37.0
47,38.0,34.0,34.0,34.0,34.0,34.0
48,37.0,38.0,36.0,36.0,36.0,36.0
49,38.0,30.0,38.0,38.0,38.0,38.0
50,38.0,36.0,38.0,38.0,38.0,38.0
51,37.0,38.0,37.0,37.0,37.0,37.0
52,39.0,30.0,39.0,39.0,39.0,39.0
53,39.0,36.0,39.0,39.0,39.0,39.0
54,36.0,37.0,35.0,35.0,35.0,35.0
55,37.0,31.0,37.0,37.0,37.0,37.0
56,38.0,35.0,37.0,37.0,37.0,37.0
57,37.0,37.0,36.0,36.0,36.0,36.0
58,38.0,32.0,38.0,38.0,38.0,38.0
59,39.0,35.0,38.0,38.0,38.0,38.0
60,32.0,35.0,27.0,27.0,27.0,27.0
61,34.0,32.0,29.0,29.0,29.0,29.0
62,36.0,34.0,30.0,30.0,30.0,30.0
63,30.0,34.0,31.0,31.0,31.0,31.0
64,32.0,35.0,32.0,32.0,32.0,32.0
65,32.0,33.0,28.0,28.0,28.0,28.0
66,31.0,35.0,31.0,31.0,31.0,31.0
